ID,名称,中文名称
421,アロマ,阿罗玛
422,ランスロット,兰斯洛特
423,アンドレア,安茱莉亚
424,初音,""
425,藤袴,""
426,黒華,黑华
427,黒蛇,黑蛇
428,黒薔薇,黑蔷薇
429,アモルドール,阿莫尔人偶
430,ペルセポネー,珀耳塞福涅
431,トリロバイト,三叶虫
432,前鬼,""
433,後鬼,后鬼
435,マリエル,玛丽艾尔
436,乳々,乳乳
437,フィオナ,菲奥娜
438,アリエル,阿莉艾尔
439,ラナエル,拉娜艾尔
440,ナガエル,娜迦艾尔
441,ロンド,朗多
442,ラタエル,菈塔艾尔
443,リファイール,利芙艾尔
444,ギリエル,吉莉艾尔
445,ポム,波姆
446,サビリエル,萨比莉艾尔
447,ムズキエル,穆祖吉艾尔
448,シルキエル,希尔吉艾尔
449,ベリエル,贝莉艾尔
450,エラント,艾兰特
451,リヴァエル,莉瓦艾尔
452,レロール,雷罗尔
453,マリ,玛莉
454,ジェイン,简
455,アリー,阿利
456,ストーン,斯通
457,テュポーネ,提丰妮
458,ラプラス,拉普拉斯
459,ビーナス,维纳斯
460,フーリエル,傅里艾尔
461,ドリス,多丽丝
462,ロゴス,逻各斯
463,カーラ,卡拉
464,メイジェル,梅琪尔
465,クジェル,库琪尔
466,ワイティエル,怀蒂艾尔
467,プシェル,普谢尔
468,エンディエル,安迪艾尔
469,リプラ,瑞普拉
470,プリオ,普里奥
471,デボラ,黛博拉
472,マタンゴ,玛坦戈
473,モスミー,莫斯米
474,ローズ,萝丝
475,ジャンヌ,贞德
476,モコメ,黄泉女
477,フェルメサーラ,拉之子美西芙
478,ユリアレスカ,尤莉亚雷斯卡
479,ドルバレル,多尔巴雷尔
480,ラック,拉克
481,シリエル,希莉艾尔
482,エグエル,艾格艾尔
483,チェリオ,切里奥
484,レイローズ,蕾洛斯
485,ミネビア,米涅比亚
486,ユリエル,尤莉艾尔
487,メルシエル,梅尔希艾尔
488,セバスイール,塞巴西艾尔
489,ホルミエル,霍尔米艾尔
490,アプティエル,阿普蒂艾尔
491,クリオネラ,海天使
492,ロズニエル,罗兹尼艾尔
493,キュビエル,丘比艾尔
494,ワミエル,瓦米艾尔
496,ジルフィ,吉尔菲
497,ノーマレン,诺玛伦
498,グランディーネ,格兰蒂妮
499,ギガマンドラ,千兆曼德拉
500,アルカンシエル,天空之弧
501,ハイヌウェレ,海奴韦莱
502,アンフィスバエナ,双头蛇
503,ツクヨミ,月读
504,ラプンツェル,长发公主
505,ルカ・ドッペル,鲁卡・克隆体
506,ルカ・ホリィ,鲁卡・霍莉
507,ルカ・リノア,鲁卡・莉诺雅
508,ルカ・ハイネ,鲁卡・海涅
509,ルカ・キリエ,鲁卡・姬莉叶
510,ラファエラ,拉斐艾拉
511,ガブリエラ,加百艾拉
512,ウリエラ,乌列艾拉
513,サリエラ,沙利艾拉
514,メタトローネ,梅塔特隆妮
515,サンダルフォーネ,圣德芬妮
516,プルエル,普露艾尔
517,イヌエル,伊努艾尔
518,ラファエラ,拉斐艾拉
520,ラザロ,拉扎罗
521,ラザロ,拉扎罗
522,マーリン,梅林
523,マルケルス,马鲁塞勒斯
525,ソニア,索尼娅
526,サバサ王,撒巴萨王
527,サバサマン,撒巴萨侠
528,サラサ,撒拉萨
529,サラ,萨拉
530,サラ,萨拉
531,サン・イリア王,圣・伊莉娅王
533,グランドノア女王,格兰德诺亚女王
534,グランドノア女王,格兰德诺亚女王
535,グランゴルド王,格兰戈尔德王
536,セレーネ,塞勒涅
538,ハインリヒ,海因里希
539,ハインリヒ,海因里希
540,アミラ,亚米拉
541,ピーハー,比哈
542,ドーメイマ,鱼人
543,さんとす,又猫
544,マリー,玛丽
545,エリィ,艾莉
546,ステラ,斯特拉
547,ドン・ダリア,唐・达利亚
548,バニィちゃん,芭妮酱
549,ルイズ,露易丝
550,メイリン,梅林
551,ケイト,凯特
552,エリッサ,艾莉莎
553,フィーズ,菲兹
554,ナイチンゲール,南丁格尔
555,テレサ,特蕾莎
556,マリア,玛利亚
557,ジャスカ,贾斯卡
558,ナイア,奈亚
559,サラーン,萨拉恩
560,メロディ,梅洛迪
561,ウィッチ,女巫
562,オーラン,奥兰
563,ピラト,皮拉托
564,ヨハネ,约翰
565,サモン,左门
566,スカトロ大尉,斯卡托罗大尉
567,パンツ先生,胖次老师
569,花京淫,花京淫
570,ジーナ,吉娜
571,ミリオ,米莉奥
572,ララ,菈菈
573,ジュリア,朱莉娅
574,さつき,皋月
575,弥生,""
576,ルーファ,鲁法
577,マジカルまりんちゃん,魔法少女玛琳酱
578,アウグスタ,奥古斯塔
579,マグダ,玛格达
580,アレリア,阿蕾莉亚
581,オフィリア,奥菲莉亚
582,オーロラ,奥罗拉
583,アリアドネ,阿莉亚多涅
584,クレスタ,克莱斯特
585,グロリア,格洛丽亚
586,ショウキ,钟馗
587,ルリ,露莉
588,スイキ,水鬼
589,フィフィ,菲菲
590,エメラ,艾梅拉
591,マヤ,玛雅
592,メル,梅露
593,イヨ,伊欧
594,ジーン,吉恩
595,フウキ,风鬼
596,マイン,梅因
597,ナドカ,娜多卡
598,コトハ,珂托哈
599,サンディ,珊迪
600,オリビア,奥莉维亚
601,ミラ,米拉
602,カンナ,卡娜
603,ノア,诺亚
604,コンスタンツェ,康斯坦策
605,レミナ,雷米娜
606,レラ,蕾拉
607,ユージィー,尤吉
608,グレッタ,格蕾塔
609,リージュ,莉茱
610,ミラノ,米拉娜
611,クィーンエヴァ,女王伊娃
612,バフォム,巴风姆
613,くだん,件
614,ヴェルベラ,维尔贝拉
615,スミレ,堇
616,ローザ,罗萨
617,ボムボム,嘣嘣
618,リキュルン,利口伦
619,プリン,布丁
620,アスラ,阿修罗
621,マキス,马基斯
622,レオノーラ,莱奥诺拉
623,クローラント,克罗兰
624,パンドラ,潘多拉
625,ニョロ,扭扭
626,アンモナ,阿蒙娜
627,さより,纱世里
628,ヒメ,姬
629,ウメ,梅
630,エミシ,艾米希
631,ケット・シー,凯西猫
632,フォキシー,芙克斯
633,ジュラ,侏罗
634,ヴィオラ,维奥拉
635,ロビリッチ,萝比里奇
636,ロッサ,罗飒
637,マミ,麻美
638,セドナ,赛德娜
639,エレグランテ,伊蕾格兰特
640,アルキュール,阿尔库尔
641,ヴェイユ,韦伊
642,グレイヌ,格蕾娜
643,ハーゲンベック,哈根贝克
644,サンタマリア,圣玛利亚
645,エリス,厄里斯
646,シャウト,肖特
647,ジャイアントセーラ,巨人莎拉
648,ズリン,阿交
649,ラブ,爱
650,ブラヴァツキー,布拉瓦茨基
651,アグニ,阿耆尼
652,雅姫,雅姬
653,マヒナ,玛希娜
654,スカルナ,斯卡鲁娜
655,ノン,诺恩
656,シェンホー,仙贺
657,ゲート,大门
658,魔列車,魔列车
659,サバト,萨巴特
660,ミサミサ,米萨米萨
661,ガーゴー,伽格
662,アテナ,雅典娜
663,阿吽,""
664,デアフリーゼ,德尔芙莉泽
665,トロ,特罗
666,シヴァ,湿婆
667,トリトン,特里同
668,タオ,道
669,モルボ,毛尔波
670,ガリア,加利亚
671,アデウス,阿蒂斯
672,ヨルム,耶梦
674,アンブロシア,安布罗西亚
675,ロア,洛阿
676,ガタノソア,加塔诺托亚
677,グリモワール,格里莫瓦
678,魅凪,""
679,禍撫,祸抚
680,蛭蟲,蛭虫
681,華音,华音
682,玉藻,""
683,沙蛇,""
684,アリスフィーズ,爱丽丝菲兹
685,アリスフィーズ,爱丽丝菲兹
686,カオスフィーズ,混沌菲兹
692,アドラメレク,阿德拉梅莱克
693,アドラメレク,阿德拉梅莱克
694,アドラメレク,阿德拉梅莱克
695,クレオ・アドラ,克莱奥・阿德拉
696,白兎,白兔
697,アピロ・ラゴス,阿皮洛・拉戈斯
698,死神,""
699,ニフタ・テロス,尼菲特・泰罗斯
700,イデア・ルカス,伊迪亚・鲁卡斯
701,ネロ,尼禄
702,ネロ,尼禄
703,ネロ,尼禄
704,ネリス,妮莉丝
705,ネリス,妮莉丝
706,ヌール・コギト,努尔・科吉托
707,カオス,混沌
709,黒のアリス,黑之爱丽丝
710,黒のアリス,黑之爱丽丝
711,黒のアリス,黑之爱丽丝
712,黒のアリス,黑之爱丽丝
713,黒のアリス,黑之爱丽丝
714,蝕のアリス,蚀之爱丽丝
715,帽子のアリス,帽之爱丽丝
716,傘のアリス,伞之爱丽丝
717,赤のアリス,赤之爱丽丝
718,冬のアリス,冬之爱丽丝
719,剣のアリス,剑之爱丽丝
720,武のアリス,武之爱丽丝
721,猟のアリス,猎之爱丽丝
722,白のアリス,白之爱丽丝
723,侍のアリス,侍之爱丽丝
724,忍のアリス,忍之爱丽丝
725,舞のアリス,舞之爱丽丝
726,海のアリス,海之爱丽丝
727,呪のアリス,咒之爱丽丝
728,兎のアリス,兔之爱丽丝
729,魔のアリス,魔之爱丽丝
730,アリスフィーズ3世,爱丽丝菲兹3世
731,アリスフィーズ3世,爱丽丝菲兹3世
732,アリスフィーズ4世,爱丽丝菲兹4世
733,アリスフィーズ4世,爱丽丝菲兹4世
734,アリスフィーズ5世,爱丽丝菲兹5世
735,アリスフィーズ5世,爱丽丝菲兹5世
736,アリスフィーズ6世,爱丽丝菲兹6世
737,アリスフィーズ6世,爱丽丝菲兹6世
738,アリスフィーズ7世,爱丽丝菲兹7世
739,アリスフィーズ7世,爱丽丝菲兹7世
740,アリスフィーズ9世,爱丽丝菲兹9世
741,アリスフィーズ9世,爱丽丝菲兹9世
742,アリスフィーズ10世,爱丽丝菲兹10世
743,アリスフィーズ10世,爱丽丝菲兹10世
744,アリスフィーズ11+12世,爱丽丝菲兹11+12世
745,アリスフィーズ11世,爱丽丝菲兹11世
746,アリスフィーズ12世,爱丽丝菲兹12世
747,アリスフィーズ13世,爱丽丝菲兹13世
748,アリスフィーズ13世,爱丽丝菲兹13世
749,アリスフィーズ14世,爱丽丝菲兹14世
750,アリスフィーズ14世,爱丽丝菲兹14世
751,アリスフィーズ15世,爱丽丝菲兹15世
752,アリスフィーズ15世,爱丽丝菲兹15世
753,孫悟空,孙悟空
754,ケツァルコァトル,羽蛇神
755,テスカトリポカ,特斯卡特利波卡
756,アジ・ダハーカ,阿兹・达哈卡
757,ヒミコ,卑弥呼
758,イザナミ,伊邪那美
759,デウスエクスマキナ,机械降神
760,デウスエクスマキナ,机械降神
761,シグルド,希格德
762,フレデリカ,芙蕾德莉卡
763,ユー,优
764,レイ,铃
765,クロムドール,库洛姆木偶
766,ラ・クロワ,拉・克罗瓦
767,影紬,""
768,影紬,""
769,黄泉蜘蛛,""
770,魁狐々,魁狐狐
771,蘭天狗,兰天狗
772,マガツカルラ,祸津迦楼罗
773,韋駄天,韦驮天
774,プッチーナ,普蒂娜
775,ヴァンガード,万加德
776,グランパピー,格兰帕皮
777,ミニ,米妮
778,ミニ,米妮
779,ギガント,吉甘特
780,ネフィリム,拿非利
781,アンゴルモア,安哥尔摩亚
782,マガツオオミカミ,祸津大御神
783,シンギュラリティ,奇点
784,ワールドドロウン,世界沉没者
785,コスモス,宇宙神蝶
786,コスモス,宇宙神蝶
787,ノーライフキング,无生之王
788,バアル・ゼブブ,巴力・西卜
789,七つの大罪,七宗罪
790,メテオラ,米特奥拉
791,エキドナ,厄喀德那
792,ダークフェニックス,黑暗凤凰
793,次元侵蝕者,次元侵蚀者
794,クトゥルフ,克苏鲁
795,星喰い,星喰
796,虚竜,虚龙
797,魔神,""
798,鬼神,""
799,女神,""
801,ラルス,拉尔斯
802,ルヴィッサ,露维莎
803,エスト,艾斯特
804,ミュスカ,缪丝卡
805,ネメア,涅梅雅
806,ヴィヌム,薇诺姆
807,ロウラット,罗拉特
808,リジェオ,莉洁奥
809,フルビュア,芙尔维娅
810,ギルゴーン,吉尔贡
811,白念,""
812,マガツ,玛格兹
813,夢狐,梦狐
814,大明海,""
815,カズヤ,和也
816,ランパス,兰帕丝
817,躯,""
818,妲己,""
819,レスト,雷斯特
820,ベル,贝尔
821,リラ,莉拉
822,ミュゼット,缪泽特
823,ノビッサ,洛彼沙
824,ターサ,塔莎
825,ターサ,塔莎
826,エクスキューショナー,艾斯丘雪娜
827,オーガトゥース,奥伽图丝
828,ミステルテイン,米斯特汀
829,リリン,莉莉恩
830,メア,梅亚
831,アヤネ,绫音
832,アマビエ,尼彦
833,アマビエ,尼彦
834,魔王カサンドラ,魔王卡桑德拉
835,カサンドラ,卡桑德拉
836,リリィ,莉莉
837,ルシア,露西亚
838,牛魔王,""
839,ウィッチ,女巫
840,ファティマ,法蒂玛
841,ソニア,索尼娅
842,ソニア,索尼娅
843,ソニアマズダ,索尼娅・马兹达
844,ソニアマンユ,索尼娅・曼纽
845,ソニアカオス,索尼娅・卡奥斯
846,エクス・ソニア,艾克斯・索尼娅
848,スローネ,斯洛妮
849,ダブリン,都柏林
850,イズン,伊敦
851,カースエンジェルズ,诅咒天使
852,アルジェミニ,阿尔杰米妮
853,エルジェミニ,艾尔杰米妮
854,シェムハザ,示米哈扎
855,アグレイブ,阿格雷夫
856,スターマ,斯塔玛
857,ラジャーラ,拉贾拉
858,メギー,米婕
859,エグセラ,艾克撒拉
860,アプサラス,阿普萨拉丝
861,ゾルオクト,佐尔奥克托
862,ティアマト,提亚玛特
863,アプティルト,阿普蒂尔特
864,アムナリオ,阿姆纳里奥
865,サマエル,萨麦尔
866,シャドウ,暗影
867,アナト,阿娜特
868,ベレニケ,贝勒尼基
869,ケレス,克瑞斯
870,ドゥルガー,杜尔迦
871,ロジェスティラ,洛姬斯蒂拉
872,テティス,忒提丝
873,ネレイデス,涅瑞伊德斯
874,パズズ,帕祖祖
875,マステマ,莫斯提马
876,アメノハヅチ,天羽槌
877,八尺様,八尺大人
878,ゲシュタルト,格式塔
879,ハイブマインド,蜂巢思维
880,ミルフ,米露芙
881,サタナキア,萨塔妮基亚
882,ブラディ,布拉迪
883,パズン,派兹
884,エヴォル,埃沃珥
885,いおり,伊织
886,マグダ,玛格达
887,シスエル,希斯艾尔
888,アザゼル,阿撒兹勒
889,グリゴリ,守望者
890,白天狐,""
891,妙法絡新婦,妙法络新妇
892,ディーピー,渊嗣
893,クトゥ,克图
894,ワーミィ,蠕米
895,プラーナ,涡虫
896,アンドロメダ,安德洛墨达
897,ディアマンティナ,迪亚曼蒂娜
898,ヌルアオ,黏黏青
899,ヌルアカ,黏黏红
900,ヌルキ,黏黏黄
901,TT,""
902,QQ,""
903,グラーニェ,格拉涅
904,トゥーン,冬恩
905,インドラ,因陀罗
906,アバドン,亚巴顿
907,ナイン,玖
908,ドーラドーラ,朵拉朵拉
909,瑠渦,瑠渦
910,メルカヴァ,灵轮
911,フレール,弗莱尔
912,アガリアレプト,阿加利亚雷普特
913,ゲイズ,盖兹
914,ベリアル,贝利亚尔
916,コズミックウーマン,宇宙女侠
917,サイバーナイト,赛博骑士
918,ゴーストフォックス,鬼狐
919,狐華,狐华
920,ジェサイア,杰赛亚
921,メルティバット,致命蝙蝠
922,マーリン,梅林
923,マーリン,梅林
924,ゴーストフォックス,鬼狐
925,狐華,狐华
926,メルティバット,致命蝙蝠
927,カレン,卡莲
928,影紬,""
929,ワイティエル会議,怀蒂艾尔会议
998,コロン,科珑
999,ヌール・コギト,努尔・科吉托
