ID,名称,中文名称
60,メダル女王の城,奖章女王的城堡
61,北イリアス修道院,北伊莉娅丝修道院
62,試しの洞窟 B1F,试炼洞窟 B1F
63,試しの洞窟 B2F,试炼洞窟 B2F
64,求道者の洞窟 1F,求道者洞窟 1F
65,求道者の洞窟 B1F,求道者洞窟 B1F
66,求道者の洞窟 B2F,求道者洞窟 B2F
67,求道者の洞窟 B3F,求道者洞窟 B3F
68,迷宮への洞窟,迷宫之洞窟
69,秘宝の洞窟 1F,秘宝洞窟 1F
70,秘宝の洞窟 B1F,秘宝洞窟 B1F
71,マール大回廊,马尔大回廊
72,ライラの大滝 B1F,莱拉大瀑布 B1F
73,ライラの大滝 B2F,莱拉大瀑布 B2F
74,ライラの大滝 B3F,莱拉大瀑布 B3F
75,天界墜落2,""
76,キャンディイベント,坎蒂事件
77,ループイベント,循环事件
78,Rポケット魔王城 1F北,R口袋魔王城 1F北
79,化石鉱山 1F,化石矿山 1F
80,化石鉱山 B1F,化石矿山 B1F
81,イリナ山地南の洞窟 1F,伊莉娜山地南洞窟 1F
82,Rポケット魔王城 大聖堂,R口袋魔王城 大教堂
83,Rポケット魔王城 2F東,R口袋魔王城 2F东
84,Rポケット魔王城 2F西,R口袋魔王城 2F西
85,Rポケット魔王城 3F,R口袋魔王城 3F
86,ハーピーの塔 1F,哈比之塔 1F
87,ハーピーの塔 2F,哈比之塔 2F
88,ハーピーの塔 3F,哈比之塔 3F
89,Rポケット魔王城 砂浜の間,R口袋魔王城 沙滩间
90,Rポケット魔王城 雪の間,R口袋魔王城 雪间
91,サキュプリ 1F,萨库普利 1F
92,クロムの部屋,库洛姆的房间
93,忘れられし塔 1F,被遗忘之塔 1F
94,サキュプリ 無限図書館,萨库普利 无限图书馆
95,サキュプリ 地下,萨库普利 地下
96,サキュプリ 地下魔穴,萨库普利 地下魔穴
97,ガールズバンドイベント,少女乐队事件
98,ナメクジタワー 1F,蛞蝓塔 1F
99,ナメクジタワー 2F,蛞蝓塔 2F
100,ナメクジタワー 3F,蛞蝓塔 3F
101,人形遣いの塔 1F,操偶师之塔 1F
102,ポケット魔王城 封印塔,口袋魔王城 封印塔
103,ポケット魔王城 混沌の回廊,口袋魔王城 混沌回廊
104,ポケット魔王城襲撃 1F南2,""
105,魔導の塔 1F,魔导之塔 1F
106,魔導の塔 2F,魔导之塔 2F
107,魔導の塔 3F,魔导之塔 3F
108,魔導の塔 4F,魔导之塔 4F
109,魔導の塔 5F,魔导之塔 5F
110,古代神殿跡 1F,古代神殿遗迹 1F
111,古代神殿跡 3F,古代神殿遗迹 3F
112,古代神殿跡 B1F,古代神殿遗迹 B1F
113,古代神殿跡 2F,古代神殿遗迹 2F
114,ピラミッド 1F,金字塔 1F
115,ピラミッド 2F,金字塔 2F
116,ピラミッド 3F,金字塔 3F
117,ピラミッド 4F,金字塔 4F
118,魔王城 1F,""
119,魔王城 B1F,""
120,魔王城 2F,""
121,魔王城 3F,""
122,魔王城 3F,""
123,タラスの丘,塔拉斯之丘
124,ゴルド海岸,戈尔德海岸
125,迷いの森,迷途森林
126,ポケット魔王城 正門,口袋魔王城 正门
127,レムズ海岸,雷姆兹海岸
128,精霊の森,精灵之森
129,サルーンの丘,萨伦之丘
130,風光明媚の山,风景秀丽的山
131,ナタリア海岸,娜塔莉亚海岸
132,プランセクト村,普兰塞克特村
133,カルロスの丘,卡尔洛斯之丘
134,レド山,雷德山
135,蓬莱山,""
136,イリアス神殿跡 第1層,伊莉娅丝神殿遗迹 第1层
137,イリアス神殿跡 第2層,伊莉娅丝神殿遗迹 第2层
138,イリアス神殿跡 第3層,伊莉娅丝神殿遗迹 第3层
139,イリアスポート,伊莉娅丝港
140,イリアスポート屋内,伊莉娅丝港室内
141,ナタリアポート,娜塔莉亚港
142,ナタリアポート屋内,娜塔莉亚港室内
143,ゴルドポート,戈尔德港
144,ゴルドポート屋内,戈尔德港室内
145,南の海底神殿,南方的海底神殿
146,北の海底神殿 1F,北方的海底神殿 1F
147,北の海底神殿 1F,北方的海底神殿 1F
148,北の海底神殿 B1F,北方的海底神殿 B1F
149,北の海底神殿 B1F,北方的海底神殿 B1F
150,ヤマタイへの洞窟,通往邪马台的洞窟
151,管理者の塔 1F,管理者之塔 1F
152,滅びの地,毁灭之地
153,サキュプリ 2F,萨库普利 2F
154,冥府（ゲームオーバー）,""
155,プロメスティンの部屋,普罗米斯汀的房间
156,アリストロメリアの部屋,爱丽丝特洛梅利亚的房间
157,ステージ,舞台
158,忘れられし塔 2F,被遗忘之塔 2F
159,ピラミッド,金字塔
160,ヘルゴンドの洞窟 1F,赫尔贡多的洞窟 1F
161,ヘルゴンドの洞窟 1F,赫尔贡多的洞窟 1F
162,忘れられし塔 3F,被遗忘之塔 3F
163,ヘルゴンドの洞窟 B1F,赫尔贡多的洞窟 B1F
164,地下図書館 第2層,地下图书馆 第2层
165,ヘルゴンドの洞窟 2F,赫尔贡多的洞窟 2F
166,ヘルゴンドの洞窟 1F,赫尔贡多的洞窟 1F
167,管理者の塔 1F,管理者之塔 1F
168,管理者の塔 B1F,管理者之塔 B1F
169,管理者の塔 1F,管理者之塔 1F
170,管理者の塔 2F,管理者之塔 2F
171,管理者の塔 2F,管理者之塔 2F
172,管理者の塔 3F,管理者之塔 3F
173,管理者の塔 B1F,管理者之塔 B1F
174,管理者の塔 4F,管理者之塔 4F
175,進軍の丘 第3層,进军之丘 第3层
176,グランゴルド城 1F,格兰戈尔德城 1F
177,グランゴルド城 2F,格兰戈尔德城 2F
178,滅びの地 廃墟1F,毁灭之地 废墟1F
179,滅びの地 廃墟B1F,毁灭之地 废墟B1F
180,滅びの地 廃墟2F,毁灭之地 废墟2F
181,雪のほこら B1F,雪之祠堂 B1F
182,ヘルゴンドのほこら,赫尔贡多的圣殿
183,レミナ,雷米娜
184,屋内,室内
185,名も無きスラム屋内,无名贫民窟室内
186,レミナ住宅街,雷米娜住宅区
187,レミナ商業区,雷米娜商业区
188,レミナ城前,雷米娜城前
189,テスト島,测试岛
190,忘れられし塔 4F,被遗忘之塔 4F
191,イリアス大陸南の大穴,伊莉娅丝大陆南之大洞
192,サルーン廃鉱 B1F,萨伦废矿 B1F
193,忘れられし塔 5F,被遗忘之塔 5F
194,異界4（8世時代）,""
195,異界2（数十年前）,""
196,異界1（滅びの世界）,""
197,異界3（消え行く世界）,""
198,サルーン廃鉱 B2F,萨伦废矿 B2F
199,サバサ大陸北の大穴,撒巴萨大陆北的大洞
200,タルタロスCW148240 第1層,塔尔塔洛斯CW148240 第1层
201,タルタロスCW148240 第2層,塔尔塔洛斯CW148240 第2层
202,タルタロスCW148240 第2層,塔尔塔洛斯CW148240 第2层
203,混沌の回廊,混沌回廊
204,ヤマタイへの洞窟,通往邪马台的洞窟
205,忘れられし塔（崩壊）,""
206,きつねの里,狐之里
207,たぬきの里,狸之里
208,きつねの里屋内,狐之里室内
209,きつねの里（戦闘）,""
210,きつね&たぬきの里屋内（戦闘）,""
211,たぬきの里屋内,狸之里室内
212,ハーピーイベント,哈比事件
213,転送のほこら屋内,传送圣坛室内
214,孤独の地 B1F,孤独之地 B1F
215,タルタロスI299387 第1層,塔尔塔洛斯I299387 第1层
216,雪のほこら 1F,雪之祠堂 1F
217,滅びの地 廃墟3F,毁灭之地 废墟3F
218,タルタロスI299387 第2層,塔尔塔洛斯I299387 第2层
219,モンテカルロ屋内,蒙特卡洛室内
220,ラダイト村はずれ,拉达伊特村外
221,ラダイト村屋内,拉达伊特村室内
222,レミナ屋内,雷米娜室内
223,ハーピーの集落,哈比的聚落
224,マギステア村,玛吉斯提雅村
225,地下図書館 第3層,地下图书馆 第3层
226,マギステア村屋内,玛吉斯提雅村室内
227,ポケット魔王城 森,口袋魔王城 森林
228,ポケット魔王城,口袋魔王城
229,ポケット魔王城 1F北,口袋魔王城 1F北
230,ポケット魔王城 中庭,口袋魔王城 中庭
231,大海賊の洞窟 1F（海軍ルート）,""
232,大海賊の洞窟 2F（海軍ルート）,""
233,内部（海軍ルート）,""
234,ポルノフ鉱山 1F,波尔诺夫矿山 1F
235,名も無きスラム,无名贫民窟
236,ポルノフ鉱山 B1F,波尔诺夫矿山 B1F
237,悪夢の荒野 第1層,恶梦的荒野 第1层
238,進軍の丘 第1層,进军之丘 第1层
239,進軍の丘 第2層,进军之丘 第2层
240,進軍の丘 第4層,进军之丘 第4层
241,進軍の丘 第5層,进军之丘 第5层
242,進軍の丘 第6層,进军之丘 第6层
243,進軍の丘 第7層,进军之丘 第7层
244,進軍の丘 第8層,进军之丘 第8层
245,進軍の丘 第9層,进军之丘 第9层
246,進軍の丘 第10層,进军之丘 第10层
247,進軍の丘 第11層,进军之丘 第11层
248,進軍の丘 第12層,进军之丘 第12层
249,悪夢の荒野 第2層,恶梦的荒野 第2层
250,悪夢の荒野 第3層,恶梦的荒野 第3层
251,イリアス神殿B1F,伊莉娅丝神殿B1F
252,イリアス神殿2F,伊莉娅丝神殿2F
253,イリアス大陸東の大穴,伊莉娅丝大陆东的大洞
254,イリアス大陸東の大穴,伊莉娅丝大陆东的大洞
255,混沌の回廊,混沌回廊
256,イリアス大陸南の大穴,伊莉娅丝大陆南之大洞
257,ロストルム山地洞窟,洛斯托鲁姆山地洞窟
258,ロストルム山地洞窟 1F,洛斯托鲁姆山地洞窟 1F
259,ロストルム山地洞窟 2F,洛斯托鲁姆山地洞窟 2F
260,ロストルム山地洞窟 3F,洛斯托鲁姆山地洞窟 3F
261,ロストルム山地洞窟 4F,洛斯托鲁姆山地洞窟 4F
262,ロストルム山地洞窟 3F,洛斯托鲁姆山地洞窟 3F
263,ロストルム山地洞窟 2F,洛斯托鲁姆山地洞窟 2F
264,ロストルム山地洞窟 1F,洛斯托鲁姆山地洞窟 1F
265,ポルノフ鉱山 B2F,波尔诺夫矿山 B2F
266,溶岩鉱窟 1F,熔岩矿窟 1F
267,溶岩鉱窟 B1F,熔岩矿窟 B1F
268,ポケット魔王城 雪の間,口袋魔王城 雪之厅
269,ポケット魔王城 砂浜の間,口袋魔王城 沙滩厅
270,ポケット魔王城 兵舎,口袋魔王城 兵营
271,ポケット魔王城 大聖堂,口袋魔王城 大教堂
272,ポケット魔王城 B1F,口袋魔王城 B1F
273,ポケット魔王城 2F東,口袋魔王城 2F东
274,ポケット魔王城 会議場,口袋魔王城 会议场
275,ポケット魔王城 居間,口袋魔王城 居室
276,ポケット魔王城 2F西,口袋魔王城 2F西
277,ポケット魔王城 3F,口袋魔王城 3F
278,ポケット魔王城 ロイヤルルーム,口袋魔王城 皇家房间
279,海軍本部,海军本部
280,海軍本部屋内,海军本部室内
281,魔導学園 1F,魔导学园 1F
282,魔導学園 2F,魔导学园 2F
283,ミノタウロスの迷宮 1F,米诺陶洛斯的迷宫 1F
284,ミノタウロスの迷宮 2F,米诺陶洛斯的迷宫 2F
285,ミノタウロスの迷宮 3F,米诺陶洛斯的迷宫 3F
286,ミダス廃鉱 1F,米达斯废矿 1F
287,ミダス廃鉱 B1F,米达斯废矿 B1F
288,ミダス廃鉱 B1F,米达斯废矿 B1F
289,イリナ山地北の洞窟 1F,伊莉娜山地北洞窟 1F
290,イリナ山地北の洞窟 B1F,伊莉娜山地北洞窟 B1F
291,ゴルド砦 1F,戈尔德堡垒 1F
292,ゴルド砦 2F,戈尔德堡垒 2F
293,吸血鬼の魔城 1F,吸血鬼魔城 1F
294,吸血鬼の魔城 2F,吸血鬼魔城 2F
295,吸血鬼の魔城 B1F,吸血鬼魔城 B1F
296,創世の館 1F,创世之馆 1F
297,創世の館 2F,创世之馆 2F
298,創世の館 B1F,创世之馆 B1F
299,たぬきの里（戦闘）,""
300,エルフの里,精灵村
301,エルフの里内部,精灵村内部
302,エルフ姫の屋敷,精灵公主的宅邸
303,エルフ姫の屋敷部屋,精灵公主的宅邸房间
304,世界樹 1F,世界树 1F
305,世界樹 2F,世界树 2F
306,世界樹 3F,世界树 3F
307,恵みのオアシス,恩惠之绿洲
308,ライラの大滝,莱拉大瀑布
309,ゴルド東の大毒沼,戈尔德东大毒沼
310,ロストルム村,洛斯托鲁姆村
311,ロストルム村屋内,洛斯托鲁姆村室内
312,ヘルゴンドのほこら,赫尔贡多的圣殿
313,ヘルゴンドのほこら B1F,赫尔贡多的圣殿 B1F
314,ヘルゴンドのほこら B2F,赫尔贡多的圣殿 B2F
315,ヘルゴンドのほこら B3F,赫尔贡多的圣殿 B3F
316,過去マルケルス1,""
317,過去マルケルス2,""
318,罪人の封牢,罪人之封牢
319,罪人の封牢内部,罪人之封牢内部
320,ヘルゴンドの洞窟 1F,赫尔贡多的洞窟 1F
321,ヘルゴンドの洞窟 2F,赫尔贡多的洞窟 2F
322,ヘルゴンドの洞窟 1F,赫尔贡多的洞窟 1F
323,ヘルゴンドの洞窟 B1F,赫尔贡多的洞窟 B1F
324,魔王城 1F,""
325,魔王城 B1F,""
326,魔王城 2F,""
327,魔王城 3F,""
328,ゴルド火山洞窟,戈尔德火山洞窟
329,ウンディーネの泉,温蒂妮之泉
330,ウンディーネの泉 B1F,温蒂妮之泉 B1F
331,魔王城 3F,""
332,魔王城 4F,""
333,グランベリアの部屋,古兰贝莉娅的房间
334,アルマエルマの部屋,阿露艾露玛的房间
335,たまもの部屋,玉藻房间
336,エルベティエの部屋,艾露贝提耶的房间
337,グランドール,格兰多尔
338,グランドール屋内,格兰多尔室内
339,ハーピーの集落裏,哈比的聚落后方
340,ハーピーの集落屋内,哈比的聚落室内
341,ハピネス村,幸福村
342,ハピネス村屋内,幸福村室内
343,北のお化け屋敷 1階,北方的鬼屋 1楼
344,北のお化け屋敷 応接間,北方的鬼屋 接待室
345,北のお化け屋敷 台所,北方的鬼屋 厨房
346,北のお化け屋敷 2階廊下,北方的鬼屋 2楼走廊
347,北のお化け屋敷 客間1,""
348,北のお化け屋敷 客間2,""
349,北のお化け屋敷 倉庫,北方的鬼屋 仓库
350,北のお化け屋敷 食堂,北方的鬼屋 食堂
351,北のお化け屋敷 地下室,北方的鬼屋 地下室
352,北のお化け屋敷 3F廊下,北方的鬼屋 3F走廊
353,北のお化け屋敷 クロムの部屋,北方的鬼屋 库洛姆的房间
354,北のお化け屋敷 隠し部屋,北方的鬼屋 隐藏房间
355,サン・イリア城,圣・伊莉娅城
356,地下図書館 第1層,地下图书馆 第1层
357,サン・イリア城 兵舎,圣・伊莉娅城 兵营
358,ドン・ファーザー邸,唐・法德尔邸
359,領主の館 1F西,领主馆 1F西
360,領主の館 1F東,领主馆 1F东
361,領主の館 B1F,领主馆 B1F
362,領主の館 リリィの部屋,领主馆 莉莉的房间
363,領主の館 2F,领主馆 2F
364,オロチの洞,大蛇之洞
365,瀑布,""
366,滝裏,瀑布内部
367,奥の洞,深处洞穴
368,隠し穴,隐藏洞穴
369,幽霊船 甲板,幽灵船 甲板
370,幽霊船 B1F,幽灵船 B1F
371,幽霊船 B2F,幽灵船 B2F
372,室内,""
373,幽霊船 B3F,幽灵船 B3F
374,イリアス大陸南の大穴,伊莉娅丝大陆南之大洞
375,異空間,异空间
376,おさかな号 1F,御鱼号 1F
377,サバサ城1F,撒巴萨城1F
378,サバサ城2F,撒巴萨城2F
379,サファル砂漠遺跡 第1層,萨法尔沙漠遗迹 第1层
380,サファル砂漠遺跡 第2層,萨法尔沙漠遗迹 第2层
381,屋内,室内
382,グランドノア城1F,格兰德诺亚城1F
383,グランドノア城2F,格兰德诺亚城2F
384,ヘルゴンド大陸西の大穴,赫尔贡多大陆西的大洞
385,混沌の回廊,混沌回廊
386,タルタロスXXH145087 第1層,塔尔塔洛斯XXH145087 第1层
387,タルタロスXXH145087 第2層,塔尔塔洛斯XXH145087 第2层
388,タルタロスXXH145087 屋内,塔尔塔洛斯XXH145087 室内
389,混沌の回廊,混沌回廊
390,神鳥のほこら,神鸟之祠
391,第三の選択バッドエンド1,""
392,エスタの大穴,埃斯塔的大洞
393,サファル砂漠遺跡 第3層,萨法尔沙漠遗迹 第3层
394,雪越えの洞窟,雪越洞窟
395,雪越えの洞窟,雪越洞窟
396,雪越えの洞窟 山頂,雪越洞窟 山顶
397,屋内2,""
398,雪越えの洞窟 第1層,雪越洞窟 第1层
399,雪越えの洞窟 第2層,雪越洞窟 第2层
400,雪越えの洞窟 第3層,雪越洞窟 第3层
401,雪越えの洞窟 第4層,雪越洞窟 第4层
402,雪越えの洞窟 第5層,雪越洞窟 第5层
403,雪越えの洞窟 第6層,雪越洞窟 第6层
404,タルタロスCE262195 第2層,塔尔塔洛斯CE262195 第2层
405,混沌の回廊,混沌回廊
406,野営1,""
407,大いなる決断・待機,重大的决断・待机
408,アルマエルマの部屋（決断の時）,""
409,たまもの部屋（決断の時）,""
410,ガルダ脱出・イリアス,加鲁达逃脱・伊莉娅丝
411,エスタタルタロス突入,埃斯塔塔尔塔洛斯突入
412,第三の選択バッドエンド4,""
413,第三の選択バッドエンド2,""
414,サファル砂漠遺跡 第4層,萨法尔沙漠遗迹 第4层
415,妖精の島 南,妖精之岛 南
416,妖精の島 北,妖精之岛 北
417,妖精の島 中央,妖精之岛 中央
418,タルタロスI372367 第1層,塔尔塔洛斯I372367 第1层
419,タルタロスI372367 第2層,塔尔塔洛斯I372367 第2层
420,混沌の回廊,混沌回廊
421,イリアス大陸東の大穴,伊莉娅丝大陆东的大洞
422,サバサ大陸北の大穴,撒巴萨大陆北的大洞
423,ゴルド大陸西の大穴,戈尔德大陆西的大洞
424,タルタロスCW117136 第1層,塔尔塔洛斯CW117136 第1层
425,混沌の回廊,混沌回廊
426,ゴルド大陸西の大穴,戈尔德大陆西的大洞
427,サバサ大陸北の大穴,撒巴萨大陆北的大洞
428,ゴルド大陸西の大穴,戈尔德大陆西的大洞
429,第三の選択バッドエンド3,""
430,大いなる決断・アリス,重大的决断・爱丽丝
431,大いなる決断・イリアス,重大的决断・伊莉娅丝
432,ガルダ脱出・アリス,加鲁达逃脱・爱丽丝
433,人形遣いの塔 2F,操偶师之塔 2F
434,人形遣いの塔 3F,操偶师之塔 3F
435,人形遣いの塔 4F,操偶师之塔 4F
436,人形遣いの塔 5F,操偶师之塔 5F
437,作戦会議,作战会议
438,混沌ルートプロローグ,混沌路线序幕
439,智の同盟研究所 1F,智之同盟研究所 1F
440,智の同盟研究所 B1F,智之同盟研究所 B1F
441,智の同盟研究所 B2F,智之同盟研究所 B2F
442,智の同盟研究所 2F,智之同盟研究所 2F
443,智の同盟研究所会議,智之同盟研究所会议
444,智の同盟研究所 3F,智之同盟研究所 3F
445,中央タルタロス,中央塔尔塔洛斯
446,タルタロスXXX169203 第3層,塔尔塔洛斯XXX169203 第3层
447,タルタロスXXX169203 第1層,塔尔塔洛斯XXX169203 第1层
448,タルタロスXXX169203 第2層,塔尔塔洛斯XXX169203 第2层
449,タルタロスXXX169203 第4層,塔尔塔洛斯XXX169203 第4层
450,タルタロスXXX169203 第5層,塔尔塔洛斯XXX169203 第5层
451,タルタロスXXX169203 第6層,塔尔塔洛斯XXX169203 第6层
452,タルタロスXXX169203 第7層,塔尔塔洛斯XXX169203 第7层
453,タルタロスXXX169203 第8層,塔尔塔洛斯XXX169203 第8层
454,タルタロスXXX169203 第9層,塔尔塔洛斯XXX169203 第9层
455,ポケット魔王城襲撃 会議場,口袋魔王城袭击 会议场
456,ポケット魔王城襲撃 2F西1,""
457,ポケット魔王城襲撃 2F西2,""
458,ポケット魔王城襲撃 2F西3,""
459,ミトラ封印城,米特拉封印城
460,封印の間,封印之间
461,イリアスヴィル,伊莉娅丝村
462,タルタロスI299387 第3層,塔尔塔洛斯I299387 第3层
463,タルタロスI299387 屋内,塔尔塔洛斯I299387 室内
464,タルタロスI372367 第3層,塔尔塔洛斯I372367 第3层
465,タルタロスI372367 屋内,塔尔塔洛斯I372367 室内
466,タルタロスCW117136 第2層,塔尔塔洛斯CW117136 第2层
467,タルタロスCW117136 屋内,塔尔塔洛斯CW117136 室内
468,ポケット魔王城襲撃 1F南1,""
469,ポケット魔王城襲撃 正門1,""
470,ポケット魔王城襲撃 1F北,口袋魔王城袭击 1F北
471,ポケット魔王城襲撃 正門2,""
472,コロシアム,角斗场
473,ポケット魔王城襲撃 B1F2,""
474,ポケット魔王城襲撃 中庭,口袋魔王城袭击 中庭
475,ポケット魔王城襲撃 B1F,口袋魔王城袭击 B1F
476,サバサ,撒巴萨
477,サバサ屋内,撒巴萨室内
478,おさかな号 B1F,御鱼号 B1F
479,おさかな号 B2F,御鱼号 B2F
480,カオスの領域 最奥,混沌领域 最深处
481,ポケット魔王城 会議場,口袋魔王城 会议场
482,ルシフィナ救援,路西菲娜救援
483,闘技場,斗技场
484,コロシアム1F,角斗场1F
485,神社坂,神社坡
486,野営（タルタロス）,""
504,猫神社,""
505,本社前,""
506,倉庫,仓库
507,狐神社,""
508,本社前,""
509,社務所,办事处
510,狸神社,""
511,本社前,""
512,蛇神社,""
513,蛇神社内部,""
514,サキュバスの村,魅魔村
515,サキュバスの村屋内,魅魔村室内
523,野営2,""
544,イベント,事件
545,オープニング,开场
546,タルタロス,塔尔塔洛斯
550,ラダイト村洞窟,拉达伊特村洞窟
551,レミナ城,雷米娜城
573,イリアス裏山イベント,伊莉娅丝后山事件
574,ソニア裏山イベント,索尼娅后山事件
575,盗賊団お叱り,盗贼团训斥
576,冥府（イリアス神殿）,""
586,作戦会議1,""
587,セントラ大陸への船,前往圣特拉大陆的船
588,サン・イリア城 研究室,圣・伊莉娅城 研究室
594,ソニア強制加入1,""
598,イリアス神殿跡 第1層,伊莉娅丝神殿遗迹 第1层
599,海底神殿,""
602,人形遣いの塔,操偶师之塔
604,野営3,""
613,ラダイト村1,""
616,ラダイト村2,""
619,管理者の塔 X1F,管理者之塔 X1F
621,滅亡ラダイト村,灭亡的拉达伊特村
622,滅亡ラダイト村屋内,灭亡的拉达伊特村室内
624,大劇場,大剧场
625,カジノ,赌场
626,エンリカ,恩里卡
628,ポケット魔王城,口袋魔王城
629,BF:バニィちゃん,""
630,BF:ケイト,""
634,タルタロス脱出,塔尔塔洛斯脱出
635,回想1,""
636,回想2,""
637,ステージ49,""
638,ステージ11～20,""
639,ステージ1～10,""
640,ステージ21～30,""
641,ステージ31～40,""
642,ステージ41～50,""
643,洞窟,""
644,混沌の迷宮,混沌迷宫
645,聖山アモス,圣山阿莫斯
646,タルタロスI299387,""
647,イリナ山地南の洞窟,伊莉娜山地南洞窟
653,サファル砂漠遺跡 第3層,萨法尔沙漠遗迹 第3层
654,塔,""
655,サファル砂漠遺跡 第4層,萨法尔沙漠遗迹 第4层
656,ミダス廃鉱,米达斯废矿
657,イリナ山地北の洞窟,伊莉娜山地北洞窟
658,秘宝の洞窟,秘宝洞窟
659,海,""
660,カオス,混沌
661,管理者の塔,管理者之塔
662,砂漠,沙漠
663,魔導の塔,魔导之塔
664,サルーン廃鉱,萨伦废矿
665,100階,100层
666,タルタロスI372367,""
667,海軍本部（海賊襲撃）,""
668,森,森林
669,丘,山丘
670,迷いの森,迷途森林
671,レムズ海岸,雷姆兹海岸
672,ナタリア海岸,娜塔莉亚海岸
673,聖山アモス,圣山阿莫斯
674,精霊の森,精灵之森
675,カルロスの丘,卡尔洛斯之丘
676,恵みのオアシス,恩惠之绿洲
677,サファル砂漠遺跡,萨法尔沙漠遗迹
678,サルーンの丘,萨伦之丘
679,町,城镇
680,海軍本部屋内（海賊襲撃）,""
681,イリアスベルク,伊莉娅丝堡
682,名も無きスラム,无名贫民窟
683,ポルノフ,波尔诺夫
684,ハピネス村,幸福村
685,おさかな号 1F（襲撃）,""
686,ミダス村,米达斯村
687,エンリカ,恩里卡
688,ロストルム村,洛斯托鲁姆村
689,イリアスポート,伊莉娅丝港
690,ナタリアポート,娜塔莉亚港
691,ラダイト村,拉达伊特村
692,サン・イリア,圣・伊莉娅
693,モンテカルロ,蒙特卡洛
694,ルビアナ,鲁比亚纳
695,サバサ,撒巴萨
696,おさかな号 B1F（襲撃）,""
697,マギステア村,玛吉斯提雅村
698,サルーン,萨伦
699,求道者の洞窟 B1F,求道者洞窟 B1F
700,ラダイト村洞窟,拉达伊特村洞窟
701,おさかな号 B2F（襲撃）,""
702,地下図書館,地下图书馆
703,大海賊の洞窟 1F（海賊ルート）,""
704,求道者の洞窟 B2F,求道者洞窟 B2F
705,10階,10层
706,タルタロスI299387,""
707,タルタロスI372367,""
708,大海賊の洞窟 2F（海賊ルート）,""
709,内部（海賊ルート）,""
710,アルマエルマ対リリス,阿露艾露玛对莉莉丝
711,野営（グランドノア前）,""
712,異空間,异空间
713,ゴルド砦,戈尔德堡垒
714,ゴルド砦,戈尔德堡垒
715,地下水路,地下水道
716,内部通路,内部通道
717,グランドノア宴,格兰德诺亚宴会
718,ゴルド西の関所,戈尔德西部关卡
719,サキュバスの村（襲撃）,""
720,サキュバスの村屋内,魅魔村室内
721,グランゴルド襲撃,格兰戈尔德袭击
722,サン・イリア襲撃,圣・伊莉娅袭击
723,サバサ襲撃,撒巴萨袭击
724,おさかな号 1F,御鱼号 1F
725,作戦会議2,""
726,屋内2,""
727,屋内1,""
728,中章ラストバトル（アリス）,""
729,ソニア強制加入2,""
730,レミナ研究所,雷米娜研究所
731,ミノタウロスエピローグ,米诺陶洛斯尾声
732,プランセクト回想,普兰塞克特回想
733,天界エスタ,天界埃斯塔
734,グランドノア軍出陣,格兰德诺亚军出征
735,ゴルド砦,戈尔德堡垒
736,野営（グランゴルド前）,""
737,グランドノア軍戦闘,格兰德诺亚军战斗
738,セレーネ号,塞勒涅号
739,ベルゼバブ1,""
740,ベルゼバブ2,""
