"敌人ID","日本敌人名称","入队概率分母","基础入队概率","队友ID","日本队友名称","中文敌人名称","中文队友名称"
"56","スイカ娘","4","1/4（25.00%）","111","メロン","西瓜娘","蜜瓜"
"57","ウツボカズラ娘","4","1/4（25.00%）","112","かずら","猪笼草娘","葛"
"58","ラミア","3","1/3（33.33%）","113","アナスタシア","拉米亚","安娜塔西亚"
"59","ワカメ娘","4","1/4（25.00%）","114","わかめ","裙带菜娘","海带"
"60","クラゲ娘","4","1/4（25.00%）","115","くらげ","海蜇娘","水母"
"61","イソギンチャク娘","4","1/4（25.00%）","116","イザベル","海葵娘","伊莎贝尔"
"62","アンコウ娘","4","1/4（25.00%）","117","あんこ","鮟鱇鱼娘","豆沙"
"64","17ページ","3","1/3（33.33%）","119","アニー","17页","安妮"
"65","257ページ","4","1/4（25.00%）","120","ヨーコ","257页","洋子"
"67","シスターラミア","4","1/4（25.00%）","122","ソフィア","修女拉米亚","索菲亚"
"68","シスキュバス","4","1/4（25.00%）","123","クリスティー","修女魅魔","克莉丝蒂娜"
"69","アリクイ娘","4","1/4（25.00%）","124","杏奈","食蚁兽娘","杏奈"
"70","グリズリー娘","3","1/3（33.33%）","125","アイシャ","灰熊娘","艾莎"
"71","XX-7","4","1/4（25.00%）","126","ロビン","XX-7","罗宾"
"72","リトルバグ","4","1/4（25.00%）","127","リッピー","小虫","莉皮"
"73","キャンサーロイド","5","1/5（20.00%）","128","ジリアン","巨蟹机器人","吉莉安"
"75","ゴースト","3","1/3（33.33%）","130","キャリー","幽灵","嘉莉"
"76","呪いの人形娘","3","1/3（33.33%）","131","みやび","诅咒人偶娘","美雅"
"77","ゾンビ剣士","3","1/3（33.33%）","132","エリィ","僵尸剑士","艾莉"
"78","ゾンビ娘","4","1/4（25.00%）","133","ゾンビーズ","僵尸娘","僵尸们"
"84","エルフ","3","1/3（33.33%）","136","クローディア","精灵","克劳蒂娅"
"85","ブラウニーズ","4","1/4（25.00%）","137","ラブ＆ラム","棕精灵们","拉布＆拉姆"
"86","ツインズフェアリー","4","1/4（25.00%）","138","ミル＆リル","小仙子姐妹","米尔与莉尔"
"87","フェアリーズ","4","1/4（25.00%）","139","フェアリーズ","小仙子们","小仙子们"
"95","タランチュラ娘","4","1/4（25.00%）","140","ラチュラ","塔兰图拉毒蛛娘","塔图拉"
"96","ミノタウロス娘","3","1/3（33.33%）","141","ミナ","米诺陶洛斯娘","米娜"
"97","バンダースナッチ娘","4","1/4（25.00%）","142","バナッチ","攫速者娘","巴纳奇"
"99","サボレス","3","1/3（33.33%）","144","サニー","萨博雷斯","萨妮"
"100","ムカデ娘","4","1/4（25.00%）","145","ヴァネッサ","蜈蚣娘","温妮莎"
"101","サソリ娘","3","1/3（33.33%）","146","スカーレット","蝎娘","斯卡蕾特"
"102","サボテン娘","4","1/4（25.00%）","147","キャスタ","仙人掌娘","卡斯塔"
"103","ダチョウ娘","3","1/3（33.33%）","148","ミュー","鸵鸟娘","缪"
"104","ランプの魔女","4","1/4（25.00%）","149","ジーニー","神灯魔女","吉妮"
"105","ミイラ娘","3","1/3（33.33%）","150","パトラ","木乃伊娘","帕特拉"
"106","コブラ娘","4","1/4（25.00%）","151","ライラ","眼镜蛇娘","莱拉"
"107","ネフェルラミアス","4","1/4（25.00%）","152","ネフェルラミアス","奈夫顿拉米亚集团","奈夫顿拉米亚集团"
"111","ワニ娘","4","1/4（25.00%）","154","ガー","鳄鱼娘","咬咬"
"113","デビルファイター","3","1/3（33.33%）","156","レジーナ","恶魔战士","蕾吉娜"
"114","大蜘蛛","4","1/4（25.00%）","157","アシダカ","大蜘蛛","阿茜达卡"
"115","サックボア","4","1/4（25.00%）","158","アンナ","榨精生物","安娜"
"116","アイアンメイデン","5","1/5（20.00%）","159","メイデン","铁处女","梅登"
"117","ワームビレッジャ","4","1/4（25.00%）","160","ユリア","蠕虫村姑","尤莉亚"
"118","ウーストレル","4","1/4（25.00%）","161","レモン","乌斯托尔","柠檬"
"119","蜜壺","5","1/5（20.00%）","162","蜜壺","蜜壶","蜜壶"
"121","小鬼","3","1/3（33.33%）","164","雫","小鬼","雫"
"122","オナホ娘","4","1/4（25.00%）","165","ナホ","飞机杯娘","奈穗"
"123","ナーキュバス","4","1/4（25.00%）","166","ナビス","护士魅魔","娜维斯"
"125","百々目鬼","4","1/4（25.00%）","168","まなこ","百目鬼","真奈子"
"126","リザードシーフ","3","1/3（33.33%）","169","リル","蜥蜴盗贼","莉露"
"127","リザードシーフ","4","1/4（25.00%）","170","レン","蜥蜴盗贼","莲"
"129","蜃気楼娘","4","1/4（25.00%）","172","ミラージュ","海市蜃楼娘","幻舞"
"130","アリジゴク娘","4","1/4（25.00%）","173","ヘレン","蚁狮娘","海伦"
"131","サンドワーム娘","5","1/5（20.00%）","174","ダリア","沙虫娘","达利亚"
"132","デザートスキュラ","4","1/4（25.00%）","175","ディジィ","沙漠斯库拉","迪吉"
"134","ヴィタエ","5","1/5（20.00%）","176","ヴィタエ","薇塔耶","薇塔耶"
"135","ヴェータラ","5","1/5（20.00%）","177","ヴェータラ","维塔拉","维塔拉"
"136","ヴァルト","5","1/5（20.00%）","178","ヴァルト","瓦尔特","瓦尔特"
"137","シニファ","5","1/5（20.00%）","179","シニファ","希妮法","希妮法"
"138","シャドー娘","4","1/4（25.00%）","180","シャドー","影子娘","影"
"139","ガイストビーネ","4","1/4（25.00%）","181","リザ","画像娘","丽莎"
"140","キメラホムンクルス","4","1/4（25.00%）","182","クロウリー","奇美拉人造人","克劳利"
"141","アイアンメイデン改","5","1/5（20.00%）","183","トーチャ","铁处女改","托琪亚"
"142","ジャンクドール娘","5","1/5（20.00%）","184","フランチェスカ","废品人偶娘","弗朗西斯卡"
"151","きのこ娘","4","1/4（25.00%）","191","ウィドウ","蘑菇娘","维德"
"152","ノビスタドール娘","4","1/4（25.00%）","192","ノービィ","隐形虫娘","诺维"
"153","ウルスキュラ","4","1/4（25.00%）","193","フリル","狼首斯库拉","芙莉露"
"154","襖","5","1/5（20.00%）","194","うらら","袄","乌拉拉"
"155","マーメイド","3","1/3（33.33%）","195","メーヌ","人鱼","梅努"
"156","商人マーメイド","4","1/4（25.00%）","196","ミンク","商人人鱼","米努克"
"157","海賊マーメイド","2","1/2（50.00%）","197","ロリッタ","海贼人鱼","洛丽塔"
"158","一反木綿娘","5","1/5（20.00%）","198","もめん","一反木绵娘","木棉"
"161","ダゴン娘","4","1/4（25.00%）","199","セラフィ","达贡娘","赛拉菲"
"162","人魂娘","4","1/4（25.00%）","200","フィアー","人魂娘","菲亚"
"168","カエル娘","4","1/4（25.00%）","206","けろろん＆クルル","青蛙娘","克罗罗恩＆库鲁鲁"
"170","ケンタウロス娘","4","1/4（25.00%）","207","ポニー","马人娘","小马"
"171","アルラウネ","2","1/2（50.00%）","208","フローラ","阿娜温","芙萝拉"
"172","御菊蟲","4","1/4（25.00%）","209","なのは","御菊虫","奈叶"
"173","幽霊娘","4","1/4（25.00%）","210","ぼたん","幽灵娘","牡丹"
"174","ハコイリ","5","1/5（20.00%）","211","ステファニー","箱中千金","斯蒂芬妮"
"179","濡れ女","4","1/4（25.00%）","214","白波","濡女","白波"
"180","ハイミノタウロス","3","1/3（33.33%）","215","キャロル","高阶米诺陶洛斯","卡萝尔"
"181","ミズタウロス","4","1/4（25.00%）","216","オデット","米诺陶洛斯女士","奥黛塔"
"182","ジニタウロス","4","1/4（25.00%）","217","トーラ","技师米诺陶洛斯","托特"
"185","くのいちエルフ","4","1/4（25.00%）","219","かすみ","女忍精灵","霞"
"186","サムライエルフ","4","1/4（25.00%）","220","月花","武士精灵","月花"
"187","雪女","3","1/3（33.33%）","221","お雪","雪女","阿雪"
"188","ねこまた","2","1/2（50.00%）","222","たま","猫又","小玉"
"189","あかなめ","3","1/3（33.33%）","223","かなめ","垢舐鬼","卡娜美"
"190","河童","3","1/3（33.33%）","224","カワコ","河童","川子"
"191","二口娘","3","1/3（33.33%）","225","さくら","二口娘","樱"
"193","巫女ラミア","4","1/4（25.00%）","227","魅月","巫女拉米亚","魅月"
"194","巫女アラクネ","4","1/4（25.00%）","228","まや","巫女阿拉克涅","麻耶"
"195","毛倡妓","4","1/4（25.00%）","229","ツバキ","毛倡妓","椿"
"197","マジカルアゲハ","5","1/5（20.00%）","231","バグスタッフ","魔法凤蝶","魔法学院低级生"
"200","マジカルピクシー","5","1/5（20.00%）","232","マギスタンズ","魔法皮克西","魔法学院高级生"
"204","カマキリ娘","4","1/4（25.00%）","234","マティス","螳螂娘","玛蒂斯"
"205","カイコ娘","4","1/4（25.00%）","235","シルク","蚕娘","丝露库"
"206","アルラ・アルム","4","1/4（25.00%）","236","プランツイン","阿娜・阿尔姆","植物双胞胎"
"208","アルラ・ボア","4","1/4（25.00%）","237","アルプランツ","阿娜・吞噬藤","阿娜温们"
"216","モス娘","4","1/4（25.00%）","243","インセクツ","蛾娘","昆虫娘们"
"219","スズメバチ娘","3","1/3（33.33%）","244","ビー","胡蜂娘","蜜蜂"
"225","ジェリー娘","4","1/4（25.00%）","246","ジェリル","果冻娘","杰里尔"
"226","ブロブ娘","4","1/4（25.00%）","247","ブロブ","粘体娘","布洛布"
"230","パープルスライム","5","1/5（20.00%）","248","スライミーズ","紫史莱姆","史莱姆们"
"233","アリ娘","3","1/3（33.33%）","249","アント","蚁娘","蚂蚁"
"234","オートマータ娘","2","1/2（50.00%）","250","コッペリア","自动机娘","科佩利亚"
"235","パイズリ人形","4","1/4（25.00%）","251","パイン","乳交人偶","阿乳"
"236","スキュラ","3","1/3（33.33%）","252","キューラ","斯库拉","库拉"
"237","メデューサ","4","1/4（25.00%）","253","デューサ","美杜莎","杜莎"
"238","あげは娘","4","1/4（25.00%）","254","あげは","凤蝶娘","凤蝶"
"239","ブロム娘","4","1/4（25.00%）","255","ブルーム","剧毒史莱姆娘","布鲁姆"
"240","ウォーマー","3","1/3（33.33%）","256","エルマ","沼泽毒尸","艾尔玛"
"241","グール","5","1/5（20.00%）","257","グールズ","食尸鬼","食尸鬼群"
"244","フェイクジェリー","5","1/5（20.00%）","258","アルネ","假水母","阿尔涅"
"245","ウィングハーピー","4","1/4（25.00%）","259","つばさ","翼身哈比","翼"
"246","ナイトハーピー","4","1/4（25.00%）","260","クリス","骑士哈比","克莉丝"
"247","マッドゴーレム娘","5","1/5（20.00%）","261","ノーグ","疯狂泥魔像娘","诺格"
"249","ハナビラカマキリ娘","4","1/4（25.00%）","263","ヒナゲシ","兰花螳螂娘","虞美人"
"250","ブラックゴーレム","4","1/4（25.00%）","264","マイス","黑暗魔像","麦丝"
"251","狐獣","4","1/4（25.00%）","265","はるか","狐兽","遥"
"252","くのいち三尾","4","1/4（25.00%）","266","ミナモ","女忍三尾","美奈萌"
"253","もののふ四尾","4","1/4（25.00%）","267","イヅナ","武士四尾","伊津奈"
"256","溶岩娘","4","1/4（25.00%）","269","ロミ","熔岩娘","罗米"
"257","デーモンラミア","4","1/4（25.00%）","270","アルビーナ","恶魔拉米亚","阿尔比娜"
"258","デーモンスキュラ","4","1/4（25.00%）","271","ミリアム","恶魔斯库拉","米莉亚姆"
"259","セイレーン","3","1/3（33.33%）","272","レーネ","塞壬","蕾涅"
"260","サンゴ娘","5","1/5（20.00%）","273","サンゴ","珊瑚娘","珊瑚"
"261","ヒトデ娘","4","1/4（25.00%）","274","アスタ","海星娘","阿斯塔"
"265","アークジェリー","4","1/4（25.00%）","278","サマンサ","电弧水母","萨曼莎"
"266","エルダースキュラ","4","1/4（25.00%）","279","オーマ","长老斯库拉","奥玛"
"268","サキュバス","5","1/5（20.00%）","281","ハーレム","魅魔","后宫"
"272","メイキュバス","5","1/5（20.00%）","282","メイ","女仆魅魔","梅"
"279","マダムインセクト","4","1/4（25.00%）","290","シルヴィア","昆虫夫人","希尔维娅"
"280","マダムアンブレラ","4","1/4（25.00%）","291","シャロン","伞夫人","夏洛特"
"281","アラディア","5","1/5（20.00%）","292","アラディア","阿拉迪亚","阿拉迪亚"
"283","バジリスク娘","4","1/4（25.00%）","297","バージリン","鸡蛇娘","巴吉琳"
"284","ドラゴン娘","4","1/4（25.00%）","298","グランテ","龙娘","格兰特"
"287","ゼラチナスキューブ娘","5","1/5（20.00%）","299","マージュ","凝胶立方娘","玛吉"
"288","妖鬼","4","1/4（25.00%）","300","くれは","妖鬼","克蕾雅"
"289","虎娘","5","1/5（20.00%）","301","虎南","虎娘","虎南"
"290","ヴァンパイア","3","1/3（33.33%）","302","ヴィルヘルミナ","吸血鬼","维尔赫尔米娜"
"291","ジェライラ","5","1/5（20.00%）","303","ジェライラ","杰莱拉","杰莱拉"
"292","リボ・リボ","5","1/5（20.00%）","304","リボ・リボ","莉波・莉波","莉波・莉波"
"293","アンフィル","5","1/5（20.00%）","305","アンフィル","安菲尔","安菲尔"
"294","ツィンケル","5","1/5（20.00%）","306","ツィンケル","辛克尔","辛克尔"
"299","シーアネモネ","4","1/4（25.00%）","307","アネモ","海百合","海百合"
"300","水龍娘","5","1/5（20.00%）","308","みお","水龙娘","美绪"
"301","マンタ娘","5","1/5（20.00%）","309","オーシャン","蝠鲼娘","奥珊"
"302","イッカク娘","5","1/5（20.00%）","310","ホルン","独角鲸娘","霍恩"
"303","トリックフェアリー","5","1/5（20.00%）","311","シシリー","捣蛋小仙子","希希莉"
"304","アマゾネスエルフ","4","1/4（25.00%）","312","サン","亚马逊精灵","桑"
"305","カーバンクル娘","4","1/4（25.00%）","313","カルカナ","卡班克尔娘","卡尔卡娜"
"306","ジャイガンテック娘","5","1/5（20.00%）","314","ジェイム","巨人娘","杰姆"
"309","フォレストアルラウネ","4","1/4（25.00%）","317","アリア","森林阿娜温","阿莉亚"
"310","フォレストドリアード","4","1/4（25.00%）","318","ラシェル","森林树精","拉谢尔"
"311","ワルラウネ","4","1/4（25.00%）","319","ベラドンナ","恶娜温","贝拉多娜"
"312","ドリアード","3","1/3（33.33%）","320","ドリア","树精","多莉亚"
"313","ドリアード","3","1/3（33.33%）","321","ドリエ","树精","多莉耶"
"316","ナイトマーメイド","3","1/3（33.33%）","324","メリル","骑士人鱼","梅莉尔"
"317","ジェネラルマーメイド","4","1/4（25.00%）","325","ジェシー","将军人鱼","杰西"
"318","ローレライ","3","1/3（33.33%）","326","ハイネ","罗蕾莱","海涅"
"321","アラクネ","5","1/5（20.00%）","330","アラクネーズ","阿拉克涅","阿拉克涅集团"
"324","あやし土蜘蛛","5","1/5（20.00%）","331","ミズキ","诡怪土蜘蛛","水木"
"325","アラクネロード","5","1/5（20.00%）","332","アラーニェ","阿拉克涅领主","阿拉涅"
"326","アトラク＝ナクア","5","1/5（20.00%）","333","ナクア","阿特拉克・纳克亚","纳克亚"
"328","コンキスタ","4","1/4（25.00%）","335","エビータ","征服者","艾薇塔"
"329","ヴェンデッタ","4","1/4（25.00%）","336","アンヘラ","仇杀者","安吉拉"
"330","エルダーヴァンパイア","4","1/4（25.00%）","337","ヴァルヘルト","长老吸血鬼","瓦尔赫尔特"
"334","マスターシャドウ","4","1/4（25.00%）","342","エスメラルダ","幽影之主","艾斯梅拉达"
"335","煙々羅","5","1/5（20.00%）","343","夕霧","烟烟罗","夕雾"
"336","麒麟","5","1/5（20.00%）","344","キリン","麒麟","绮铃"
"337","蛇骨女","5","1/5（20.00%）","345","蛇骨殿","蛇骨女","蛇骨殿"
"338","ベヒーモス娘","3","1/3（33.33%）","346","ベヒーナ","贝希摩斯娘","贝希娜"
"339","ワイバーン","4","1/4（25.00%）","347","ワーバイン","飞龙","瓦尔拜因"
"340","巨竜娘","4","1/4（25.00%）","348","ぎが","巨龙娘","巍峨"
"341","モンクサキュバス","4","1/4（25.00%）","349","エルザ","僧侣魅魔","厄萨"
"342","モンクデーモン","4","1/4（25.00%）","350","アニー","僧侣恶魔","安妮"
"343","スキュラサーバント","5","1/5（20.00%）","351","セシール","斯库拉女仆","塞西尔"
"344","ヴィーヴル娘","5","1/5（20.00%）","352","ヴィーヴィー","薇薇尔娘","薇薇"
"351","氷の魔女","5","1/5（20.00%）","353","イルマ","冰之魔女","艾尔玛"
"352","シロクマ娘","3","1/3（33.33%）","354","クヌート","白熊娘","克努特"
"353","天使兵","3","1/3（33.33%）","355","エンジェルズ","天使兵","天使们"
"358","トリニティ","5","1/5（20.00%）","356","トリニティ","三位一体","三位一体"
"361","ウラヌス","5","1/5（20.00%）","357","ウラヌス","乌拉诺斯","乌拉诺斯"
"362","エリシエル","5","1/5（20.00%）","358","エリシエル","伊利西艾尔","伊利西艾尔"
"363","キューピッド","3","1/3（33.33%）","359","キューピー","丘比特","丘比"
"364","ヴァルキリー","3","1/3（33.33%）","360","ヴィクトリア","瓦尔基里","维多利亚"
"366","ヘリエル","5","1/5（20.00%）","361","ヘリエル","海莉艾尔","海莉艾尔"
"367","アルシエル","5","1/5（20.00%）","362","アルシエル","艾尔西艾尔","艾尔西艾尔"
"373","キメラビースト","4","1/4（25.00%）","363","がぶり","奇美拉兽","伽捕"
"374","S-2","4","1/4（25.00%）","364","あわわ","S-2","阿哇哇"
"375","A-3","4","1/4（25.00%）","365","ぱたぱた","A-3","啪嗒啪嗒"
"376","AD-5","4","1/4（25.00%）","366","まっきー","AD-5","玛奇"
"377","Q-5","5","1/5（20.00%）","367","ぐるる","Q-5","咕噜噜"
"462","サキュバス","4","1/4（25.00%）","829","リリン","魅魔","莉莉恩"
"492","サキュバス","4","1/4（25.00%）","831","アヤネ","魅魔","绫音"
"494","サキュバス","4","1/4（25.00%）","830","メア","魅魔","梅亚"
"502","コックローチ娘","2","1/2（50.00%）","404","クローナ","蟑螂娘","克萝娜"
"503","スピードローチ","3","1/3（33.33%）","405","ローファ","迅捷蟑螂","乐福"
"507","マジックポット","2","1/2（50.00%）","407","ポトフ","魔法壶","波托夫"
"508","豆狸","1","1/1（100.00%）","408","ぽんぽこ","豆狸","蓬蓬可"
"509","上狸","3","1/3（33.33%）","409","たぬぽん","上狸","狸咚"
"510","忍狸","3","1/3（33.33%）","410","どろん","忍狸","忽隆"
"511","化け狸","3","1/3（33.33%）","411","望月","化狸","望月"
"515","くのいちエルフ","3","1/3（33.33%）","414","夜の蜻蛉","女忍精灵","夜之蜻蛉"
"518","くのいちサキュバス","4","1/4（25.00%）","415","天音","女忍魅魔","天音"
"519","くのいちハーピー","4","1/4（25.00%）","416","燕","女忍哈比","燕"
"520","くのいちスキュラ","4","1/4（25.00%）","417","紫陽花","女忍斯库拉","紫阳花"
"521","くのいちアラクネ","4","1/4（25.00%）","418","蛍","女忍阿拉克涅","蛍"
"526","エルダーサキュバス","3","1/3（33.33%）","421","アロマ","长老魅魔","阿罗玛"
"527","グランセントール","2","1/2（50.00%）","422","ランスロット","巨型半人马","兰斯洛特"
"528","エイビス娘","3","1/3（33.33%）","423","アンドレア","龙鸟娘","安茱莉亚"
"529","陰陽五尾","4","1/4（25.00%）","424","初音","阴阳五尾","初音"
"530","花魁六尾","4","1/4（25.00%）","425","藤袴","花魁六尾","藤袴"
"545","アモルドール","10","1/10（10.00%）","429","アモルドール","阿莫尔人偶","阿莫尔人偶"
"548","ペルセポネー","10","1/10（10.00%）","430","ペルセポネー","珀耳塞福涅","珀耳塞福涅"
"549","トリロバイト","10","1/10（10.00%）","431","トリロバイト","三叶虫","三叶虫"
"554","マリエル","6","1/6（16.67%）","435","マリエル","玛丽艾尔","玛丽艾尔"
"555","淫乳天女","8","1/8（12.50%）","436","乳々","淫乳天女","乳乳"
"556","キメラテンタクル","8","1/8（12.50%）","437","フィオナ","奇美拉触手","菲奥娜"
"558","アリエル","4","1/4（25.00%）","438","アリエル","阿莉艾尔","阿莉艾尔"
"559","ラナエル","8","1/8（12.50%）","439","ラナエル","拉娜艾尔","拉娜艾尔"
"562","ナガエル","8","1/8（12.50%）","440","ナガエル","娜迦艾尔","娜迦艾尔"
"563","キメラメデュラハン","8","1/8（12.50%）","441","ロンド","奇美拉美杜拉罕","朗多"
"565","ラタエル","6","1/6（16.67%）","442","ラタエル","菈塔艾尔","菈塔艾尔"
"566","リファイール","10","1/10（10.00%）","443","リファイール","利芙艾尔","利芙艾尔"
"568","ギリエル","4","1/4（25.00%）","444","ギリエル","吉莉艾尔","吉莉艾尔"
"569","トルーパーロイド","4","1/4（25.00%）","445","ポム","士兵机器人","波姆"
"571","サビリエル","8","1/8（12.50%）","446","サビリエル","萨比莉艾尔","萨比莉艾尔"
"574","ムズキエル","6","1/6（16.67%）","447","ムズキエル","穆祖吉艾尔","穆祖吉艾尔"
"575","シルキエル","8","1/8（12.50%）","448","シルキエル","希尔吉艾尔","希尔吉艾尔"
"577","ベリエル","8","1/8（12.50%）","449","ベリエル","贝莉艾尔","贝莉艾尔"
"578","キメラプラント","6","1/6（16.67%）","450","エラント","奇美拉植物","艾兰特"
"579","リヴァエル","8","1/8（12.50%）","451","リヴァエル","莉瓦艾尔","莉瓦艾尔"
"584","キメラタン","6","1/6（16.67%）","452","レロール","奇美拉舌","雷罗尔"
"585","キメラバグ","4","1/4（25.00%）","453","マリ","奇美拉虫","玛莉"
"586","キメラスラッグ","6","1/6（16.67%）","454","ジェイン","奇美拉蛞蝓","简"
"587","キメラドリアード","10","1/10（10.00%）","455","アリー","奇美拉树精","阿利"
"589","カトブレパス","8","1/8（12.50%）","456","ストーン","卡托布莱帕斯","斯通"
"590","テュポーン","8","1/8（12.50%）","457","テュポーネ","堤丰","提丰妮"
"593","トラップテミス","4","1/4（25.00%）","459","ビーナス","陷阱忒弥斯","维纳斯"
"595","フーリエル","8","1/8（12.50%）","460","フーリエル","傅里艾尔","傅里艾尔"
"596","ドレインプラント","6","1/6（16.67%）","461","ドリス","榨精植物","多丽丝"
"597","ドレインロイド","8","1/8（12.50%）","462","ロゴス","榨精机器人","逻各斯"
"598","ハンディロイド","8","1/8（12.50%）","463","カーラ","巧手机器人","卡拉"
"601","メイドエンジェル","4","1/4（25.00%）","464","メイジェル","女仆天使","梅琪尔"
"602","コックエンジェル","4","1/4（25.00%）","465","クジェル","厨师天使","库琪尔"
"603","ワイティエル","6","1/6（16.67%）","466","ワイティエル","怀蒂艾尔","怀蒂艾尔"
"604","ラミアンロイド","6","1/6（16.67%）","467","プシェル","拉米亚机器人","普谢尔"
"611","エンディエル","8","1/8（12.50%）","468","エンディエル","安迪艾尔","安迪艾尔"
"613","レプリカント","4","1/4（25.00%）","469","リプラ","新人类","瑞普拉"
"616","キメラプリズン","8","1/8（12.50%）","470","プリオ","奇美拉监狱","普里奥"
"619","マイコニド","6","1/6（16.67%）","471","デボラ","蕈人","黛博拉"
"620","マタンゴ","8","1/8（12.50%）","472","マタンゴ","玛坦戈","玛坦戈"
"621","メルティモス","6","1/6（16.67%）","473","モスミー","融蛾","莫斯米"
"622","メルティローズ","6","1/6（16.67%）","474","ローズ","融蔷薇","萝丝"
"623","キメラドリアード・ボア","10","1/10（10.00%）","475","ジャンヌ","奇美拉树精・吞噬","贞德"
"626","帽子のアリス","20","1/20（5.00%）","715","帽子のアリス","帽之爱丽丝","帽之爱丽丝"
"627","傘のアリス","20","1/20（5.00%）","716","傘のアリス","伞之爱丽丝","伞之爱丽丝"
"628","赤のアリス","20","1/20（5.00%）","717","赤のアリス","赤之爱丽丝","赤之爱丽丝"
"629","冬のアリス","20","1/20（5.00%）","718","冬のアリス","冬之爱丽丝","冬之爱丽丝"
"630","剣のアリス","20","1/20（5.00%）","719","剣のアリス","剑之爱丽丝","剑之爱丽丝"
"631","武のアリス","20","1/20（5.00%）","720","武のアリス","武之爱丽丝","武之爱丽丝"
"633","白のアリス","20","1/20（5.00%）","722","白のアリス","白之爱丽丝","白之爱丽丝"
"634","侍のアリス","20","1/20（5.00%）","723","侍のアリス","侍之爱丽丝","侍之爱丽丝"
"635","忍のアリス","20","1/20（5.00%）","724","忍のアリス","忍之爱丽丝","忍之爱丽丝"
"637","猟のアリス","20","1/20（5.00%）","721","猟のアリス","猎之爱丽丝","猎之爱丽丝"
