"来源ID","日本名称","学习等级","学习类型","学习对象ID","日本技能/能力名称","日本所属","日本说明","HP消耗","MP消耗","SP消耗（内部TP）","所需AP（记忆容量）","技能类型ID","中文名称","中文技能/能力名称","中文所属","中文说明"
"152","魔人","2","技能","1169","死連刃","鎌技","威力：Ｓ（力or魔）　対象：敵単体3回
舞うような鎌さばきで敵を死に誘う連続斬撃","0","0","10","","13","魔人","死连刃","镰技","威力：Ｓ（力or魔）　対象：敵単体3回
以舞动的镰技引导敌人走向死亡的连续斩击"
"152","魔人","3","能力","190","鎌ブースター","戦技アビリティ","鎌装備時、その武器によるダメージが15%アップする","","","","10","1","魔人","镰增强","战技能力","装备镰时，该武器造成的伤害提升15%"
"152","魔人","3","能力","491","闇ブースター","魔法アビリティ","闇属性のダメージが15%アップする","","","","8","3","魔人","暗增强","魔法能力","暗属性伤害提升15%"
"152","魔人","4","能力","590","物理ダメージ軽減","防御アビリティ","物理属性のダメージを3/4にする","","","","10","4","魔人","物理伤害减轻","防御能力","物理属性的伤害降低至3/4"
"152","魔人","4","能力","779","闇の契約","特殊アビリティ","闇属性スキルを使用した際のHP消費が半減する","","","","15","5","魔人","暗之契约","特殊能力","使用暗属性技能时的HP消耗减半"
"152","魔人","5","能力","6333","ヘビィアタック","戦技アビリティ","全スキルの消費SPが2倍になるが、攻撃力は1.5倍になる","","","","10","1","魔人","重攻击","战技能力","全スキルの消費SPが2倍になるが、攻撃力は1.5倍になる"
"152","魔人","6","技能","1676","魔人炎舞","闇技","威力：Ａ（力or魔）　対象：敵全体　属性：炎・闇
闇の魔力で空間そのものを燃焼させる奥義","10%当前HP","0","4","","27","魔人","魔人炎舞","暗技","威力：Ａ（力or魔）　対象：敵全体　属性：炎・闇
用暗之魔力燃烧空间的奥义"
"152","魔人","6","技能","1677","魔氷葬","闇技","威力：Ａ（力or魔）　対象：敵全体　属性：氷・闇
闇の魔力で空間そのものを凍結させる奥義","10%当前HP","0","4","","27","魔人","魔冰葬","暗技","威力：Ａ（力or魔）　対象：敵全体　属性：氷・闇
用暗之魔力冻结空间的奥义"
"152","魔人","6","技能","1678","魔雷塵","闇技","威力：Ａ（力or魔）　対象：敵全体　属性：雷・闇
闇の魔力で空間に雷を満たす奥義","10%当前HP","0","4","","27","魔人","魔雷尘","暗技","威力：Ａ（力or魔）　対象：敵全体　属性：雷・闇
用暗之魔力充满雷电的奥义"
"152","魔人","7","能力","191","鎌ハイブースター","戦技アビリティ","鎌装備時、その武器によるダメージが30%アップする","","","","20","1","魔人","镰高级增强","战技能力","装备镰时，该武器造成的伤害提升30%"
"152","魔人","7","能力","492","闇ハイブースター","魔法アビリティ","闇属性のダメージが30%アップする","","","","16","3","魔人","暗高级增强","魔法能力","暗属性伤害提升30%"
"152","魔人","8","能力","151","物理ブースター","戦技アビリティ","物理ダメージが15%アップする","","","","10","1","魔人","物理增强","战技能力","物理伤害提升15%"
"152","魔人","8","技能","1170","レクイエムリーパー","鎌技","威力：Ｓ（力or魔）　対象：敵全体　効果：即死
敵全体の命を一振りで絶つ必滅の鎌技","0","0","12","","13","魔人","镇魂收割","镰技","威力：Ｓ（力or魔）　対象：敵全体　効果：即死
一挥之间断绝全体敌人生命的必灭镰技"
"152","魔人","9","能力","6334","物理コンバーター","戦技アビリティ","攻撃力と防御力が1.5倍になるが、魔力と精神力が半分になる","","","","10","1","魔人","物理转换器","战技能力","攻撃力と防御力が1.5倍になるが、魔力と精神力が半分になる"
"152","魔人","10","技能","1680","魔神黒掌","闇技","威力：ＳＳ（力or魔）　対象：敵単体　属性：闇
闇の力を掌に凝縮させ、敵に叩き込む究極奥義","12%当前HP","0","7","","27","魔人","魔神黑掌","暗技","威力：ＳＳ（力or魔）　対象：敵単体　属性：闇
将黑暗之力凝聚在掌中，向敌人猛击的究极奥义"
"153","魔神","2","能力","6744","マスターシックル","戦技アビリティ","「鎌技」の威力が攻撃力にのみ依存する","","","","2","1","魔神","大师之镰","战技能力","「镰技」的威力仅取决于攻击力"
"153","魔神","2","技能","9078","魔神黒鎌","鎌技","威力：４Ｓ（力or魔）　対象：敵単体　属性：修羅・終焉　効果：即死
魔神の力を込めた鎌で断裂する混沌奥義","16%当前HP","0","11","","13","魔神","魔神黑镰","镰技","威力：４Ｓ（力or魔）　対象：敵単体　属性：修羅・終焉　効果：即死
蕴含魔神之力的镰斩断混沌的奥义"
"153","魔神","3","能力","591","物理ダメージ半減","防御アビリティ","物理属性のダメージを半分にする","","","","20","4","魔神","物理伤害减半","防御能力","物理属性的伤害减半"
"153","魔神","3","能力","7901","全能力値20%アップ","特殊アビリティ","全能力値が20%アップする","","","","10","5","魔神","全能力值提升20%","特殊能力","全能力值提升20%"
"153","魔神","4","技能","1649","魔神忌光","聖技","威力：４Ｓ（器or精）　対象：敵単体　属性：永劫・終焉
魔神の力により聖エネルギーを凝縮した光を放つ混沌奥義","0","40","11","","26","魔神","魔神忌光","圣技","威力：４Ｓ（器or精）　対象：敵単体　属性：永劫・終焉
魔神之力凝聚圣能量释放的混沌奥义"
"153","魔神","4","能力","8440","時間停止無視","特殊アビリティ","時間停止の影響を受けない","","","","12","5","魔神","时间停止无效","特殊能力","不受时间停止影响"
"153","魔神","5","能力","780","闇の支配者","特殊アビリティ","闇属性スキルを使用した際のHP消費がなくなる","","","","30","5","魔神","暗之支配者","特殊能力","使用暗属性技能时HP消耗消失"
"153","魔神","5","能力","6689","鎌技防御力無視","戦技アビリティ","鎌技で防御力を無視してダメージを与えるが、消費量が1.3倍になる","","","","10","1","魔神","镰技无视防御力","战技能力","鎌技で防御力を無視してダメージを与えるが、消費量が1.3倍になる"
"153","魔神","6","能力","192","鎌エクスブースター","戦技アビリティ","鎌装備時、その武器によるダメージが50%アップする","","","","30","1","魔神","镰极限增强","战技能力","装备镰时，该武器造成的伤害提升50%"
"153","魔神","6","能力","493","闇エクスブースター","魔法アビリティ","闇属性のダメージが50%アップする","","","","24","3","魔神","暗极限增强","魔法能力","暗属性伤害提升50%"
"153","魔神","7","能力","7604","闇技器用さ半分付加","魔法アビリティ","闇技の威力に器用さの半分を付加する","","","","10","3","魔神","暗技附加一半的灵巧","魔法能力","闇技の威力に器用さの半分を付加する"
"153","魔神","7","技能","9232","妖星乱舞","時魔法","威力：ＳＳＳ（魔）　対象：敵全体　属性：聖・闇・銀河　効果：聖痕・闇穢特攻
宇宙の運行を歪め、大いなる破壊をもたらす魔法","0","80","0","","24","魔神","妖星乱舞","时魔法","威力：ＳＳＳ（魔）　対象：敵全体　属性：聖・闇・銀河　効果：聖痕・闇穢特攻
扭曲宇宙运行，带来巨大破坏的魔法"
"153","魔神","8","能力","152","物理ハイブースター","戦技アビリティ","物理ダメージが30%アップする","","","","20","1","魔神","物理高级增强","战技能力","物理伤害提升30%"
"153","魔神","8","能力","6387","混沌を狩る鎌","戦技アビリティ","鎌技でアポトーシスに特攻ダメージを与える","","","","2","1","魔神","混沌猎镰","战技能力","镰技对凋零者造成特攻伤害"
"153","魔神","9","能力","6540","修羅ブースター","戦技アビリティ","修羅属性のダメージが15%アップする","","","","15","1","魔神","修罗增强","战技能力","修罗属性伤害提升15%"
"153","魔神","9","能力","7447","終焉ブースター","魔法アビリティ","終焉属性のダメージが15%アップする","","","","10","3","魔神","终焉增强","魔法能力","终焉属性伤害提升15%"
"153","魔神","10","技能","1564","カオスタイム","時魔法","対象：全世界　効果：時間停止
魔力によって時空を凍結させ、時を少し止める魔法","0","50","0","","24","魔神","混沌时间","时魔法","対象：全世界　効果：時間停止
通过魔力冻结时空，暂时停止时间的魔法"
"153","魔神","10","技能","1686","魔神幻舞","闇技","威力：４Ｓ（力or魔）　対象：敵ランダム4回　属性：修羅・終焉
自身の肉体を闇と同化させ、魔の連撃を繰り出す奥義","16%当前HP","0","11","","27","魔神","魔神幻舞","暗技","威力：４Ｓ（力or魔）　対象：敵ランダム4回　属性：修羅・終焉
将自己的肉体与暗同化，施展魔之连击的奥义"
"153","魔神","10","能力","9876","魔神の証","マスターアビリティ","特殊APの最大値が5上昇
鎌技・聖技・闇技ダメージが10%アップ","","","","0","999","魔神","魔神的证明","大师能力","特殊AP的最大值增加5
镰技・圣技・暗技的伤害增加10%"
"154","超魔神","2","技能","9080","エンドレスサイズ","鎌技","威力：ＺＺ（力or魔）　対象：敵ランダム4回　属性：修羅・永劫・終焉　効果：聖痕・闇穢特攻・即死
終焉に通じるという魔神の鎌乱舞奥義","20%当前HP","0","20","","13","超魔神","无尽之镰","镰技","威力：ＺＺ（力or魔）　対象：敵ランダム4回　属性：修羅・永劫・終焉　効果：聖痕・闇穢特攻・即死
通向终焉的魔神之镰乱舞奥义"
"154","超魔神","3","能力","7902","全能力値30%アップ","特殊アビリティ","全能力値が30%アップする","","","","15","5","超魔神","全能力值提升30%","特殊能力","全能力值提升30%"
"154","超魔神","4","技能","1688","真・魔神黒掌","闇技","威力：ＺＺ（力or魔）　対象：敵単体　属性：修羅・終焉
魔神黒掌の力をさらに高めた究極の混沌闇奥義","20%当前HP","0","20","","27","超魔神","真・魔神黑掌","暗技","威力：ＺＺ（力or魔）　対象：敵単体　属性：修羅・終焉
将魔神黑掌之力进一步提升的究极混沌暗奥义"
"154","超魔神","5","能力","7754","修羅耐性75%","防御アビリティ","修羅属性のダメージを3/4にする","","","","15","4","超魔神","修罗耐性75%","防御能力","修罗属性的伤害降低至3/4"
"154","超魔神","6","能力","6779","鎌技器用さ半分付加","戦技アビリティ","鎌技の威力に器用さの半分を付加する","","","","10","1","超魔神","镰技附加一半的灵巧","战技能力","鎌技の威力に器用さの半分を付加する"
"154","超魔神","7","技能","9236","カオスグラビディ","時魔法","威力：ＺＺ（魔）　対象：敵単体　属性：永劫・終焉・重力　効果：スロウ・ストップ・全能力低下
重力を一点に集中し、敵単体に激しい破壊を引き起こす魔法","0","180","0","","24","超魔神","混沌重力","时魔法","威力：ＺＺ（魔）　対象：敵単体　属性：永劫・終焉・重力　効果：スロウ・ストップ・全能力低下
将重力集中于一点，对单体敌人造成剧烈破坏的魔法"
"154","超魔神","8","能力","596","快楽ダメージ無効","防御アビリティ","快楽属性のダメージを無効化する","","","","30","4","超魔神","快乐伤害无效","防御能力","快乐属性的伤害无效化"
"154","超魔神","9","能力","592","物理ダメージ無効","防御アビリティ","物理属性のダメージを無効化する","","","","30","4","超魔神","物理伤害无效","防御能力","物理属性的伤害无效化"
"154","超魔神","10","技能","9270","魔神輝光","聖技","威力：ＺＺ（器or精）　対象：敵単体　属性：永劫・終焉
魔神忌光をさらに凝縮した破壊的光線を放つ混沌奥義","0","90","20","","26","超魔神","魔神辉光","圣技","威力：ＺＺ（器or精）　対象：敵単体　属性：永劫・終焉
进一步浓缩魔神忌光的破坏性光线，释放混沌奥义"
"154","超魔神","11","能力","153","物理エクスブースター","戦技アビリティ","物理ダメージが50%アップする","","","","30","1","超魔神","物理极限增强","战技能力","物理伤害提升50%"
"154","超魔神","12","能力","8005","魔神の肉体","特殊アビリティ","聖痕・闇穢になると全能力がアップする","","","","5","5","超魔神","魔神之躯","特殊能力","圣痕・暗秽状态下全能力提升"
"154","超魔神","13","能力","6560","鎌オーバーブースター","戦技アビリティ","鎌を用いたダメージと消費MP・SPが2倍になる
※同系統のブースターと同時セット可能","","","","3","1","超魔神","镰超增强","战技能力","使用镰造成的伤害和消耗的MP・SP变为两倍
※可与同系列增强同时装备"
"154","超魔神","14","能力","7365","闇オーバーブースター","魔法アビリティ","闇属性のダメージと消費MP・SPが2倍になる
※同系統のブースターと同時セット可能","","","","3","3","超魔神","暗超增强","魔法能力","暗属性伤害和消耗MP・SP变为2倍
※可与同系列增强同时装备"
"154","超魔神","15","技能","1687","ハルマゲドン","闇技","威力：Ｚ（力or魔）　対象：敵全体　属性：終焉　効果：即死
世界を終末に導く滅びの奥義","20%当前HP","0","20","","27","超魔神","哈米吉多顿","暗技","威力：Ｚ（力or魔）　対象：敵全体　属性：終焉　効果：即死
引导世界走向终结的毁灭奥义"
"154","超魔神","16","能力","7755","修羅耐性50%","防御アビリティ","修羅属性のダメージを半分にする","","","","30","4","超魔神","修罗耐性50%","防御能力","修罗属性的伤害减半"
"154","超魔神","17","能力","8255","魔神チェーン","特殊アビリティ","「聖技or闇技」の後に「鎌技」を発動できる","","","","10","5","超魔神","魔神链","特殊能力","「圣技或暗技」之后可以发动「镰技」"
"154","超魔神","18","能力","6541","修羅ハイブースター","戦技アビリティ","修羅属性のダメージが30%アップする","","","","30","1","超魔神","修罗高级增强","战技能力","修罗属性伤害提升30%"
"154","超魔神","19","能力","7448","終焉ハイブースター","魔法アビリティ","終焉属性のダメージが30%アップする","","","","20","3","超魔神","终焉高级增强","魔法能力","终焉属性的伤害提升30%"
"154","超魔神","20","技能","1565","カオスドライブ","時魔法","対象：全世界　効果：時間停止
魔力によって時空を凍結させ、時を止める魔法","0","50","0","","24","超魔神","混沌驱动","时魔法","対象：全世界　効果：時間停止
通过魔力冻结时空，停止时间的魔法"
"154","超魔神","20","能力","9877","超魔神の証","マスターアビリティ","特殊APの最大値が10上昇
鎌技・聖技・闇技・カオスダメージが20%アップ","","","","0","999","超魔神","超魔神的证明","大师能力","特殊AP的最大值增加10
镰技・圣技・暗技・混沌的伤害增加20%"
"155","ワームサマナー","2","技能","1497","メガファイア","黒魔法","威力：Ｃ（魔）　対象：敵全体　属性：炎
敵の群れを焼き尽くす炎の魔法","0","7","0","","23","蠕虫召唤师","大火焰","黑魔法","威力：Ｃ（魔）　対象：敵全体　属性：炎
烧尽敌人群体的火魔法"
"155","ワームサマナー","2","技能","1503","メガブリザード","黒魔法","威力：Ｃ（魔）　対象：敵全体　属性：氷
敵の群れを凍てつかせる氷の魔法","0","7","0","","23","蠕虫召唤师","大暴雪","黑魔法","威力：Ｃ（魔）　対象：敵全体　属性：氷
将敌人群体冻结的冰之魔法"
"155","ワームサマナー","2","技能","1509","メガサンダー","黒魔法","威力：Ｃ（魔）　対象：敵全体　属性：雷
敵の群れに電撃を落とす雷の魔法","0","7","0","","23","蠕虫召唤师","大雷电","黑魔法","威力：Ｃ（魔）　対象：敵全体　属性：雷
对敌群降下雷击的雷魔法"
"155","ワームサマナー","2","技能","2796","カレスワーム","触手技","威力：Ｃ（魔or器）　対象：敵単体　属性：快楽　効果：ヌルヌル
ワームで敵を愛撫する快楽技","0","0","4","","55","蠕虫召唤师","卡雷斯蠕虫","触手技","威力：Ｃ（魔or器）　対象：敵単体　属性：快楽　効果：ヌルヌル
用蠕虫爱抚敌人的快乐技"
"155","ワームサマナー","3","能力","447","MP20%アップ","魔法アビリティ","最大MPが20%アップする","","","","5","3","蠕虫召唤师","MP提升20%","魔法能力","最大MP提升20%"
"155","ワームサマナー","3","能力","452","魔力20%アップ","魔法アビリティ","魔力が20%アップする","","","","5","3","蠕虫召唤师","魔力提升20%","魔法能力","魔力提升20%"
"155","ワームサマナー","4","技能","1579","スキュラ","召喚","威力：Ｂ（魔or器）　対象：敵全体　効果：拘束
スキュラを呼び出す召喚魔法","0","15","0","","25","蠕虫召唤师","斯库拉","召唤","威力：Ｂ（魔or器）　対象：敵全体　効果：拘束
召唤斯库拉的召唤魔法"
"155","ワームサマナー","4","技能","2799","ドレインワーム","触手技","威力：Ｄ（魔or器）　対象：敵単体　属性：快楽　効果：HP吸収
搾精ワームで敵のHPを吸収する技","0","0","3","","55","蠕虫召唤师","吸精虫","触手技","威力：Ｄ（魔or器）　対象：敵単体　属性：快楽　効果：HP吸収
榨精虫吸取敌人HP的技能"
"155","ワームサマナー","5","能力","460","ライトマジック","魔法アビリティ","魔法の消費MPが半分になるが、魔力も半分になる","","","","5","3","蠕虫召唤师","轻魔法","魔法能力","魔法消耗的MP减半，但魔力也减半"
"155","ワームサマナー","6","技能","2792","ワームショット","触手技","威力：Ｂ（魔or器）　対象：敵単体
ワームで大岩を投げつける攻撃技","0","0","5","","55","蠕虫召唤师","蠕虫射击","触手技","威力：Ｂ（魔or器）　対象：敵単体
用蠕虫投掷大岩石的攻击技能"
"155","ワームサマナー","7","能力","108","ドレインアタック","戦技アビリティ","通常攻撃で敵のHPを吸収する","","","","8","1","蠕虫召唤师","吸血攻击","战技能力","普通攻击吸收敌人HP"
"155","ワームサマナー","8","技能","1597","スィートテンタクル","召喚","威力：Ａ（魔or器）　対象：敵ランダム4回　属性：快楽　効果：ヌルヌル特攻・拘束
スィートテンタクルを呼び出す召喚魔法","0","15","0","","25","蠕虫召唤师","甜蜜触手","召唤","威力：Ａ（魔or器）　対象：敵ランダム4回　属性：快楽　効果：ヌルヌル特攻・拘束
召唤甜蜜触手的召唤魔法"
"155","ワームサマナー","9","能力","714","毎ターンMP2%回復","特殊アビリティ","ターンごとにMPが2%回復する","","","","10","5","蠕虫召唤师","每回合MP恢复2%","特殊能力","每回合MP恢复2%"
"155","ワームサマナー","10","技能","2793","ペインワーム","触手技","威力：Ａ（魔or器）　対象：敵ランダム3回
ワームで連続打撃を繰り出す攻撃技","0","0","6","","55","蠕虫召唤师","痛苦蠕虫","触手技","威力：Ａ（魔or器）　対象：敵ランダム3回
用蠕虫进行连续打击的攻击技能"
"156","マスターホムンクル","2","技能","1499","ブレイズ","黒魔法","威力：Ｂ（魔）　対象：敵単体　属性：炎
敵を業火に巻き込む炎の上級魔法","0","12","0","","23","大师人造人","烈焰","黑魔法","威力：Ｂ（魔）　対象：敵単体　属性：炎
将敌人卷入业火的炎之上级魔法"
"156","マスターホムンクル","2","技能","1505","フロスト","黒魔法","威力：Ｂ（魔）　対象：敵単体　属性：氷
敵を凍結させる氷の上級魔法","0","12","0","","23","大师人造人","霜冻","黑魔法","威力：Ｂ（魔）　対象：敵単体　属性：氷
将敌人冻结的冰之上级魔法"
"156","マスターホムンクル","2","技能","1511","スパーク","黒魔法","威力：Ｂ（魔）　対象：敵単体　属性：雷
敵を落雷を浴びせる雷の上級魔法","0","12","0","","23","大师人造人","火花","黑魔法","威力：Ｂ（魔）　対象：敵単体　属性：雷
对敌降下雷击的上级雷魔法"
"156","マスターホムンクル","2","技能","2797","ヘブンズワーム","触手技","威力：Ａ（魔or器）　対象：敵単体　属性：快楽　効果：拘束・ヌルヌル
ワームで艶めかしい愛撫を与える快楽技","0","0","7","","55","大师人造人","天堂蠕虫","触手技","威力：Ａ（魔or器）　対象：敵単体　属性：快楽　効果：拘束・ヌルヌル
用蠕虫给予艳丽的抚摸的快乐技能"
"156","マスターホムンクル","3","能力","447","MP20%アップ","魔法アビリティ","最大MPが20%アップする","","","","5","3","大师人造人","MP提升20%","魔法能力","最大MP提升20%"
"156","マスターホムンクル","3","能力","453","魔力30%アップ","魔法アビリティ","魔力が30%アップする","","","","7","3","大师人造人","魔力提升30%","魔法能力","魔力提升30%"
"156","マスターホムンクル","4","技能","1598","カオスプレジャー","召喚","威力：Ｓ（魔or器）　対象：敵ランダム6回　属性：快楽　効果：ヌルヌル特攻・拘束
カオスプレジャーを呼び出す召喚魔法","0","25","0","","25","大师人造人","混沌欢乐","召唤","威力：Ｓ（魔or器）　対象：敵ランダム6回　属性：快楽　効果：ヌルヌル特攻・拘束
召唤混沌欢乐的召唤魔法"
"156","マスターホムンクル","5","能力","461","ヘビィマジック","魔法アビリティ","全スキルの消費MPが2倍になるが、魔力は1.5倍になる","","","","10","3","大师人造人","重魔法","魔法能力","全スキルの消費MPが2倍になるが、魔力は1.5倍になる"
"156","マスターホムンクル","6","技能","2801","ボアワーム","触手技","対象：敵単体　効果：捕食
拘束状態の相手をワームで取り込む捕食技","0","0","1","","55","大师人造人","巨兽虫","触手技","対象：敵単体　効果：捕食
用虫子吞噬被拘束的对手的捕食技能"
"156","マスターホムンクル","7","能力","464","常時マジックカーテン","魔法アビリティ","受けたダメージに応じてMPが回復","","","","20","3","大师人造人","常时魔法屏障","魔法能力","根据受到的伤害恢复MP"
"156","マスターホムンクル","8","技能","2800","ローズワーム","触手技","対象：敵単体　属性：快楽　効果：MP吸収
搾精ワームで敵のMPを吸収する技","0","0","4","","55","大师人造人","蔷薇虫","触手技","対象：敵単体　属性：快楽　効果：MP吸収
榨精虫吸取敌人MP的技能"
"156","マスターホムンクル","9","能力","109","吸魔撃","戦技アビリティ","通常攻撃で敵のMPにダメージを与え、吸収する
即死効果が発生する事がある","","","","10","1","大师人造人","吸魔击","战技能力","普通攻击对敌人MP造成伤害并吸收
有时会产生即死效果"
"156","マスターホムンクル","9","能力","715","毎ターンMP4%回復","特殊アビリティ","ターンごとにMPが4%回復する","","","","20","5","大师人造人","每回合MP恢复4%","特殊能力","每回合MP恢复4%"
"156","マスターホムンクル","10","技能","2794","ブレイクワーム","触手技","威力：Ｓ（魔or器）　対象：敵ランダム4回
ワームで乱れ打ちを浴びせる奥義","0","0","10","","55","大师人造人","破碎蠕虫","触手技","威力：Ｓ（魔or器）　対象：敵ランダム4回
用蠕虫进行疯狂打击的奥义"
"157","ワームエンプレス","2","技能","9193","ガンマテンペスト","黒魔法","威力：ＳＳＳ（魔）　対象：敵ランダム6回　属性：核熱
敵の群れを核熱の竜巻で巻き込む混沌魔法","0","60","0","","23","蠕虫女皇","伽马烈风","黑魔法","威力：ＳＳＳ（魔）　対象：敵ランダム6回　属性：核熱
用核热龙卷风卷入敌群的混沌魔法"
"157","ワームエンプレス","3","能力","450","MP50%アップ","魔法アビリティ","最大MPが50%アップする","","","","15","3","蠕虫女皇","MP提升50%","魔法能力","最大MP提升50%"
"157","ワームエンプレス","3","能力","455","魔力50%アップ","魔法アビリティ","魔力が50%アップする","","","","15","3","蠕虫女皇","魔力提升50%","魔法能力","魔力提升50%"
"157","ワームエンプレス","4","技能","2795","ディザスターワーム","触手技","威力：ＳＳＳ（魔or器）　対象：敵ランダム6回　属性：修羅
無数のワームで敵を乱れ打ちにする究極奥義","0","0","18","","55","蠕虫女皇","灾难蠕虫","触手技","威力：ＳＳＳ（魔or器）　対象：敵ランダム6回　属性：修羅
用无数蠕虫对敌人进行疯狂打击的究极奥义"
"157","ワームエンプレス","5","技能","9195","クァンタストーム","黒魔法","威力：ＳＳＳ（魔）　対象：敵ランダム6回　属性：量子
敵の群れを量子の竜巻で巻き込む混沌魔法","0","60","0","","23","蠕虫女皇","量子风暴","黑魔法","威力：ＳＳＳ（魔）　対象：敵ランダム6回　属性：量子
用量子龙卷风卷入敌群的混沌魔法"
"157","ワームエンプレス","6","能力","7995","ヌルヌルの触手","特殊アビリティ","触手技にヌルヌル効果を付加する","","","","2","5","蠕虫女皇","黏滑的触手","特殊能力","触手技附加黏滑效果"
"157","ワームエンプレス","7","能力","6328","ドレインカウンター","戦技アビリティ","攻撃を受けた際、50%の確率でドレインワームで反撃する","","","","10","1","蠕虫女皇","吸血反击","战技能力","受到攻击时，有50%概率使用吸血虫反击"
"157","ワームエンプレス","8","技能","9197","イオンハリケーン","黒魔法","威力：ＳＳＳ（魔）　対象：敵ランダム6回　属性：イオン
敵の群れをイオンの竜巻で巻き込む混沌魔法","0","60","0","","23","蠕虫女皇","离子飓风","黑魔法","威力：ＳＳＳ（魔）　対象：敵ランダム6回　属性：イオン
用离子龙卷风卷入敌群的混沌魔法"
"157","ワームエンプレス","9","能力","716","毎ターンMP8%回復","特殊アビリティ","ターンごとにMPが8%回復する","","","","30","5","蠕虫女皇","每回合MP恢复8%","特殊能力","每回合MP恢复8%"
"157","ワームエンプレス","10","能力","7592","黒魔法精神力半分付加","魔法アビリティ","黒魔法の威力に精神力の半分を付加する","","","","10","3","蠕虫女皇","黑魔法附加一半的精神力","魔法能力","黒魔法の威力に精神力の半分を付加する"
"157","ワームエンプレス","10","能力","7593","黒魔法器用さ半分付加","魔法アビリティ","黒魔法の威力に器用さの半分を付加する","","","","10","3","蠕虫女皇","黑魔法附加一半的灵巧","魔法能力","黒魔法の威力に器用さの半分を付加する"
"157","ワームエンプレス","11","技能","9215","ナノタイド","黒魔法","威力：ＳＳＳ（魔）　対象：敵単体　属性：ナノ・快楽　効果：ヌルヌル特攻・絶頂
水素原子の振動により強烈な快感を与える究極快楽魔法","0","60","0","","23","蠕虫女皇","纳米潮汐","黑魔法","威力：ＳＳＳ（魔）　対象：敵単体　属性：ナノ・快楽　効果：ヌルヌル特攻・絶頂
通过氢原子的振动给予强烈快感的究极快乐魔法"
"157","ワームエンプレス","12","技能","2802","デボラ・フラットメア","触手技","対象：敵全体　効果：消化・恍惚・拘束・捕食
拘束・恍惚・消化状態の敵集団をまとめて取り込む捕食奥義","0","0","5","","55","蠕虫女皇","黛博拉・弗拉特梅尔","触手技","対象：敵全体　効果：消化・恍惚・拘束・捕食
将处于拘束・恍惚・消化状态的敌群一并吞噬的捕食奥义"
"157","ワームエンプレス","13","能力","8257","ワームチェーン","特殊アビリティ","「触手技」の後に「黒魔法or召喚」を発動できる","","","","10","5","蠕虫女皇","蠕虫链","特殊能力","「触手技」之后可以发动「黑魔法或召唤」"
