"大分类","技能类型ID","技能类型名称","技能类型中文名称","该类型技能数量","分类依据与备注"
"魔法","23","黒魔法","黑魔法","92","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"魔法","24","時魔法","时魔法","45","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"魔法","25","召喚","召唤术","145","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"魔法","26","聖技","圣技","75","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"魔法","27","闇技","暗技","34","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"魔法","28","魔法剣","魔法剑","22","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"魔法","29","陰陽術","阴阳术","50","按基础魔法类型ID 22-29归类；部分全魔法效果还会覆盖若干职技。"
"职技","30","盗賊技","盗贼技","18","盗贼技属于职业技能；全职技全体化清单因效果设计未列入该类型。"
"职技","31","忍術","忍术","44","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","32","海賊技","海贼技","37","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","33","ヒーロー技","英雄技","27","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","34","商技","","68","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","35","EXアイテム","EX物品","68","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","36","オラクル","神谕","179","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","37","踊る","跳舞","84","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","38","歌う","歌唱","62","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","39","話す","交谈","30","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","40","魔導科学","魔导科学","36","主要按职业来源归为职技，但职业7063的全魔法效果会覆盖该类型。"
"职技","41","錬金術","炼金术","56","主要按职业来源归为职技，但职业7063的全魔法效果会覆盖该类型。"
"职技","42","魔本術","魔本术","36","主要按职业来源归为职技，但职业7063的全魔法效果会覆盖该类型。"
"职技","43","マキナ","器械","38","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","44","料理","","73","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","45","医術","医术","68","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","46","御奉仕","侍奉","46","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","47","王技","","35","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","48","勇者技","","32","按职业技能体系归类；职业7069的全职技效果覆盖31-39、43-49。"
"职技","49","淫技","","101","职业7069的全职技效果明确覆盖该类型。"
"职技","67","サイコ","念动","22","终章新增职业技能；职业7063的全魔法效果也会覆盖该类型。"
"职技","68","妖術","妖术","171","终章新增职业技能；部分角色说明会将其与魔法并列使用。"
"种族技","50","魔技","","108","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","51","海技","","47","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","52","粘液技","","58","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","53","獣技","兽技","72","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","54","蛇技","","34","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","55","触手技","","54","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","56","翼技","","16","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","57","虫技","","63","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","58","植物技","","65","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","59","屍技","尸技","36","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","60","造技","","95","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","61","自然感応","自然感应","47","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","62","ブレス","吐息","35","职业6157、6158、7056的全种族技强化明确覆盖50-62及69。"
"种族技","69","巨技","","26","全种族技强化清单明确覆盖该类型。"
"特殊技","63","特技","","161","数据库中的通用特殊技能类型，不在全种族技强化清单内。"
"系统技能","64","装備武器","装备武器","87","装备附带技能使用的系统类型。"
"拘束专用技","65","拘束時専用技","拘束时专用技","268","游戏常量 NWConst::SType::BIND/EBIND 明确指定的专用类型。"
"拘束专用技","66","永久拘束時専用技","永久拘束时专用技","96","游戏常量 NWConst::SType::BIND/EBIND 明确指定的专用类型。"
"混沌技","70","カオス","混沌","14","终章新增的独立混沌技能类型。"
