"产物ID","产物名称","产物种类","配方ID","合成方案","中文合成方案","中文产物名称"
"32","ハーピーの胸当て","防具","32","金币：35；材料：防具 ID 31「アイアンプレート」×1；物品 ID 168「綺麗な羽根」×1","金币：35；材料：防具 ID 31「铁胸甲」×1；物品 ID 168「美丽的羽毛」×1","哈比胸甲"
"34","エルフィンプレート","防具","56","金币：87；材料：防具 ID 33「ゴールドプレート」×1；物品 ID 170「涙の凝石」×1","金币：87；材料：防具 ID 33「金胸甲」×1；物品 ID 170「泪之凝石」×1","精灵胸甲"
"35","水のプレート","防具","104","金币：107；材料：防具 ID 33「ゴールドプレート」×1；物品 ID 71「水石」×1","金币：107；材料：防具 ID 33「金胸甲」×1；物品 ID 71「水石」×1","水之胸甲"
"36","祝福のプレート","防具","136","金币：137；材料：防具 ID 35「水のプレート」×1；物品 ID 75「聖石」×1","金币：137；材料：防具 ID 35「水之胸甲」×1；物品 ID 75「圣石」×1","祝福胸甲"
"38","涙石プレート","防具","168","金币：310；材料：防具 ID 37「ミスリルプレート」×1；物品 ID 187「涙の宝石」×1","金币：310；材料：防具 ID 37「秘银胸甲」×1；物品 ID 187「泪之宝石」×1","泪石胸甲"
"39","プチオーガプレート","防具","198","金币：430；材料：防具 ID 37「ミスリルプレート」×1；物品 ID 196「小鬼の角」×1","金币：430；材料：防具 ID 37「秘银胸甲」×1；物品 ID 196「小鬼之角」×1","小鬼胸甲"
"41","マーメイドプレート","防具","237","金币：250；材料：防具 ID 40「クリスタルプレート」×1；物品 ID 204「人魚の鱗」×1","金币：250；材料：防具 ID 40「水晶胸甲」×1；物品 ID 204「人鱼的鳞片」×1","人鱼胸甲"
"43","オーガプレート","防具","305","金币：450；材料：防具 ID 39「プチオーガプレート」×1；物品 ID 215「鬼の角」×1","金币：450；材料：防具 ID 39「小鬼胸甲」×1；物品 ID 215「鬼之角」×1","鬼胸甲"
"45","神秘のプレート","防具","379","金币：770；材料：防具 ID 44「オリハルコンプレート」×1；物品 ID 234「神秘の鱗」×1","金币：770；材料：防具 ID 44「奥利哈钢胸甲」×1；物品 ID 234「神秘的鳞片」×1","神秘胸甲"
"47","プリズムプレート・マグナ","防具","409","金币：1200；材料：防具 ID 46「プリズムプレート」×1；物品 ID 69「土流橙土石」×1","金币：1200；材料：防具 ID 46「棱镜胸甲」×1；物品 ID 69「土流橙土石」×1","棱镜胸甲・玛格纳"
"48","フレイムプレート","防具","431","金币：1500；材料：防具 ID 47「プリズムプレート・マグナ」×1；物品 ID 53「赤熱紅炎石」×1","金币：1500；材料：防具 ID 47「棱镜胸甲・玛格纳」×1；物品 ID 53「赤热红炎石」×1","火焰胸甲"
"50","ジャイアントプレート","防具","498","金币：5000；材料：防具 ID 43「オーガプレート」×1；物品 ID 249「奇跡の卵」×1","金币：5000；材料：防具 ID 43「鬼胸甲」×1；物品 ID 249「奇迹的蛋」×1","巨人胸甲"
"54","青銅の鎧改","防具","15","金币：16；材料：防具 ID 53「青銅の鎧」×1；物品 ID 165「ネバネバ粘液」×1","金币：16；材料：防具 ID 53「青铜铠甲」×1；物品 ID 165「黏糊糊粘液」×1","青铜铠甲改"
"57","珊瑚の鎧","防具","80","金币：88；材料：防具 ID 56「鋼鉄の鎧」×1；物品 ID 171「綺麗な珊瑚」×1","金币：88；材料：防具 ID 56「钢铁之铠」×1；物品 ID 171「美丽的珊瑚」×1","珊瑚之铠"
"58","マリンアーマー","防具","105","金币：148；材料：防具 ID 57「珊瑚の鎧」×1；物品 ID 176「頑丈な貝殻」×1","金币：148；材料：防具 ID 57「珊瑚之铠」×1；物品 ID 176「坚固的贝壳」×1","海洋铠甲"
"59","マリンアーマー極","防具","137","金币：208；材料：防具 ID 58「マリンアーマー」×1；物品 ID 179「あやしい触手」×1","金币：208；材料：防具 ID 58「海洋铠甲」×1；物品 ID 179「诡异的触手」×1","海洋铠甲极"
"61","涙石メイル","防具","169","金币：380；材料：防具 ID 60「ミスリルメイル」×1；物品 ID 187「涙の宝石」×1","金币：380；材料：防具 ID 60「秘银铠甲」×1；物品 ID 187「泪之宝石」×1","泪石铠甲"
"62","ミスリルメイル・アース","防具","220","金币：400；材料：防具 ID 60「ミスリルメイル」×1；物品 ID 68「橙土石」×1","金币：400；材料：防具 ID 60「秘银铠甲」×1；物品 ID 68「橙土石」×1","秘银铠甲・土"
"63","ミスリルメイル・アクア","防具","238","金币：200；材料：防具 ID 60「ミスリルメイル」×1；物品 ID 72「青水石」×1","金币：200；材料：防具 ID 60「秘银铠甲」×1；物品 ID 72「青水石」×1","秘银铠甲・水"
"65","魔導の鎧","防具","329","金币：550；材料：防具 ID 64「魔法の鎧」×1；物品 ID 219「魔導の歯車」×1","金币：550；材料：防具 ID 64「魔法之铠」×1；物品 ID 219「魔导齿轮」×1","魔导之铠"
"66","神機魔導の鎧","防具","380","金币：750；材料：防具 ID 65「魔導の鎧」×1；物品 ID 233「傀儡歯車」×1","金币：750；材料：防具 ID 65「魔导之铠」×1；物品 ID 233「傀儡齿轮」×1","神机魔导之铠"
"67","エンジェルクロス","防具","454","金币：1200；材料：防具 ID 66「神機魔導の鎧」×1；物品 ID 241「天使の羽根」×1","金币：1200；材料：防具 ID 66「神机魔导之铠」×1；物品 ID 241「天使的羽毛」×1","天使十字"
"72","聖堂騎士の鎧改","防具","138","金币：290；材料：防具 ID 71「聖堂騎士の鎧」×1；物品 ID 75「聖石」×1","金币：290；材料：防具 ID 71「圣堂骑士之铠」×1；物品 ID 75「圣石」×1","圣堂骑士之铠改"
"74","フォレストエルフカスタム","防具","170","金币：380；材料：防具 ID 73「フォレストガード」×1；物品 ID 187「涙の宝石」×1","金币：380；材料：防具 ID 73「森林守卫」×1；物品 ID 187「泪之宝石」×1","森精灵定制铠甲"
"77","ドラゴンメイル改","防具","199","金币：650；材料：防具 ID 75「ドラゴンメイル」×1；物品 ID 197「竜の鱗」×1","金币：650；材料：防具 ID 75「龙铠甲」×1；物品 ID 197「龙鳞」×1","龙铠甲改"
"79","クリスタルメイル改","防具","239","金币：230；材料：防具 ID 78「クリスタルメイル」×1；物品 ID 201「魔虫の表皮」×1","金币：230；材料：防具 ID 78「水晶铠甲」×1；物品 ID 201「魔虫的表皮」×1","水晶铠甲改"
"83","竜鱗の鎧・強殻","防具","306","金币：420；材料：防具 ID 81「竜鱗の鎧」×1；物品 ID 214「魔虫の羽根」×1","金币：420；材料：防具 ID 81「龙鳞制铠」×1；物品 ID 214「魔虫之羽」×1","龙鳞制铠・强壳"
"87","オリハルコンの鎧改","防具","381","金币：700；材料：防具 ID 86「オリハルコンの鎧」×1；物品 ID 231「魔虫の甲殻」×1","金币：700；材料：防具 ID 86「奥利哈钢制铠」×1；物品 ID 231「魔虫的甲壳」×1","奥利哈钢制铠改"
"89","マキシマムブレイブ","防具","382","金币：920；材料：防具 ID 88「ブレイブアーマー」×1；物品 ID 234「神秘の鱗」×1","金币：920；材料：防具 ID 88「勇气铠甲」×1；物品 ID 234「神秘的鳞片」×1","极限勇气"
"91","プリズムメイル・エア","防具","410","金币：1200；材料：防具 ID 90「プリズムメイル」×1；物品 ID 65「疾風緑風石」×1","金币：1200；材料：防具 ID 90「棱镜铠甲」×1；物品 ID 65「疾风绿风石」×1","棱镜铠甲・风"
"93","グロリアスヘブン","防具","455","金币：1700；材料：防具 ID 92「グロリアスアーマー」×1；物品 ID 241「天使の羽根」×1","金币：1700；材料：防具 ID 92「光荣铠甲」×1；物品 ID 241「天使的羽毛」×1","荣耀天堂"
"95","流星の聖鎧","防具","499","金币：4400；材料：防具 ID 94「流星の鎧」×1；物品 ID 252「奇跡の羽根」×1","金币：4400；材料：防具 ID 94「流星制之铠」×1；物品 ID 252「奇迹的羽毛」×1","流星制圣铠"
"96","流星の魔鎧","防具","500","金币：4400；材料：防具 ID 94「流星の鎧」×1；物品 ID 251「妖艶なる尻尾」×1","金币：4400；材料：防具 ID 94「流星制之铠」×1；物品 ID 251「妖艳的尾巴」×1","流星制魔铠"
"101","グレイトマキシム","防具","565","金币：6700；材料：防具 ID 85「マクシミリアン」×1；防具 ID 89「マキシマムブレイブ」×1；物品 ID 254「強靱なる蛇尾」×1","金币：6700；材料：防具 ID 85「马克西米利安式板甲」×1；防具 ID 89「极限勇气」×1；物品 ID 254「坚韧的蛇尾」×1","伟大麦克斯姆"
"102","ドラゴンメイル参式","防具","566","金币：6700；材料：防具 ID 77「ドラゴンメイル改」×1；物品 ID 247「覇竜の牙」×1","金币：6700；材料：防具 ID 77「龙铠甲改」×1；物品 ID 247「霸龙的牙齿」×1","龙铠参式"
"107","大地の甲羅","防具","81","金币：82；材料：防具 ID 106「金の甲羅」×1；物品 ID 67「土石」×1","金币：82；材料：防具 ID 106「金制甲壳」×1；物品 ID 67「土石」×1","大地的甲壳"
"109","トゲ付き甲羅","防具","200","金币：310；材料：防具 ID 108「ミスリルの甲羅」×1；物品 ID 191「サボテンの棘」×1","金币：310；材料：防具 ID 108「秘银制甲壳」×1；物品 ID 191「仙人掌的刺」×1","带刺甲壳"
"111","マジカル甲羅","防具","267","金币：220；材料：防具 ID 110「クリスタルの甲羅」×1；物品 ID 207「マジカル鱗粉」×1","金币：220；材料：防具 ID 110「水晶制甲壳」×1；物品 ID 207「魔法鳞粉」×1","魔法甲壳"
"113","河童の甲羅","防具","285","金币：380；材料：防具 ID 112「竜鱗の甲羅」×1；物品 ID 212「河童の皿」×1","金币：380；材料：防具 ID 112「龙鳞制甲壳」×1；物品 ID 212「河童之盘」×1","河童甲壳"
"114","紅蓮の甲羅","防具","348","金币：450；材料：防具 ID 113「河童の甲羅」×1；物品 ID 52「紅炎石」×1","金币：450；材料：防具 ID 113「河童甲壳」×1；物品 ID 52「红炎石」×1","红莲甲壳"
"116","神秘の甲羅","防具","383","金币：770；材料：防具 ID 115「オリハルコンの甲羅」×1；物品 ID 234「神秘の鱗」×1","金币：770；材料：防具 ID 115「奥利哈钢制甲壳」×1；物品 ID 234「神秘的鳞片」×1","神秘甲壳"
"118","灼熱の甲羅","防具","432","金币：990；材料：防具 ID 114「紅蓮の甲羅」×1；物品 ID 53「赤熱紅炎石」×1","金币：990；材料：防具 ID 114「红莲甲壳」×1；物品 ID 53「赤热红炎石」×1","灼热甲壳"
"120","悪魔の甲羅","防具","501","金币：3500；材料：防具 ID 119「流星の甲羅」×1；物品 ID 243「禍々しい結晶」×1","金币：3500；材料：防具 ID 119「流星制甲壳」×1；物品 ID 243「不祥的结晶」×1","恶魔甲壳"
"124","ハーピーローブ","防具","33","金币：25；材料：防具 ID 123「シルクのローブ」×1；物品 ID 168「綺麗な羽根」×1","金币：25；材料：防具 ID 123「丝绸长袍」×1；物品 ID 168「美丽的羽毛」×1","哈比长袍"
"125","癒しのローブ","防具","57","金币：50；材料：防具 ID 123「シルクのローブ」×1；物品 ID 169「不思議などんぐり」×1","金币：50；材料：防具 ID 123「丝绸长袍」×1；物品 ID 169「不可思议的橡果」×1","治愈长袍"
"128","緑のローブ","防具","171","金币：430；材料：防具 ID 127「黒のローブ」×1；物品 ID 64「緑風石」×1","金币：430；材料：防具 ID 127「黑色长袍」×1；物品 ID 64「绿风石」×1","绿长袍"
"129","茶のローブ","防具","82","金币：430；材料：防具 ID 127「黒のローブ」×1；物品 ID 67「土石」×1","金币：430；材料：防具 ID 127「黑色长袍」×1；物品 ID 67「土石」×1","茶长袍"
"130","青のローブ","防具","106","金币：430；材料：防具 ID 127「黒のローブ」×1；物品 ID 71「水石」×1","金币：430；材料：防具 ID 127「黑色长袍」×1；物品 ID 71「水石」×1","蓝长袍"
"131","白銀のローブ","防具","139","金币：350；材料：防具 ID 126「白のローブ」×1；物品 ID 75「聖石」×1","金币：350；材料：防具 ID 126「白长袍」×1；物品 ID 75「圣石」×1","白银长袍"
"132","白金のローブ","防具","172","金币：450；材料：防具 ID 131「白銀のローブ」×1；物品 ID 188「妖精のどんぐり」×1","金币：450；材料：防具 ID 131「白银长袍」×1；物品 ID 188「妖精的橡果」×1","白金长袍"
"133","ドグマローブ","防具","221","金币：570；材料：防具 ID 127「黒のローブ」×1；物品 ID 199「ドグマ細胞」×1","金币：570；材料：防具 ID 127「黑色长袍」×1；物品 ID 199「教义细胞」×1","教义长袍"
"134","マーメイドローブ","防具","240","金币：290；材料：防具 ID 126「白のローブ」×1；物品 ID 204「人魚の鱗」×1","金币：290；材料：防具 ID 126「白长袍」×1；物品 ID 204「人鱼的鳞片」×1","人鱼长袍"
"138","ダブルドラゴンローブ","防具","349","金币：550；材料：防具 ID 137「ドラゴンローブ」×1；物品 ID 223「竜の牙」×1","金币：550；材料：防具 ID 137「龙长袍」×1；物品 ID 223「龙的牙齿」×1","双龙长袍"
"139","吸血鬼のローブ","防具","384","金币：660；材料：防具 ID 127「黒のローブ」×1；物品 ID 224「夜の黒片」×1","金币：660；材料：防具 ID 127「黑色长袍」×1；物品 ID 224「夜的黑片」×1","吸血鬼长袍"
"140","エレメンタルローブ","防具","411","金币：680；材料：防具 ID 135「天使のローブ」×1；物品 ID 65「疾風緑風石」×1；物品 ID 69「土流橙土石」×1；物品 ID 73「激流青水石」×1","金币：680；材料：防具 ID 135「天使长袍」×1；物品 ID 65「疾风绿风石」×1；物品 ID 69「土流橙土石」×1；物品 ID 73「激流青水石」×1","元素长袍"
"141","ディジョンローブ","防具","433","金币：720；材料：防具 ID 139「吸血鬼のローブ」×1；物品 ID 235「混沌の塊」×1","金币：720；材料：防具 ID 139「吸血鬼长袍」×1；物品 ID 235「混沌的块」×1","第戎长袍"
"143","九尾のローブ","防具","503","金币：4000；材料：防具 ID 136「陰陽ローブ」×1；物品 ID 242「もふもふしっぽ」×1","金币：4000；材料：防具 ID 136「阴阳长袍」×1；物品 ID 242「毛绒绒的尾巴」×1","九尾长袍"
"150","ふわふわドレス","防具","107","金币：180；材料：防具 ID 149「パーティドレス」×1；物品 ID 174「ふわふわしっぽ」×1","金币：180；材料：防具 ID 149「派对礼服」×1；物品 ID 174「蓬松尾巴」×1","蓬松礼服"
"151","ラミアンドレス","防具","201","金币：340；材料：防具 ID 149「パーティドレス」×1；物品 ID 193「魅惑の蛇尾」×1","金币：340；材料：防具 ID 149「派对礼服」×1；物品 ID 193「魅惑的蛇尾」×1","拉米亚礼服"
"153","花のドレス","防具","268","金币：50；材料：防具 ID 152「ホワイトドレス」×1；物品 ID 205「アルラウネの花」×1","金币：50；材料：防具 ID 152「白色礼服」×1；物品 ID 205「阿娜温的花」×1","花之礼服"
"155","水の羽衣改","防具","330","金币：120；材料：防具 ID 154「水の羽衣」×1；物品 ID 218「ぐにゅぐにゅゼリー」×1","金币：120；材料：防具 ID 154「水之羽衣」×1；物品 ID 218「咕啾咕啾的果冻」×1","水之羽衣改"
"158","プリンセスティアーズ","防具","385","金币：350；材料：防具 ID 157「プリンセスドレス」×1；物品 ID 230「涙の魔石」×1","金币：350；材料：防具 ID 157「公主礼服」×1；物品 ID 230「泪的魔石」×1","公主之泪"
"160","九尾のドレス","防具","504","金币：9900；材料：防具 ID 150「ふわふわドレス」×1；物品 ID 242「もふもふしっぽ」×1","金币：9900；材料：防具 ID 150「蓬松礼服」×1；物品 ID 242「毛绒绒的尾巴」×1","九尾礼服"
"165","貝殻水着","防具","108","金币：150；材料：防具 ID 163「あぶない水着」×1；物品 ID 176「頑丈な貝殻」×1","金币：150；材料：防具 ID 163「危险泳装」×1；物品 ID 176「坚固的贝壳」×1","贝壳泳装"
"166","小悪魔バニースーツ","防具","140","金币：190；材料：防具 ID 164「バニースーツ」×1；物品 ID 181「淫魔の尻尾」×1","金币：190；材料：防具 ID 164「兔女郎装」×1；物品 ID 181「淫魔的尾巴」×1","小恶魔兔女郎套装"
"171","魔香のビスチェ","防具","386","金币：350；材料：防具 ID 170「サキュバスビスチェ」×1；物品 ID 232「艶めかしい花びら」×1","金币：350；材料：防具 ID 170「魅魔胸衣」×1；物品 ID 232「艳丽的花瓣」×1","魔香胸衣"
"178","冒険家の帽子改","防具","16","金币：8；材料：防具 ID 177「冒険家の帽子」×1；物品 ID 165「ネバネバ粘液」×1","金币：8；材料：防具 ID 177「冒险家的帽子」×1；物品 ID 165「黏糊糊粘液」×1","冒险家的帽子改"
"180","ゴージャス羽付き帽子","防具","34","金币：30；材料：防具 ID 179「羽付き帽子」×1；物品 ID 168「綺麗な羽根」×1","金币：30；材料：防具 ID 179「羽毛帽」×1；物品 ID 168「美丽的羽毛」×1","豪华羽毛帽"
"184","カウボーイハット改","防具","109","金币：60；材料：防具 ID 183「カウボーイハット」×1；物品 ID 175「蜘蛛の糸」×1","金币：60；材料：防具 ID 183「牛仔帽」×1；物品 ID 175「蜘蛛之丝」×1","牛仔帽改"
"186","ロイヤルハット・呪髪","防具","173","金币：130；材料：防具 ID 185「ロイヤルハット」×1；物品 ID 185「幽霊の髪」×1","金币：130；材料：防具 ID 185「皇家帽」×1；物品 ID 185「幽灵的头发」×1","皇家帽子・咒发"
"188","紅猫の帽子","防具","269","金币：180；材料：防具 ID 187「紅の帽子」×1；物品 ID 206「猫のヒゲ」×1","金币：180；材料：防具 ID 187「红帽子」×1；物品 ID 206「猫的胡须」×1","红猫帽子"
"190","黒頭巾改","防具","307","金币：350；材料：防具 ID 189「黒頭巾」×1；物品 ID 216「不思議な葉っぱ」×1","金币：350；材料：防具 ID 189「黑头巾」×1；物品 ID 216「不可思议的叶子」×1","黑头巾改"
"191","紅頭巾","防具","350","金币：550；材料：防具 ID 190「黒頭巾改」×1；物品 ID 52「紅炎石」×1","金币：550；材料：防具 ID 190「黑头巾改」×1；物品 ID 52「红炎石」×1","红头巾"
"195","珊瑚の兜","防具","83","金币：60；材料：防具 ID 194「アイアンヘルム」×1；物品 ID 171「綺麗な珊瑚」×1","金币：60；材料：防具 ID 194「铁头盔」×1；物品 ID 171「美丽的珊瑚」×1","珊瑚之盔"
"196","聖珊瑚の兜","防具","141","金币：110；材料：防具 ID 195「珊瑚の兜」×1；物品 ID 75「聖石」×1","金币：110；材料：防具 ID 195「珊瑚之盔」×1；物品 ID 75「圣石」×1","神圣珊瑚之盔"
"198","オックスヘルム","防具","174","金币：290；材料：防具 ID 197「ミスリルヘルム」×1；物品 ID 189「猛牛の角」×1","金币：290；材料：防具 ID 197「秘银头盔」×1；物品 ID 189「猛牛之角」×1","牛角之盔"
"199","グレイトホーン","防具","202","金币：350；材料：防具 ID 198「オックスヘルム」×1；物品 ID 196「小鬼の角」×1","金币：350；材料：防具 ID 198「牛角之盔」×1；物品 ID 196「小鬼之角」×1","巨角头盔"
"201","大海賊の兜","防具","387","金币：740；材料：防具 ID 200「パイレーツメット」×1；物品 ID 226「大海の珊瑚」×1","金币：740；材料：防具 ID 200「海贼头盔」×1；物品 ID 226「大海的珊瑚」×1","大海贼之盔"
"205","鉄仮面改","防具","142","金币：180；材料：防具 ID 204「鉄仮面」×1；物品 ID 182「魔獣の爪」×1","金币：180；材料：防具 ID 204「铁面具」×1；物品 ID 182「魔兽之爪」×1","铁面具改"
"207","アースジェネラル","防具","222","金币：390；材料：防具 ID 206「ジェネラルヘルム」×1；物品 ID 68「橙土石」×1","金币：390；材料：防具 ID 206「将军头盔」×1；物品 ID 68「橙土石」×1","大地将军"
"209","クリスタルヘルム改","防具","241","金币：180；材料：防具 ID 208「クリスタルヘルム」×1；物品 ID 201「魔虫の表皮」×1","金币：180；材料：防具 ID 208「水晶头盔」×1；物品 ID 201「魔虫的表皮」×1","水晶头盔改"
"214","鬼武者の兜","防具","308","金币：450；材料：防具 ID 212「もののふの兜」×1；物品 ID 215「鬼の角」×1","金币：450；材料：防具 ID 212「武士之盔」×1；物品 ID 215「鬼之角」×1","鬼武者之盔"
"216","レッドヘルム","防具","351","金币：500；材料：防具 ID 215「グレートヘルム」×1；物品 ID 52「紅炎石」×1","金币：500；材料：防具 ID 215「巨盔」×1；物品 ID 52「红炎石」×1","红头盔"
"218","オリハルコンの兜改","防具","388","金币：620；材料：防具 ID 217「オリハルコンの兜」×1；物品 ID 231「魔虫の甲殻」×1","金币：620；材料：防具 ID 217「奥利哈钢制头盔」×1；物品 ID 231「魔虫的甲壳」×1","奥利哈钢制头盔改"
"220","プリズムヘルム・マリン","防具","412","金币：820；材料：防具 ID 219「プリズムヘルム」×1；物品 ID 73「激流青水石」×1","金币：820；材料：防具 ID 219「棱镜头盔」×1；物品 ID 73「激流青水石」×1","棱镜头盔・海"
"222","タイガーヘブン","防具","456","金币：1300；材料：防具 ID 221「タイガーヘルム」×1；物品 ID 241「天使の羽根」×1","金币：1300；材料：防具 ID 221「虎盔」×1；物品 ID 241「天使的羽毛」×1","虎天盔"
"224","流星の聖兜","防具","506","金币：3300；材料：防具 ID 223「流星の兜」×1；物品 ID 252「奇跡の羽根」×1","金币：3300；材料：防具 ID 223「流星制头盔」×1；物品 ID 252「奇迹的羽毛」×1","流星制圣头盔"
"225","流星の魔兜","防具","507","金币：3300；材料：防具 ID 223「流星の兜」×1；物品 ID 251「妖艶なる尻尾」×1","金币：3300；材料：防具 ID 223「流星制头盔」×1；物品 ID 251「妖艳的尾巴」×1","流星制魔头盔"
"230","東覇青龍の兜","防具","581","金币：5800；材料：防具 ID 213「青龍の兜」×1；物品 ID 259「深海の鱗」×1","金币：5800；材料：防具 ID 213「青龙之盔」×1；物品 ID 259「深海之鳞」×1","东霸青龙之盔"
"231","竜虎の兜","防具","663","金币：6000；材料：防具 ID 222「タイガーヘブン」×1；物品 ID 267「極竜の牙」×1","金币：6000；材料：防具 ID 222「虎天盔」×1；物品 ID 267「极龙之牙」×1","龙虎之盔"
"232","桜花修羅兜","防具","662","金币：6000；材料：防具 ID 228「修羅の兜」×1；物品 ID 262「神々しい花びら」×1","金币：6000；材料：防具 ID 228「修罗之盔」×1；物品 ID 262「神圣花瓣」×1","樱花修罗盔"
"236","疾風のサークレット","防具","35","金币：22；材料：防具 ID 235「アイアンサークレット」×1；物品 ID 63「風石」×1","金币：22；材料：防具 ID 235「铁头环」×1；物品 ID 63「风石」×1","疾风头环"
"238","奈落のサークレット","防具","58","金币：60；材料：防具 ID 237「ゴールドサークレット」×1；物品 ID 166「混沌の石」×1","金币：60；材料：防具 ID 237「黄金头环」×1；物品 ID 166「混沌之石」×1","奈落头环"
"239","大地のサークレット","防具","84","金币：80；材料：防具 ID 237「ゴールドサークレット」×1；物品 ID 67「土石」×1","金币：80；材料：防具 ID 237「黄金头环」×1；物品 ID 67「土石」×1","大地头环"
"240","大海のサークレット","防具","110","金币：100；材料：防具 ID 237「ゴールドサークレット」×1；物品 ID 71「水石」×1","金币：100；材料：防具 ID 237「黄金头环」×1；物品 ID 71「水石」×1","大海头环"
"242","ミスリルサークレット・エア","防具","175","金币：180；材料：防具 ID 241「ミスリルサークレット」×1；物品 ID 64「緑風石」×1","金币：180；材料：防具 ID 241「秘银头环」×1；物品 ID 64「绿风石」×1","秘银头环・风"
"243","ミスリルサークレット・アース","防具","223","金币：220；材料：防具 ID 241「ミスリルサークレット」×1；物品 ID 68「橙土石」×1","金币：220；材料：防具 ID 241「秘银头环」×1；物品 ID 68「橙土石」×1","秘银头环・土"
"245","マーメイドサークレット","防具","242","金币：160；材料：防具 ID 244「クリスタルサークレット」×1；物品 ID 204「人魚の鱗」×1","金币：160；材料：防具 ID 244「水晶头环」×1；物品 ID 204「人鱼的鳞片」×1","人鱼头环"
"246","妖狐のサークレット","防具","270","金币：180；材料：防具 ID 244「クリスタルサークレット」×1；物品 ID 209「ふかふかしっぽ」×1","金币：180；材料：防具 ID 244「水晶头环」×1；物品 ID 209「蓬松的尾巴」×1","妖狐头环"
"249","ネクロサークレット","防具","331","金币：320；材料：防具 ID 247「竜鱗のサークレット」×1；物品 ID 221「ネクロパウダー」×1","金币：320；材料：防具 ID 247「龙鳞制头环」×1；物品 ID 221「死灵粉末」×1","死灵头环"
"252","エレメンタルサークレット","防具","413","金币：580；材料：防具 ID 251「虹のサークレット」×1；物品 ID 65「疾風緑風石」×1；物品 ID 69「土流橙土石」×1；物品 ID 73「激流青水石」×1","金币：580；材料：防具 ID 251「虹制头环」×1；物品 ID 65「疾风绿风石」×1；物品 ID 69「土流橙土石」×1；物品 ID 73「激流青水石」×1","元素头环"
"253","ディジョンサークレット","防具","434","金币：670；材料：防具 ID 251「虹のサークレット」×1；物品 ID 235「混沌の塊」×1","金币：670；材料：防具 ID 251「虹制头环」×1；物品 ID 235「混沌的块」×1","第戎头环"
"256","九尾の烏帽子","防具","508","金币：3700；材料：防具 ID 246「妖狐のサークレット」×1；防具 ID 248「陰陽の烏帽子」×1；物品 ID 242「もふもふしっぽ」×1","金币：3700；材料：防具 ID 246「妖狐头环」×1；防具 ID 248「阴阳乌帽子」×1；物品 ID 242「毛绒绒的尾巴」×1","九尾乌帽"
"260","安らぎのティアラ","防具","59","金币：68；材料：防具 ID 259「綺麗なティアラ」×1；物品 ID 170「涙の凝石」×1","金币：68；材料：防具 ID 259「美丽冠饰」×1；物品 ID 170「泪之凝石」×1","安宁冠饰"
