"产物ID","产物名称","产物种类","配方ID","合成方案","中文合成方案","中文产物名称"
"2135","反撃の極秘石","物品","3372","金币：200000；材料：物品 ID 95「空の極秘石」×1；物品 ID 2134「反撃の絶秘石」×2","金币：200000；材料：物品 ID 95「空的极秘石」×1；物品 ID 2134「反击的绝秘石」×2","反击的极秘石"
"2140","魔法反撃の極秘石","物品","3373","金币：200000；材料：物品 ID 95「空の極秘石」×1；物品 ID 2139「魔法反撃の絶秘石」×2","金币：200000；材料：物品 ID 95「空的极秘石」×1；物品 ID 2139「魔法反击的绝秘石」×2","魔法反击的极秘石"
"2165","ロイド特攻の秘石","物品","1532","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 233「傀儡歯車」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 233「傀儡齿轮」×1","机器人特攻的秘石"
"2166","ロイド特攻の大秘石","物品","1579","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2165「ロイド特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2165「机器人特攻的秘石」×2","机器人特攻的大秘石"
"2189","人間特攻の秘石","物品","1507","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 109「魔導書のページ」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 109「魔导书的书页」×1","人类特攻的秘石"
"2190","人間特攻の大秘石","物品","1554","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2189「人間特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2189「人类特攻的秘石」×2","人类特攻的大秘石"
"2193","妖魔特攻の秘石","物品","1508","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 243「禍々しい結晶」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 243「不祥的结晶」×1","妖魔特攻的秘石"
"2194","妖魔特攻の大秘石","物品","1555","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2193「妖魔特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2193「妖魔特攻的秘石」×2","妖魔特攻的大秘石"
"2197","亜人特攻の秘石","物品","1509","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 260「超力の結晶」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 260「超力结晶」×1","亚人特攻的秘石"
"2198","亜人特攻の大秘石","物品","1556","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2197「亜人特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2197「亚人特攻的秘石」×2","亚人特攻的大秘石"
"2201","淫魔特攻の秘石","物品","1510","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 251「妖艶なる尻尾」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 251「妖艳的尾巴」×1","淫魔特攻的秘石"
"2202","淫魔特攻の大秘石","物品","1557","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2201「淫魔特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2201「淫魔特攻的秘石」×2","淫魔特攻的大秘石"
"2205","吸血鬼特攻の秘石","物品","1511","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 224「夜の黒片」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 224「夜的黑片」×1","吸血鬼特攻的秘石"
"2206","吸血鬼特攻の大秘石","物品","1558","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2205「吸血鬼特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2205「吸血鬼特攻的秘石」×2","吸血鬼特攻的大秘石"
"2209","人魚特攻の秘石","物品","1512","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 204「人魚の鱗」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 204「人鱼的鳞片」×1","人鱼特攻的秘石"
"2210","人魚特攻の大秘石","物品","1559","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2209「人魚特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2209「人鱼特攻的秘石」×2","人鱼特攻的大秘石"
"2213","エルフ特攻の秘石","物品","1513","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 230「涙の魔石」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 230「泪的魔石」×1","精灵特攻的秘石"
"2214","エルフ特攻の大秘石","物品","1560","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2213「エルフ特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2213「精灵特攻的秘石」×2","精灵特攻的大秘石"
"2217","妖精特攻の秘石","物品","1514","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 229「精霊のどんぐり」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 229「精灵的橡果」×1","妖精特攻的秘石"
"2218","妖精特攻の大秘石","物品","1561","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2217「妖精特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2217「妖精特攻的秘石」×2","妖精特攻的大秘石"
"2221","スライム特攻の秘石","物品","1515","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 218「ぐにゅぐにゅゼリー」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 218「咕啾咕啾的果冻」×1","史莱姆特攻的秘石"
"2222","スライム特攻の大秘石","物品","1562","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2221「スライム特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2221「史莱姆特攻的秘石」×2","史莱姆特攻的大秘石"
"2225","魔獣特攻の秘石","物品","1516","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 244「覇獣の爪」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 244「霸兽的爪子」×1","魔兽特攻的秘石"
"2226","魔獣特攻の大秘石","物品","1563","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2225「魔獣特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2225「魔兽特攻的秘石」×2","魔兽特攻的大秘石"
"2229","妖狐特攻の秘石","物品","1517","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 242「もふもふしっぽ」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 242「毛绒绒的尾巴」×1","妖狐特攻的秘石"
"2230","妖狐特攻の大秘石","物品","1564","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2229「妖狐特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2229「妖狐特攻的秘石」×2","妖狐特攻的大秘石"
"2233","ラミア特攻の秘石","物品","1518","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 245「覇蛇の蛇尾」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 245「霸蛇的蛇尾」×1","拉米亚特攻的秘石"
"2234","ラミア特攻の大秘石","物品","1565","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2233「ラミア特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2233「拉米亚特攻的秘石」×2","拉米亚特攻的大秘石"
"2237","スキュラ特攻の秘石","物品","1519","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 255「昂ぶる触手」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 255「昂扬的触手」×1","斯库拉特攻的秘石"
"2238","スキュラ特攻の大秘石","物品","1566","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2237「スキュラ特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2237「斯库拉特攻的秘石」×2","斯库拉特攻的大秘石"
"2241","ハーピー特攻の秘石","物品","1520","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 227「輝く羽根」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 227「闪耀的羽毛」×1","哈比特攻的秘石"
"2242","ハーピー特攻の大秘石","物品","1567","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2241「ハーピー特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2241「哈比特攻的秘石」×2","哈比特攻的大秘石"
"2245","竜特攻の秘石","物品","1521","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 247「覇竜の牙」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 247「霸龙的牙齿」×1","龙特攻的秘石"
"2246","竜特攻の大秘石","物品","1568","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2245「竜特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2245「龙特攻的秘石」×2","龙特攻的大秘石"
"2249","陸棲種特攻の秘石","物品","1522","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 194「鋭い牙」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 194「尖牙」×1","陆栖种特攻的秘石"
"2250","陸棲種特攻の大秘石","物品","1569","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2249「陸棲種特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2249「陆栖种特攻的秘石」×2","陆栖种特攻的大秘石"
"2253","海棲種特攻の秘石","物品","1523","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 226「大海の珊瑚」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 226「大海的珊瑚」×1","海栖种特攻的秘石"
"2254","海棲種特攻の大秘石","物品","1570","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2253「海棲種特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2253「海栖种特攻的秘石」×2","海栖种特攻的大秘石"
"2257","虫特攻の秘石","物品","1524","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 261「神蟲の鱗粉」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 261「神虫鳞粉」×1","虫特攻的秘石"
"2258","虫特攻の大秘石","物品","1571","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2257「虫特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2257「虫特攻的秘石」×2","虫特攻的大秘石"
"2261","植物特攻の秘石","物品","1525","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 257「偉大なる花びら」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 257「伟大的花瓣」×1","植物特攻的秘石"
"2262","植物特攻の大秘石","物品","1572","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2261「植物特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2261「植物特攻的秘石」×2","植物特攻的大秘石"
"2265","ゾンビ特攻の秘石","物品","1526","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 221「ネクロパウダー」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 221「死灵粉末」×1","僵尸特攻的秘石"
"2266","ゾンビ特攻の大秘石","物品","1573","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2265「ゾンビ特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2265「僵尸特攻的秘石」×2","僵尸特攻的大秘石"
"2269","ゴースト特攻の秘石","物品","1527","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 185「幽霊の髪」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 185「幽灵的头发」×1","幽灵特攻的秘石"
"2270","ゴースト特攻の大秘石","物品","1574","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2269「ゴースト特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2269「幽灵特攻的秘石」×2","幽灵特攻的大秘石"
"2273","ドール特攻の秘石","物品","1528","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 233「傀儡歯車」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 233「傀儡齿轮」×1","人偶特攻的秘石"
"2274","ドール特攻の大秘石","物品","1575","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2273「ドール特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2273「人偶特攻的秘石」×2","人偶特攻的大秘石"
"2277","キメラ特攻の秘石","物品","1529","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 240「イデア細胞」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 240「伊迪亚细胞」×1","奇美拉特攻的秘石"
"2278","キメラ特攻の大秘石","物品","1576","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2277「キメラ特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2277「奇美拉特攻的秘石」×2","奇美拉特攻的大秘石"
"2281","天使特攻の秘石","物品","1530","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 252「奇跡の羽根」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 252「奇迹的羽毛」×1","天使特攻的秘石"
"2282","天使特攻の大秘石","物品","1577","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2281「天使特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2281「天使特攻的秘石」×2","天使特攻的大秘石"
"2285","巨人特攻の秘石","物品","1531","金币：1000；材料：物品 ID 91「空の秘石」×1；物品 ID 228「大一角」×1","金币：1000；材料：物品 ID 91「空秘石」×1；物品 ID 228「大一角」×1","巨人特攻的秘石"
"2286","巨人特攻の大秘石","物品","1578","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2285「巨人特攻の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2285「巨人特攻的秘石」×2","巨人特攻的大秘石"
"2289","炎をまとう者の大秘石","物品","1885","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 53「赤熱紅炎石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 53「赤热红炎石」×3","炎之缠身者的大秘石"
"2290","氷をまとう者の大秘石","物品","1886","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 57「凍結蒼氷石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 57「冻结苍冰石」×3","冰之缠身者的大秘石"
"2291","雷をまとう者の大秘石","物品","1887","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 61「電光黄雷石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 61「电光黄雷石」×3","雷之缠身者的大秘石"
"2292","風をまとう者の大秘石","物品","1888","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 65「疾風緑風石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 65「疾风绿风石」×3","风之缠身者的大秘石"
"2293","土をまとう者の大秘石","物品","1889","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 69「土流橙土石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 69「土流橙土石」×3","土之缠身者的大秘石"
"2294","水をまとう者の大秘石","物品","1890","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 73「激流青水石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 73「激流青水石」×3","水之缠身者的大秘石"
"2295","光をまとう者の大秘石","物品","1891","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 77「天空白聖石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 77「天空白圣石」×3","光之缠身者的大秘石"
"2296","闇をまとう者の大秘石","物品","1892","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 81「輝晶黒闇石」×3","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 81「辉晶黑暗石」×3","暗之缠身者的大秘石"
"2297","音波をまとう者の大秘石","物品","1893","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 17「満月草」×5","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 17「满月草」×5","音波缠身者的大秘石"
"2298","バイオをまとう者の大秘石","物品","1894","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 13「毒消し草」×5","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 13「解毒草」×5","生化缠身者的大秘石"
"2299","快楽をまとう者の大秘石","物品","1895","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 266「絶美の尻尾」×5","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 266「绝美尾巴」×5","快乐缠身者的大秘石"
"2301","物理強化の大秘石","物品","1923","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2300「物理強化の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2300「物理强化的秘石」×2","物理强化的大秘石"
"2302","物理強化の絶秘石","物品","3152","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2301「物理強化の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2301「物理强化的大秘石」×2","物理强化的绝秘石"
"2310","短剣技の秘石","物品","1690","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 33「流星のナイフ」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 33「流星制小刀」×1","短剑技的秘石"
"2311","短剣技の大秘石","物品","1798","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2310「短剣技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2310「短剑技的秘石」×2","短剑技的大秘石"
"2312","短剣技の絶秘石","物品","3165","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2311「短剣技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2311「短剑技的大秘石」×2","短剑技的绝秘石"
"2315","剣技の秘石","物品","1691","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 111「流星の剣」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 111「流星制之剑」×1","剑技的秘石"
"2316","剣技の大秘石","物品","1799","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2315「剣技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2315「剑技的秘石」×2","剑技的大秘石"
"2317","剣技の絶秘石","物品","3166","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2316「剣技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2316「剑技的大秘石」×2","剑技的绝秘石"
"2320","尖剣技の秘石","物品","1692","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 166「流星のレイピア」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 166「流星制细剑」×1","尖剑技的秘石"
"2321","尖剣技の大秘石","物品","1800","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2320「尖剣技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2320「尖剑技的秘石」×2","尖剑技的大秘石"
"2322","尖剣技の絶秘石","物品","3167","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2321「尖剣技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2321「尖剑技的大秘石」×2","尖剑技的绝秘石"
"2325","刀技の秘石","物品","1693","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 263「人斬り丸」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 263「人斩丸」×1","刀技的秘石"
"2326","刀技の大秘石","物品","1801","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2325「刀技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2325「刀技的秘石」×2","刀技的大秘石"
"2327","刀技の絶秘石","物品","3168","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2326「刀技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2326「刀技的大秘石」×2","刀技的绝秘石"
"2330","槍技の秘石","物品","1694","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 232「流星の槍」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 232「流星制之枪」×1","枪技的秘石"
"2331","槍技の大秘石","物品","1802","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2330「槍技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2330「枪技的秘石」×2","枪技的大秘石"
"2332","槍技の絶秘石","物品","3169","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2331「槍技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2331「枪技的大秘石」×2","枪技的绝秘石"
"2335","斧技の秘石","物品","1695","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 390「流星の斧」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 390「流星制斧」×1","斧技的秘石"
"2336","斧技の大秘石","物品","1803","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2335「斧技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2335「斧技的秘石」×2","斧技的大秘石"
"2337","斧技の絶秘石","物品","3170","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2336「斧技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2336「斧技的大秘石」×2","斧技的绝秘石"
"2340","棍技の秘石","物品","1696","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 430「流星のハンマー」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 430「流星制锤」×1","棍技的秘石"
"2341","棍技の大秘石","物品","1804","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2340「棍技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2340「棍技的秘石」×2","棍技的大秘石"
"2342","棍技の絶秘石","物品","3171","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2341「棍技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2341「棍技的大秘石」×2","棍技的绝秘石"
"2345","鎌技の秘石","物品","1697","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 463「流星の鎌」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 463「流星制镰」×1","镰技的秘石"
"2346","鎌技の大秘石","物品","1805","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2345「鎌技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2345「镰技的秘石」×2","镰技的大秘石"
"2347","鎌技の絶秘石","物品","3172","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2346「鎌技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2346「镰技的大秘石」×2","镰技的绝秘石"
"2350","弓技の秘石","物品","1698","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 578「流星の弓」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 578「流星制之弓」×1","弓技的秘石"
"2351","弓技の大秘石","物品","1806","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2350「弓技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2350「弓技的秘石」×2","弓技的大秘石"
"2352","弓技の絶秘石","物品","3173","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2351「弓技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2351「弓技的大秘石」×2","弓技的绝秘石"
"2355","鞭技の秘石","物品","1699","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 611「流星の鞭」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 611「流星制鞭」×1","鞭技的秘石"
"2356","鞭技の大秘石","物品","1807","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2355「鞭技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2355「鞭技的秘石」×2","鞭技的大秘石"
"2357","鞭技の絶秘石","物品","3174","金币：30000；材料：物品 ID 94「空の絶秘石」×1；物品 ID 2356「鞭技の大秘石」×2","金币：30000；材料：物品 ID 94「空的绝秘石」×1；物品 ID 2356「鞭技的大秘石」×2","鞭技的绝秘石"
"2360","投擲技の秘石","物品","1700","金币：1000；材料：物品 ID 91「空の秘石」×1；武器 ID 689「流星のブーメラン」×1","金币：1000；材料：物品 ID 91「空秘石」×1；武器 ID 689「流星制回旋镖」×1","投掷技的秘石"
"2361","投擲技の大秘石","物品","1808","金币：3000；材料：物品 ID 92「空の大秘石」×1；物品 ID 2360「投擲技の秘石」×2","金币：3000；材料：物品 ID 92「空的大秘石」×1；物品 ID 2360「投掷技的秘石」×2","投掷技的大秘石"
