"怪物ID","怪物名字","物品类型","物品ID","物品名字","获取方式","中文怪物名字","中文物品名字"
"5","インプ","防具","1171","緊縛の縄","可偷物品","小恶魔","紧缚之绳"
"5","インプ","物品","357","サンドウイッチ","可偷食材","小恶魔","三明治"
"5","インプ","物品","162","インプの尻尾","可偷素材","小恶魔","小恶魔的尾巴"
"5","インプ","防具","1802","こあくまインプのパンツ","可偷内裤","小恶魔","小恶魔的内裤"
"5","インプ","物品","1005","インプのミルク","可偷牛奶","小恶魔","小恶魔的乳汁"
"6","マンドラゴラ娘","物品","1","薬草","掉落","曼德拉娘","药草"
"6","マンドラゴラ娘","物品","307","キャベツ","掉落","曼德拉娘","卷心菜"
"6","マンドラゴラ娘","物品","163","魔葉","掉落","曼德拉娘","魔叶"
"6","マンドラゴラ娘","物品","1","薬草","可偷物品","曼德拉娘","药草"
"6","マンドラゴラ娘","物品","163","魔葉","可偷物品","曼德拉娘","魔叶"
"6","マンドラゴラ娘","物品","307","キャベツ","可偷食材","曼德拉娘","卷心菜"
"6","マンドラゴラ娘","物品","163","魔葉","可偷素材","曼德拉娘","魔叶"
"6","マンドラゴラ娘","物品","1006","マンドラゴラ娘のミルク","可偷牛奶","曼德拉娘","曼德拉娘的乳汁"
"7","犬娘","物品","442","魚の骨","掉落","犬娘","鱼骨"
"7","犬娘","物品","11","フェニックスの尾","掉落","犬娘","凤凰之尾"
"7","犬娘","物品","164","野獣の爪","掉落","犬娘","野兽之爪"
"7","犬娘","物品","442","魚の骨","可偷物品","犬娘","鱼骨"
"7","犬娘","物品","11","フェニックスの尾","可偷物品","犬娘","凤凰之尾"
"7","犬娘","物品","442","魚の骨","可偷食材","犬娘","鱼骨"
"7","犬娘","物品","164","野獣の爪","可偷素材","犬娘","野兽之爪"
"7","犬娘","防具","1805","わんわんパンツ","可偷内裤","犬娘","汪汪内裤"
"7","犬娘","物品","1007","犬娘のミルク","可偷牛奶","犬娘","犬娘的乳汁"
"8","ミミズ娘","物品","13","毒消し草","掉落","蚯蚓娘","解毒草"
"8","ミミズ娘","物品","161","ヌルヌル粘液","掉落","蚯蚓娘","黏滑粘液"
"8","ミミズ娘","物品","67","土石","掉落","蚯蚓娘","土石"
"8","ミミズ娘","物品","13","毒消し草","可偷物品","蚯蚓娘","解毒草"
"8","ミミズ娘","物品","67","土石","可偷物品","蚯蚓娘","土石"
"8","ミミズ娘","物品","301","りんご","可偷食材","蚯蚓娘","苹果"
"8","ミミズ娘","物品","161","ヌルヌル粘液","可偷素材","蚯蚓娘","黏滑粘液"
"8","ミミズ娘","物品","1008","ミミズ娘のミルク","可偷牛奶","蚯蚓娘","蚯蚓娘的乳汁"
"9","ゴブリン娘","物品","67","土石","掉落","哥布林娘","土石"
"9","ゴブリン娘","物品","361","おにぎり","掉落","哥布林娘","饭团"
"9","ゴブリン娘","武器","402","大金槌","掉落","哥布林娘","大金锤"
"9","ゴブリン娘","防具","1806","ゴブリンパンツ","可偷内裤","哥布林娘","哥布林内裤"
"9","ゴブリン娘","物品","1009","ゴブリン娘のミルク","可偷牛奶","哥布林娘","哥布林娘的乳汁"
"10","プチラミア","物品","71","水石","掉落","迷你拉米亚","水石"
"10","プチラミア","物品","346","あんぱん","掉落","迷你拉米亚","红豆面包"
"10","プチラミア","防具","1021","鉄の小手","掉落","迷你拉米亚","铁制护手"
"10","プチラミア","物品","1010","プチラミアのミルク","可偷牛奶","迷你拉米亚","迷你拉米亚的乳汁"
"11","ヴァンパイアガール","物品","63","風石","掉落","萝莉吸血鬼","风石"
"11","ヴァンパイアガール","物品","434","ビスケット","掉落","萝莉吸血鬼","饼干"
"11","ヴァンパイアガール","防具","2","黒いズタ袋","掉落","萝莉吸血鬼","黑布袋"
"11","ヴァンパイアガール","防具","1807","こうもりパンツ","可偷内裤","萝莉吸血鬼","蝙蝠内裤"
"11","ヴァンパイアガール","物品","1011","ヴァンパイアガールのミルク","可偷牛奶","萝莉吸血鬼","萝莉吸血鬼的乳汁"
"12","ドラゴンパピー","物品","51","炎石","掉落","迷你龙","炎石"
"12","ドラゴンパピー","物品","446","どんぐり","掉落","迷你龙","橡果"
"12","ドラゴンパピー","武器","290","セスタス","掉落","迷你龙","格斗爪"
"12","ドラゴンパピー","防具","1808","ミニ竜の腰布","可偷内裤","迷你龙","小龙腰布"
"12","ドラゴンパピー","物品","1012","ドラゴンパピーのミルク","可偷牛奶","迷你龙","迷你龙的乳汁"
"13","ネズミ娘","物品","341","チーズ","掉落","鼠娘","奶酪"
"13","ネズミ娘","物品","164","野獣の爪","掉落","鼠娘","野兽之爪"
"13","ネズミ娘","防具","1036","銀の腕輪","掉落","鼠娘","银手镯"
"13","ネズミ娘","物品","1","薬草","可偷物品","鼠娘","药草"
"13","ネズミ娘","防具","1036","銀の腕輪","可偷物品","鼠娘","银手镯"
"13","ネズミ娘","物品","341","チーズ","可偷食材","鼠娘","奶酪"
"13","ネズミ娘","物品","164","野獣の爪","可偷素材","鼠娘","野兽之爪"
"13","ネズミ娘","防具","1809","ネズミ水玉パンツ","可偷内裤","鼠娘","鼠娘圆点内裤"
"13","ネズミ娘","物品","1013","ネズミ娘のミルク","可偷牛奶","鼠娘","鼠娘的乳汁"
"14","狼娘","物品","7","ブーストドリンク","掉落","狼娘","能量饮料"
"14","狼娘","物品","329","肉","掉落","狼娘","肉"
"14","狼娘","物品","164","野獣の爪","掉落","狼娘","野兽之爪"
"14","狼娘","物品","7","ブーストドリンク","可偷物品","狼娘","能量饮料"
"14","狼娘","物品","11","フェニックスの尾","可偷物品","狼娘","凤凰之尾"
"14","狼娘","物品","329","肉","可偷食材","狼娘","肉"
"14","狼娘","物品","164","野獣の爪","可偷素材","狼娘","野兽之爪"
"14","狼娘","物品","1014","狼娘のミルク","可偷牛奶","狼娘","狼娘的乳汁"
"15","フェニックス娘","物品","11","フェニックスの尾","掉落","凤凰娘","凤凰之尾"
"15","フェニックス娘","物品","51","炎石","掉落","凤凰娘","炎石"
"15","フェニックス娘","防具","1001","マッスルベルト","掉落","凤凰娘","肌肉腰带"
"15","フェニックス娘","防具","1810","フェニックスもふもふパンツ","可偷内裤","凤凰娘","凤凰绒绒内裤"
"15","フェニックス娘","物品","1015","フェニックス娘のミルク","可偷牛奶","凤凰娘","凤凰娘的乳汁"
"16","ヒル娘","物品","13","毒消し草","掉落","水蛭娘","解毒草"
"16","ヒル娘","物品","165","ネバネバ粘液","掉落","水蛭娘","黏糊糊粘液"
"16","ヒル娘","物品","55","氷石","掉落","水蛭娘","冰石"
"16","ヒル娘","物品","13","毒消し草","可偷物品","水蛭娘","解毒草"
"16","ヒル娘","防具","1041","細心の首飾り","可偷物品","水蛭娘","细心项链"
"16","ヒル娘","物品","337","イチゴジャム","可偷食材","水蛭娘","草莓酱"
"16","ヒル娘","物品","165","ネバネバ粘液","可偷素材","水蛭娘","黏糊糊粘液"
"16","ヒル娘","物品","1016","ヒル娘のミルク","可偷牛奶","水蛭娘","水蛭娘的乳汁"
"17","ウサギ娘","物品","11","フェニックスの尾","掉落","兔娘","凤凰之尾"
"17","ウサギ娘","物品","51","炎石","掉落","兔娘","炎石"
"17","ウサギ娘","武器","550","アイアンボウ","掉落","兔娘","铁弓"
"17","ウサギ娘","物品","1","薬草","可偷物品","兔娘","药草"
"17","ウサギ娘","武器","550","アイアンボウ","可偷物品","兔娘","铁弓"
"17","ウサギ娘","物品","310","にんじん","可偷食材","兔娘","胡萝卜"
"17","ウサギ娘","物品","51","炎石","可偷素材","兔娘","炎石"
"17","ウサギ娘","防具","1811","ウサギ娘のショーツ","可偷内裤","兔娘","兔娘的内裤"
"17","ウサギ娘","物品","1017","ウサギ娘のミルク","可偷牛奶","兔娘","兔娘的乳汁"
"18","羊娘","物品","431","ヤマタイ酒","掉落","羊娘","邪马台酒"
"18","羊娘","物品","433","スルメ","掉落","羊娘","鱿鱼干"
"18","羊娘","物品","55","氷石","掉落","羊娘","冰石"
"18","羊娘","物品","433","スルメ","可偷物品","羊娘","鱿鱼干"
"18","羊娘","防具","1147","隠遁のシール","可偷物品","羊娘","隐遁的贴纸"
"18","羊娘","物品","431","ヤマタイ酒","可偷食材","羊娘","邪马台酒"
"18","羊娘","物品","55","氷石","可偷素材","羊娘","冰石"
"18","羊娘","防具","1812","羊娘の地味パンツ","可偷内裤","羊娘","羊娘朴素内裤"
"18","羊娘","物品","1018","羊娘のミルク","可偷牛奶","羊娘","羊娘的乳汁"
"19","シュリー","物品","7","ブーストドリンク","掉落","修莉","能量饮料"
"19","シュリー","物品","166","混沌の石","掉落","修莉","混沌之石"
"19","シュリー","物品","55","氷石","掉落","修莉","冰石"
"19","シュリー","物品","55","氷石","可偷物品","修莉","冰石"
"19","シュリー","防具","1006","マジックオーブ","可偷物品","修莉","魔法宝珠"
"19","シュリー","物品","166","混沌の石","可偷素材","修莉","混沌之石"
"19","シュリー","物品","1019","シュリーのミルク","可偷牛奶","修莉","修莉的乳汁"
"20","ジェイド","物品","11","フェニックスの尾","掉落","杰伊德","凤凰之尾"
"20","ジェイド","物品","166","混沌の石","掉落","杰伊德","混沌之石"
"20","ジェイド","物品","59","雷石","掉落","杰伊德","雷石"
"20","ジェイド","物品","59","雷石","可偷物品","杰伊德","雷石"
"20","ジェイド","防具","1011","不思議なタトゥー","可偷物品","杰伊德","不可思议纹身"
"20","ジェイド","物品","166","混沌の石","可偷素材","杰伊德","混沌之石"
"20","ジェイド","物品","1020","ジェイドのミルク","可偷牛奶","杰伊德","杰伊德的乳汁"
"21","シェスタ","物品","166","混沌の石","掉落","谢丝塔","混沌之石"
"21","シェスタ","物品","63","風石","掉落","谢丝塔","风石"
"21","シェスタ","防具","148","革のドレス","掉落","谢丝塔","皮革礼服"
"21","シェスタ","物品","166","混沌の石","可偷物品","谢丝塔","混沌之石"
"21","シェスタ","防具","148","革のドレス","可偷物品","谢丝塔","皮革礼服"
"21","シェスタ","物品","166","混沌の石","可偷素材","谢丝塔","混沌之石"
"21","シェスタ","防具","1813","シェスタのパンツ","可偷内裤","谢丝塔","谢丝塔的内裤"
"21","シェスタ","物品","1021","シェスタのミルク","可偷牛奶","谢丝塔","谢丝塔的乳汁"
"22","？？？","物品","4","霊薬","掉落","？？？","灵药"
"22","？？？","物品","166","混沌の石","掉落","？？？","混沌之石"
"22","？？？","物品","79","闇石","掉落","？？？","暗石"
"22","？？？","物品","1022","ヌルコのミルク","可偷牛奶","？？？","黏黏子的乳汁"
"23","オーク娘","物品","329","肉","掉落","兽人娘","肉"
"23","オーク娘","物品","331","ソーセージ","掉落","兽人娘","香肠"
"23","オーク娘","武器","400","棍棒","掉落","兽人娘","棍棒"
"23","オーク娘","物品","23","ハーピーの羽","可偷物品","兽人娘","哈比之羽"
"23","オーク娘","防具","1016","パワーリスト","可偷物品","兽人娘","力量护腕"
"23","オーク娘","物品","331","ソーセージ","可偷食材","兽人娘","香肠"
"23","オーク娘","物品","67","土石","可偷素材","兽人娘","土石"
"23","オーク娘","物品","1023","オーク娘のミルク","可偷牛奶","兽人娘","兽人娘的乳汁"
"24","ミツバチ娘","物品","14","目薬","掉落","蜜蜂娘","眼药水"
"24","ミツバチ娘","物品","436","ハチミツ","掉落","蜜蜂娘","蜂蜜"
"24","ミツバチ娘","物品","167","硬い針","掉落","蜜蜂娘","硬针"
"24","ミツバチ娘","物品","14","目薬","可偷物品","蜜蜂娘","眼药水"
"24","ミツバチ娘","物品","167","硬い針","可偷物品","蜜蜂娘","硬针"
"24","ミツバチ娘","物品","436","ハチミツ","可偷食材","蜜蜂娘","蜂蜜"
"24","ミツバチ娘","物品","167","硬い針","可偷素材","蜜蜂娘","硬针"
"24","ミツバチ娘","物品","1024","ミツバチ娘のミルク","可偷牛奶","蜜蜂娘","蜜蜂娘的乳汁"
"25","スズメ娘","物品","1","薬草","掉落","麻雀娘","药草"
"25","スズメ娘","物品","168","綺麗な羽根","掉落","麻雀娘","美丽的羽毛"
"25","スズメ娘","防具","123","シルクのローブ","掉落","麻雀娘","丝绸长袍"
"25","スズメ娘","物品","1","薬草","可偷物品","麻雀娘","药草"
"25","スズメ娘","物品","23","ハーピーの羽","可偷物品","麻雀娘","哈比之羽"
"25","スズメ娘","物品","360","ライス","可偷食材","麻雀娘","米饭"
"25","スズメ娘","物品","168","綺麗な羽根","可偷素材","麻雀娘","美丽的羽毛"
"25","スズメ娘","防具","1814","スズメ娘の羽毛パンツ","可偷内裤","麻雀娘","麻雀娘的羽毛内裤"
"25","スズメ娘","物品","1025","スズメ娘のミルク","可偷牛奶","麻雀娘","麻雀娘的乳汁"
"26","ハーピー","物品","23","ハーピーの羽","掉落","哈比","哈比之羽"
"26","ハーピー","物品","168","綺麗な羽根","掉落","哈比","美丽的羽毛"
"26","ハーピー","物品","63","風石","掉落","哈比","风石"
"26","ハーピー","物品","23","ハーピーの羽","可偷物品","哈比","哈比之羽"
"26","ハーピー","物品","63","風石","可偷物品","哈比","风石"
"26","ハーピー","物品","361","おにぎり","可偷食材","哈比","饭团"
"26","ハーピー","物品","168","綺麗な羽根","可偷素材","哈比","美丽的羽毛"
"26","ハーピー","物品","1026","ハーピーのミルク","可偷牛奶","哈比","哈比的乳汁"
"27","ハーピーツインズ","物品","305","バナナ","掉落","哈比姐妹","香蕉"
"27","ハーピーツインズ","物品","168","綺麗な羽根","掉落","哈比姐妹","美丽的羽毛"
"27","ハーピーツインズ","防具","1056","そよ風のマント","掉落","哈比姐妹","微风斗篷"
"27","ハーピーツインズ","物品","23","ハーピーの羽","可偷物品","哈比姐妹","哈比之羽"
"27","ハーピーツインズ","物品","168","綺麗な羽根","可偷物品","哈比姐妹","美丽的羽毛"
"27","ハーピーツインズ","物品","305","バナナ","可偷食材","哈比姐妹","香蕉"
"27","ハーピーツインズ","物品","168","綺麗な羽根","可偷素材","哈比姐妹","美丽的羽毛"
"27","ハーピーツインズ","物品","1027","ハーピーツインズのミルク","可偷牛奶","哈比姐妹","哈比姐妹的乳汁"
"28","クィーンハーピー","物品","11","フェニックスの尾","掉落","哈比女王","凤凰之尾"
"28","クィーンハーピー","物品","168","綺麗な羽根","掉落","哈比女王","美丽的羽毛"
"28","クィーンハーピー","物品","63","風石","掉落","哈比女王","风石"
"28","クィーンハーピー","物品","1028","クィーンハーピーのミルク","可偷牛奶","哈比女王","哈比女王的乳汁"
"29","ハイスラッグ娘","物品","13","毒消し草","掉落","高阶蛞蝓娘","解毒草"
"29","ハイスラッグ娘","物品","165","ネバネバ粘液","掉落","高阶蛞蝓娘","黏糊糊粘液"
"29","ハイスラッグ娘","防具","148","革のドレス","掉落","高阶蛞蝓娘","皮革礼服"
"29","ハイスラッグ娘","物品","13","毒消し草","可偷物品","高阶蛞蝓娘","解毒草"
"29","ハイスラッグ娘","防具","1145","派手なマニキュア","可偷物品","高阶蛞蝓娘","华丽的指甲油"
"29","ハイスラッグ娘","物品","309","レタス","可偷食材","高阶蛞蝓娘","生菜"
"29","ハイスラッグ娘","物品","165","ネバネバ粘液","可偷素材","高阶蛞蝓娘","黏糊糊粘液"
"29","ハイスラッグ娘","防具","1815","ナメクジ高級パンツ","可偷内裤","高阶蛞蝓娘","蛞蝓高档内裤"
"29","ハイスラッグ娘","物品","1029","ハイスラッグ娘のミルク","可偷牛奶","高阶蛞蝓娘","高阶蛞蝓娘的乳汁"
"30","ナメクジシスター","物品","309","レタス","掉落","蛞蝓修女","生菜"
"30","ナメクジシスター","物品","165","ネバネバ粘液","掉落","蛞蝓修女","黏糊糊粘液"
"30","ナメクジシスター","武器","474","魔導士の杖","掉落","蛞蝓修女","魔导士之杖"
"30","ナメクジシスター","物品","13","毒消し草","可偷物品","蛞蝓修女","解毒草"
"30","ナメクジシスター","防具","1031","ガードロザリオ","可偷物品","蛞蝓修女","守护念珠"
"30","ナメクジシスター","物品","309","レタス","可偷食材","蛞蝓修女","生菜"
"30","ナメクジシスター","物品","165","ネバネバ粘液","可偷素材","蛞蝓修女","黏糊糊粘液"
"30","ナメクジシスター","防具","1816","ナメクジシスターパンツ","可偷内裤","蛞蝓修女","蛞蝓修女内裤"
"30","ナメクジシスター","物品","1030","ナメクジシスターのミルク","可偷牛奶","蛞蝓修女","蛞蝓修女的乳汁"
"31","スラグスターズ","物品","31","器用さの種","掉落","蛞蝓群星","灵巧之种"
"31","スラグスターズ","物品","165","ネバネバ粘液","掉落","蛞蝓群星","黏糊糊粘液"
"31","スラグスターズ","物品","67","土石","掉落","蛞蝓群星","土石"
"31","スラグスターズ","物品","1031","スラグスターズのミルク","可偷牛奶","蛞蝓群星","蛞蝓群星的乳汁"
"32","ジャックオーランタン","物品","446","どんぐり","掉落","杰克灯笼","橡果"
"32","ジャックオーランタン","物品","15","山彦草","掉落","杰克灯笼","山彦草"
"32","ジャックオーランタン","物品","169","不思議などんぐり","掉落","杰克灯笼","不可思议的橡果"
"32","ジャックオーランタン","物品","447","松ぼっくり","可偷物品","杰克灯笼","松果"
"32","ジャックオーランタン","防具","234","魔導師の帽子","可偷物品","杰克灯笼","魔导师的帽子"
"32","ジャックオーランタン","物品","435","アメ玉","可偷食材","杰克灯笼","糖球"
"32","ジャックオーランタン","物品","169","不思議などんぐり","可偷素材","杰克灯笼","不可思议的橡果"
"32","ジャックオーランタン","防具","1817","かぼちゃパンツ","可偷内裤","杰克灯笼","南瓜内裤"
"32","ジャックオーランタン","物品","1032","ジャックオーランタンのミルク","可偷牛奶","杰克灯笼","杰克灯笼的乳汁"
"33","ローパー娘","物品","1","薬草","掉落","树绳妖娘","药草"
"33","ローパー娘","物品","161","ヌルヌル粘液","掉落","树绳妖娘","黏滑粘液"
"33","ローパー娘","物品","51","炎石","掉落","树绳妖娘","炎石"
"33","ローパー娘","物品","1","薬草","可偷物品","树绳妖娘","药草"
"33","ローパー娘","防具","1061","不思議なかんざし","可偷物品","树绳妖娘","不可思议的发簪"
"33","ローパー娘","物品","312","大根","可偷食材","树绳妖娘","白萝卜"
"33","ローパー娘","物品","161","ヌルヌル粘液","可偷素材","树绳妖娘","黏滑粘液"
"33","ローパー娘","物品","1033","ローパー娘のミルク","可偷牛奶","树绳妖娘","树绳妖娘的乳汁"
"34","メーダ娘","物品","14","目薬","掉落","梅达娘","眼药水"
"34","メーダ娘","物品","432","ほしにく","掉落","梅达娘","干肉"
"34","メーダ娘","物品","59","雷石","掉落","梅达娘","雷石"
"34","メーダ娘","物品","14","目薬","可偷物品","梅达娘","眼药水"
"34","メーダ娘","物品","11","フェニックスの尾","可偷物品","梅达娘","凤凰之尾"
"34","メーダ娘","物品","432","ほしにく","可偷食材","梅达娘","干肉"
"34","メーダ娘","物品","59","雷石","可偷素材","梅达娘","雷石"
"34","メーダ娘","物品","1034","メーダ娘のミルク","可偷牛奶","梅达娘","梅达娘的乳汁"
"35","キャンドル娘","物品","11","フェニックスの尾","掉落","蜡烛娘","凤凰之尾"
"35","キャンドル娘","物品","51","炎石","掉落","蜡烛娘","炎石"
"35","キャンドル娘","防具","1006","マジックオーブ","掉落","蜡烛娘","魔法宝珠"
"35","キャンドル娘","物品","1","薬草","可偷物品","蜡烛娘","药草"
"35","キャンドル娘","物品","51","炎石","可偷物品","蜡烛娘","炎石"
"35","キャンドル娘","物品","338","小麦粉","可偷食材","蜡烛娘","面粉"
"35","キャンドル娘","物品","51","炎石","可偷素材","蜡烛娘","炎石"
"35","キャンドル娘","物品","1035","キャンドル娘のミルク","可偷牛奶","蜡烛娘","蜡烛娘的乳汁"
"36","イーター","物品","1","薬草","掉落","伊塔","药草"
"36","イーター","物品","172","混沌の欠片","掉落","伊塔","混沌的碎片"
"36","イーター","物品","59","雷石","掉落","伊塔","雷石"
"36","イーター","物品","1","薬草","可偷物品","伊塔","药草"
"36","イーター","防具","1113","ライトリング","可偷物品","伊塔","轻灵戒指"
"36","イーター","物品","172","混沌の欠片","可偷素材","伊塔","混沌的碎片"
"36","イーター","物品","1036","イーターのミルク","可偷牛奶","伊塔","伊塔的乳汁"
"37","ライオット","物品","7","ブーストドリンク","掉落","莱奥特","能量饮料"
"37","ライオット","物品","164","野獣の爪","掉落","莱奥特","野兽之爪"
"37","ライオット","物品","166","混沌の石","掉落","莱奥特","混沌之石"
"37","ライオット","物品","7","ブーストドリンク","可偷物品","莱奥特","能量饮料"
"37","ライオット","防具","1016","パワーリスト","可偷物品","莱奥特","力量护腕"
"37","ライオット","物品","166","混沌の石","可偷素材","莱奥特","混沌之石"
"37","ライオット","物品","1037","ライオットのミルク","可偷牛奶","莱奥特","莱奥特的乳汁"
"38","ルクスル","物品","11","フェニックスの尾","掉落","露克斯","凤凰之尾"
"38","ルクスル","物品","172","混沌の欠片","掉落","露克斯","混沌的碎片"
"38","ルクスル","武器","889","マスケット","掉落","露克斯","滑膛枪"
"38","ルクスル","物品","11","フェニックスの尾","可偷物品","露克斯","凤凰之尾"
"38","ルクスル","物品","79","闇石","可偷物品","露克斯","暗石"
"38","ルクスル","物品","166","混沌の石","可偷素材","露克斯","混沌之石"
"38","ルクスル","物品","1038","ルクスルのミルク","可偷牛奶","露克斯","露克斯的乳汁"
"39","ダークエルフ","物品","1","薬草","掉落","暗精灵","药草"
"39","ダークエルフ","物品","170","涙の凝石","掉落","暗精灵","泪之凝石"
"39","ダークエルフ","武器","5","ゴールドナイフ","掉落","暗精灵","金制小刀"
"39","ダークエルフ","物品","1","薬草","可偷物品","暗精灵","药草"
"39","ダークエルフ","防具","1011","不思議なタトゥー","可偷物品","暗精灵","不可思议纹身"
"39","ダークエルフ","物品","343","パン","可偷食材","暗精灵","面包"
"39","ダークエルフ","物品","170","涙の凝石","可偷素材","暗精灵","泪之凝石"
"39","ダークエルフ","防具","1818","ダークエルフショーツ","可偷内裤","暗精灵","暗精灵短裤"
"39","ダークエルフ","物品","1039","ダークエルフ剣士のミルク","可偷牛奶","暗精灵","暗精灵剑士的乳汁"
"40","ダークエルフ","物品","15","山彦草","掉落","暗精灵","山彦草"
"40","ダークエルフ","物品","170","涙の凝石","掉落","暗精灵","泪之凝石"
"40","ダークエルフ","物品","55","氷石","掉落","暗精灵","冰石"
"40","ダークエルフ","物品","15","山彦草","可偷物品","暗精灵","山彦草"
"40","ダークエルフ","防具","1100","ミラーリング","可偷物品","暗精灵","镜像反射"
"40","ダークエルフ","物品","331","ソーセージ","可偷食材","暗精灵","香肠"
"40","ダークエルフ","物品","170","涙の凝石","可偷素材","暗精灵","泪之凝石"
"40","ダークエルフ","防具","1819","ダークエルフパンツ","可偷内裤","暗精灵","暗精灵内裤"
"40","ダークエルフ","物品","1040","ダークエルフ召喚師のミルク","可偷牛奶","暗精灵","暗精灵召唤士的乳汁"
"41","フェアリー","物品","1","薬草","掉落","妖精","药草"
"41","フェアリー","物品","169","不思議などんぐり","掉落","妖精","不可思议的橡果"
"41","フェアリー","物品","63","風石","掉落","妖精","风石"
"41","フェアリー","物品","446","どんぐり","可偷物品","妖精","橡果"
"41","フェアリー","防具","1372","自然感応の書","可偷物品","妖精","自然感应之书"
"41","フェアリー","物品","304","さくらんぼ","可偷食材","妖精","樱桃"
"41","フェアリー","物品","188","妖精のどんぐり","可偷素材","妖精","妖精的橡果"
"41","フェアリー","防具","1839","ブラウニーズミニパンツ","可偷内裤","妖精","棕精灵迷你内裤"
"41","フェアリー","物品","1041","フェアリーのミルク","可偷牛奶","妖精","小仙子的乳汁"
"42","ミニカニ娘","物品","1","薬草","掉落","迷你蟹娘","药草"
"42","ミニカニ娘","物品","335","のり","掉落","迷你蟹娘","海苔"
"42","ミニカニ娘","物品","171","綺麗な珊瑚","掉落","迷你蟹娘","美丽的珊瑚"
"42","ミニカニ娘","物品","1","薬草","可偷物品","迷你蟹娘","药草"
"42","ミニカニ娘","物品","71","水石","可偷物品","迷你蟹娘","水石"
"42","ミニカニ娘","物品","335","のり","可偷食材","迷你蟹娘","海苔"
"42","ミニカニ娘","物品","171","綺麗な珊瑚","可偷素材","迷你蟹娘","美丽的珊瑚"
"42","ミニカニ娘","物品","1042","ミニカニ娘のミルク","可偷牛奶","迷你蟹娘","迷你蟹娘的乳汁"
"43","ナマズ娘","物品","7","ブーストドリンク","掉落","鲶鱼娘","能量饮料"
"43","ナマズ娘","物品","165","ネバネバ粘液","掉落","鲶鱼娘","黏糊糊粘液"
"43","ナマズ娘","物品","59","雷石","掉落","鲶鱼娘","雷石"
"43","ナマズ娘","物品","7","ブーストドリンク","可偷物品","鲶鱼娘","能量饮料"
"43","ナマズ娘","物品","59","雷石","可偷物品","鲶鱼娘","雷石"
"43","ナマズ娘","物品","328","うなぎ","可偷食材","鲶鱼娘","鳗鱼"
"43","ナマズ娘","物品","165","ネバネバ粘液","可偷素材","鲶鱼娘","黏糊糊粘液"
