"来源ID","日本名称","学习等级","学习类型","学习对象ID","日本技能/能力名称","日本所属","日本说明","HP消耗","MP消耗","SP消耗（内部TP）","所需AP（记忆容量）","技能类型ID","中文名称","中文技能/能力名称","中文所属","中文说明"
"5","聖堂騎士","9","能力","566","大防御","防御アビリティ","防御のダメージ減少率が2倍になる","","","","10","4","圣堂骑士","大防御","防御能力","防御的伤害减少率变为2倍"
"5","聖堂騎士","10","技能","1054","スパイラルファイア","槍技","威力：Ａ（力・速）　対象：敵単体3回　特殊：炎
縦横無尽に疾走し、炎を纏った槍を連続で叩き込む技","0","0","7","","10","圣堂骑士","螺旋火焰","枪技","威力：Ａ（力・速）　対象：敵単体3回　特殊：炎
纵横驰骋，连续施展缠绕火焰的枪技"
"6","ホーリーナイト","2","技能","1052","レクイエムランス","槍技","威力：Ｂ（力・速）　対象：敵全体　効果：吸血鬼・ゾンビ・ゴースト特攻
不浄を討ち払い、闇の魔物を地獄に送り返す槍技","0","0","6","","10","圣骑士","镇魂之枪","枪技","威力：Ｂ（力・速）　対象：敵全体　効果：吸血鬼・ゾンビ・ゴースト特攻
驱除不洁，将黑暗魔物送回地狱的枪技"
"6","ホーリーナイト","3","能力","546","防御力30%アップ","防御アビリティ","防御力が30%アップする","","","","7","4","圣骑士","防御力提升30%","防御能力","防御力提升30%"
"6","ホーリーナイト","4","技能","1087","聖槍チャージ","槍技","対象：味方全体　効果：攻撃力アップ
聖なる槍を掲げて鼓舞し、味方全体の攻撃力をアップさせる","0","0","4","","10","圣骑士","圣枪充能","枪技","対象：味方全体　効果：攻撃力アップ
高举神圣的枪鼓舞，提升我方全体的攻击力"
"6","ホーリーナイト","5","能力","118","淫魔特攻","戦技アビリティ","淫魔に対して特攻ダメージを与える","","","","12","1","圣骑士","淫魔特攻","战技能力","对淫魔造成特攻伤害"
"6","ホーリーナイト","6","技能","1061","サン・コンキスタ","槍技","威力：Ａ（力・速）　対象：敵ランダム3回　属性：聖
破邪の力がこもった槍を乱舞させ、三連続で敵を貫く奥義","0","8","4","","10","圣骑士","圣・征服","枪技","威力：Ａ（力・速）　対象：敵ランダム3回　属性：聖
蕴含破邪之力的枪乱舞，连续三次贯穿敌人的奥义"
"6","ホーリーナイト","7","能力","119","吸血鬼特攻","戦技アビリティ","吸血鬼に対して特攻ダメージを与える","","","","12","1","圣骑士","吸血鬼特攻","战技能力","对吸血鬼造成特攻伤害"
"6","ホーリーナイト","8","技能","1086","奇跡の聖槍","槍技","対象：味方全体　効果：HP中回復
奇跡の槍を天に掲げて祈り、味方全員のHPを回復させる","0","0","4","","10","圣骑士","奇迹的圣枪","枪技","対象：味方全体　効果：HP中回復
高举奇迹的枪向天祈祷，恢复我方全体的HP"
"6","ホーリーナイト","9","能力","567","究極防御","防御アビリティ","防御のダメージ減少率が4倍になる","","","","20","4","圣骑士","究极防御","防御能力","防御的伤害减少率变为4倍"
"6","ホーリーナイト","10","技能","1062","サン・リベリオン","槍技","威力：Ｓ（力・速）　対象：敵単体　属性：聖
破邪の力を槍に宿し、悪を滅する神聖奥義","0","12","5","","10","圣骑士","圣・叛逆","枪技","威力：Ｓ（力・速）　対象：敵単体　属性：聖
将破邪之力寄宿于枪中，消灭邪恶的神圣奥义"
"6","ホーリーナイト","10","能力","8448","槍マスタリー","特殊アビリティ","槍の装備効果が上昇する","","","","10","5","圣骑士","枪精通","特殊能力","枪的装备效果提升"
"7","魔法戦士","2","技能","1698","魔法剣ファイア","魔法剣","対象：使用者　効果：物理攻撃炎属性付加
武器に炎の魔力を宿し、炎属性の攻撃を繰り出す魔法剣","0","3","0","","28","魔法战士","魔法剑---火","魔法剑","対象：使用者　効果：物理攻撃炎属性付加
武器寄宿火焰魔力，释放炎属性攻击的魔法剑"
"7","魔法戦士","2","技能","1699","魔法剣ブリザード","魔法剣","対象：使用者　効果：物理攻撃氷属性付加
武器に氷の魔力を宿し、氷属性の攻撃を繰り出す魔法剣","0","3","0","","28","魔法战士","魔法剑---冰","魔法剑","対象：使用者　効果：物理攻撃氷属性付加
武器寄宿冰之魔力，释放冰属性攻击的魔法剑"
"7","魔法戦士","2","技能","1700","魔法剣サンダー","魔法剣","対象：使用者　効果：物理攻撃雷属性付加
武器に雷の魔力を宿し、雷属性の攻撃を繰り出す魔法剣","0","3","0","","28","魔法战士","魔法剑---雷","魔法剑","対象：使用者　効果：物理攻撃雷属性付加
武器寄宿雷之魔力，释放雷属性攻击的魔法剑"
"7","魔法戦士","3","能力","565","瀕死時魔法耐性50%","防御アビリティ","瀕死時、受ける魔法ダメージを半分にする","","","","5","4","魔法战士","濒死时魔法耐性50%","防御能力","濒死时，受到的魔法伤害减半"
"7","魔法戦士","4","技能","922","火炎斬り","剣技","威力：Ｃ（力）　対象：敵単体　属性：炎
炎の魔力を帯びた斬撃","0","4","2","","7","魔法战士","火焰斩","剑技","威力：Ｃ（力）　対象：敵単体　属性：炎
带有火焰魔力的斩击"
"7","魔法戦士","5","技能","923","氷斬り","剣技","威力：Ｃ（力）　対象：敵単体　属性：氷
氷の魔力を帯びた斬撃","0","4","2","","7","魔法战士","冰斩","剑技","威力：Ｃ（力）　対象：敵単体　属性：氷
带有冰之魔力的斩击"
"7","魔法戦士","6","技能","924","稲妻斬り","剣技","威力：Ｃ（力）　対象：敵単体　属性：雷
雷の魔力を帯びた斬撃","0","4","2","","7","魔法战士","闪电斩","剑技","威力：Ｃ（力）　対象：敵単体　属性：雷
带有雷之魔力的斩击"
"7","魔法戦士","7","技能","1706","魔法剣ポイズン","魔法剣","対象：使用者　効果：物理攻撃毒付加
武器に毒の魔力を宿し、毒の状態異常にする魔法剣","0","3","0","","28","魔法战士","魔法剑---毒","魔法剑","対象：使用者　効果：物理攻撃毒付加
武器寄宿毒之魔力，使敌人中毒的魔法剑"
"7","魔法戦士","7","技能","1707","魔法剣ブライン","魔法剣","対象：使用者　効果：物理攻撃暗闇付加
武器に暗闇の魔力を宿し、暗闇の状態異常にする魔法剣","0","3","0","","28","魔法战士","魔法剑---失明","魔法剑","対象：使用者　効果：物理攻撃暗闇付加
武器寄宿黑暗之魔力，使敌人黑暗的魔法剑"
"7","魔法戦士","7","技能","1708","魔法剣サイレンス","魔法剣","対象：使用者　効果：物理攻撃沈黙付加
武器に沈黙の魔力を宿し、沈黙の状態異常にする魔法剣","0","3","0","","28","魔法战士","魔法剑---沉默","魔法剑","対象：使用者　効果：物理攻撃沈黙付加
武器寄宿沉默之魔力，使敌人沉默的魔法剑"
"7","魔法戦士","8","技能","1716","マジックバリア","魔法剣","対象：味方全体　効果：魔法ダメージ半減
味方全体を魔法から守るバリアを展開する","0","10","0","","28","魔法战士","魔法屏障","魔法剑","対象：味方全体　効果：魔法ダメージ半減
展开守护我方全体的魔法屏障"
"7","魔法戦士","9","技能","1714","魔法剣ドレイン","魔法剣","対象：使用者　効果：物理攻撃HP吸収
武器に体力吸収の力を宿し、HPを奪う魔法剣","0","4","0","","28","魔法战士","魔法剑---吸血","魔法剑","対象：使用者　効果：物理攻撃HP吸収
武器寄宿体力吸收之力，吸取HP的魔法剑"
"7","魔法戦士","10","技能","931","真空斬り","剣技","威力：Ａ（力）　対象：敵単体　属性：風
あまりの鋭さに真空を生じさせる斬撃","0","8","4","","7","魔法战士","真空斩","剑技","威力：Ａ（力）　対象：敵単体　属性：風
因过于锐利而产生真空的斩击"
"8","マスターソーサラー","2","技能","1701","魔法剣ウィンド","魔法剣","対象：使用者　効果：物理攻撃風属性付加
武器に風の魔力を宿し、風属性の攻撃を繰り出す魔法剣","0","3","0","","28","奥法战士","魔法剑---风","魔法剑","対象：使用者　効果：物理攻撃風属性付加
武器寄宿风之魔力，释放风属性攻击的魔法剑"
"8","マスターソーサラー","2","技能","1702","魔法剣アース","魔法剣","対象：使用者　効果：物理攻撃土属性付加
武器に土の魔力を宿し、土属性の攻撃を繰り出す魔法剣","0","3","0","","28","奥法战士","魔法剑---土","魔法剑","対象：使用者　効果：物理攻撃土属性付加
武器寄宿土之魔力，释放土属性攻击的魔法剑"
"8","マスターソーサラー","2","技能","1703","魔法剣アクア","魔法剣","対象：使用者　効果：物理攻撃水属性付加
武器に水の魔力を宿し、水属性の攻撃を繰り出す魔法剣","0","3","0","","28","奥法战士","魔法剑---水","魔法剑","対象：使用者　効果：物理攻撃水属性付加
武器寄宿水之魔力，释放水属性攻击的魔法剑"
"8","マスターソーサラー","3","能力","522","「魔法剣」使用可能","魔法アビリティ","「魔法剣」が使用可能になる","","","","5","3","奥法战士","可以使用「魔法剑」","魔法能力","可以使用「魔法剑」"
"8","マスターソーサラー","3","能力","6736","マジカルソード","戦技アビリティ","「剣技」の威力が魔力にのみ依存する","","","","2","1","奥法战士","魔法剑","战技能力","「剑技」的威力仅取决于魔力"
"8","マスターソーサラー","4","技能","942","フレイムスラッシュ","剣技","威力：Ｂ（力）　対象：敵全体　属性：炎
炎の魔力を剣に宿し、敵を一閃する奥義","0","7","3","","7","奥法战士","烈焰斩","剑技","威力：Ｂ（力）　対象：敵全体　属性：炎
将炎之魔力注入剑中，一闪敌人的奥义"
"8","マスターソーサラー","5","技能","943","アイススラッシュ","剣技","威力：Ｂ（力）　対象：敵全体　属性：氷
氷の魔力を剣に宿し、敵を一閃する奥義","0","7","3","","7","奥法战士","冰霜斩","剑技","威力：Ｂ（力）　対象：敵全体　属性：氷
将冰之魔力注入剑中，一闪敌人的奥义"
"8","マスターソーサラー","6","技能","944","サンダースラッシュ","剣技","威力：Ｂ（力）　対象：敵全体　属性：雷
雷の魔力を剣に宿し、敵を一閃する奥義","0","7","3","","7","奥法战士","雷电斩","剑技","威力：Ｂ（力）　対象：敵全体　属性：雷
将雷之魔力注入剑中，一闪斩敌的奥义"
"8","マスターソーサラー","7","技能","1709","魔法剣パラライズ","魔法剣","対象：使用者　効果：物理攻撃麻痺付加
武器に麻痺の魔力を宿し、麻痺の状態異常にする魔法剣","0","4","0","","28","奥法战士","魔法剑---麻痹","魔法剑","対象：使用者　効果：物理攻撃麻痺付加
武器寄宿麻痹之魔力，使敌人麻痹的魔法剑"
"8","マスターソーサラー","7","技能","1710","魔法剣コンフューズ","魔法剣","対象：使用者　効果：物理攻撃混乱付加
武器に混乱の魔力を宿し、混乱の状態異常にする魔法剣","0","4","0","","28","奥法战士","魔法剑---混乱","魔法剑","対象：使用者　効果：物理攻撃混乱付加
武器寄宿混乱魔力，使敌人陷入混乱状态的魔法剑"
"8","マスターソーサラー","7","技能","1711","魔法剣スリープ","魔法剣","対象：使用者　効果：物理攻撃睡眠付加
武器に睡眠の魔力を宿し、睡眠の状態異常にする魔法剣","0","4","0","","28","奥法战士","魔法剑---睡眠","魔法剑","対象：使用者　効果：物理攻撃睡眠付加
武器寄宿睡眠魔力，使敌人陷入睡眠状态的魔法剑"
"8","マスターソーサラー","8","技能","1717","マジックリフレクト","魔法剣","対象：味方全体　効果：魔法反射
魔法を反射するバリアを展開する","0","15","5","","28","奥法战士","魔法反射","魔法剑","対象：味方全体　効果：魔法反射
展开反射魔法的屏障"
"8","マスターソーサラー","8","能力","7584","アタックマギ","魔法アビリティ","攻撃魔法の威力が攻撃力に依存するようになる","","","","4","3","奥法战士","攻击魔法","魔法能力","攻击魔法的威力取决于攻击力"
"8","マスターソーサラー","9","技能","1712","魔法剣デス","魔法剣","対象：使用者　効果：物理攻撃即死付加
武器に死の魔力を宿し、敵を即死させる魔法剣","0","5","0","","28","奥法战士","魔法剑---死亡","魔法剑","対象：使用者　効果：物理攻撃即死付加
武器寄宿死亡魔力，使敌人即死的魔法剑"
"8","マスターソーサラー","10","技能","959","ギガスラッシュ","剣技","威力：Ａ（力）　対象：敵全体　属性：炎・氷・雷
三属性の魔力を刃に込め、敵を一閃する破壊奥義","0","10","4","","7","奥法战士","巨型斩击","剑技","威力：Ａ（力）　対象：敵全体　属性：炎・氷・雷
将三属性的魔力注入刀刃，一闪敌人，破坏奥义"
"8","マスターソーサラー","10","能力","8444","剣マスタリー","特殊アビリティ","剣の装備効果が上昇する","","","","10","5","奥法战士","剑精通","特殊能力","剑的装备效果提升"
"9","竜騎士","2","技能","1041","ハイジャンプ","槍技","威力：Ｃ（力・速）　対象：敵単体
天高く飛び跳ね、落下の衝撃を込めた一撃を繰り出す槍技","0","0","4","","10","龙骑士","高跳","枪技","威力：Ｃ（力・速）　対象：敵単体
高高跃起，以落下的冲击力施展一记枪技"
"9","竜騎士","3","技能","1042","鳥落とし","槍技","威力：Ｄ（力・速）　対象：敵単体　効果：鳥特攻
空を駆け、飛翔する魔物を槍で叩き落とす","0","0","3","","10","龙骑士","落鸟","枪技","威力：Ｄ（力・速）　対象：敵単体　効果：鳥特攻
在空中疾驰，用枪将飞翔的魔物击落"
"9","竜騎士","4","技能","1082","竜剣","槍技","威力：Ｅ（力・速）　対象：敵単体　効果：HP吸収・SP吸収
魔力を込めた槍で敵のHPとSPを吸収する技","0","0","2","","10","龙骑士","龙剑","枪技","威力：Ｅ（力・速）　対象：敵単体　効果：HP吸収・SP吸収
用魔力注入的枪吸收敌人的HP和SP的技能"
"9","竜騎士","5","能力","128","ハーピー特攻","戦技アビリティ","ハーピーに対して特攻ダメージを与える","","","","12","1","龙骑士","对哈比特攻","战技能力","对哈比造成特攻伤害"
"9","竜騎士","6","技能","1045","火炎槍","槍技","威力：Ｃ（力・速）　対象：敵単体　属性：炎
火炎を伴った槍で頭上から敵を貫く","0","0","4","","10","龙骑士","火炎枪","枪技","威力：Ｃ（力・速）　対象：敵単体　属性：炎
用带有火焰的枪从头顶贯穿敌人"
"9","竜騎士","7","技能","1048","ハイウィンド","槍技","威力：Ｃ（力・速）　対象：敵単体　属性：風
真空を伴った槍で敵を切り裂く","0","0","4","","10","龙骑士","疾风枪","枪技","威力：Ｃ（力・速）　対象：敵単体　属性：風
用带有真空的枪切割敌人"
"9","竜騎士","8","技能","1043","インパクトスピア","槍技","威力：Ｃ（力・速）　対象：敵全体
天高く飛び跳ね、槍を振るって衝撃波を敵全体に浴びせる","0","0","5","","10","龙骑士","冲击之矛","枪技","威力：Ｃ（力・速）　対象：敵全体
高高跃起，挥舞枪向全体敌人释放冲击波"
"9","竜騎士","9","能力","169","槍ブースター","戦技アビリティ","槍装備時、その武器によるダメージが15%アップする","","","","10","1","龙骑士","枪增强","战技能力","装备枪时，该武器造成的伤害提升15%"
"9","竜騎士","10","技能","1044","飛竜の舞い","槍技","威力：Ｂ（力・速）　対象：敵ランダム3回
何度も連続で飛び跳ね、落下の刺突を3連続で繰り出す","0","0","5","","10","龙骑士","飞龙之舞","枪技","威力：Ｂ（力・速）　対象：敵ランダム3回
多次连续跳跃，连续施展三次落下的刺击"
"10","ホーリーランサー","2","技能","1069","イリュージョンランス","槍技","威力：Ｓ（力・速）　対象：敵単体　属性：聖
槍先を乱舞させ、闇を打ち払う神聖奥義","0","12","5","","10","圣枪骑士","幻象之枪","枪技","威力：Ｓ（力・速）　対象：敵単体　属性：聖
枪尖乱舞，驱散黑暗的神圣奥义"
"10","ホーリーランサー","3","技能","1047","雷迅槍","槍技","威力：Ｃ（力・速）　対象：敵単体　属性：雷
雷を伴った槍で頭上から敵を貫く","0","0","4","","10","圣枪骑士","雷迅枪","枪技","威力：Ｃ（力・速）　対象：敵単体　属性：雷
用带有雷的枪从头顶贯穿敌人"
"10","ホーリーランサー","4","技能","1050","アクアランス","槍技","威力：Ｃ（力・速）　対象：敵単体　属性：水
水の力を込めた槍で素早く敵を穿つ","0","0","4","","10","圣枪骑士","碧水枪","枪技","威力：Ｃ（力・速）　対象：敵単体　属性：水
用蕴含水之力的枪迅速贯穿敌人"
"10","ホーリーランサー","5","能力","215","「槍」装備可能","戦技アビリティ","「槍」「重槍」が装備可能になる","","","","5","1","圣枪骑士","可以装备「枪」","战技能力","变得可以装备「枪」「重枪」"
"10","ホーリーランサー","5","能力","6743","空の槍","戦技アビリティ","「槍技」の威力が素早さにのみ依存する","","","","2","1","圣枪骑士","空之枪","战技能力","「枪技」的威力仅取决于敏捷"
"10","ホーリーランサー","6","技能","1071","ホーリーランディング","槍技","威力：Ａ（力・速）　対象：敵全体　属性：聖
天高く飛翔し、地上に向かって聖なる槍を降らせる奥義","0","10","4","","10","圣枪骑士","神圣降临","枪技","威力：Ａ（力・速）　対象：敵全体　属性：聖
高高飞翔，向地面降下神圣之枪的奥义"
