"产物ID","产物名称","产物种类","配方ID","合成方案","中文合成方案","中文产物名称"
"28","テンプゴーシュ","武器","353","金币：1070；材料：武器 ID 13「マインゴーシュ・エア」×1；物品 ID 232「艶めかしい花びら」×1","金币：1070；材料：武器 ID 13「格挡匕首・风」×1；物品 ID 232「艳丽的花瓣」×1","诱惑格挡匕首"
"30","アサシンレイジ","武器","415","金币：1450；材料：武器 ID 23「アサシンダガー」×1；物品 ID 235「混沌の塊」×1","金币：1450；材料：武器 ID 23「刺客匕首」×1；物品 ID 235「混沌的块」×1","刺客狂怒"
"34","ホーリーテンプ","武器","459","金币：6200；材料：武器 ID 28「テンプゴーシュ」×1；物品 ID 249「奇跡の卵」×1","金币：6200；材料：武器 ID 28「诱惑格挡匕首」×1；物品 ID 249「奇迹的蛋」×1","神圣诱惑"
"35","ダークアサシン","武器","458","金币：6200；材料：武器 ID 30「アサシンレイジ」×1；物品 ID 243「禍々しい結晶」×1","金币：6200；材料：武器 ID 30「刺客狂怒」×1；物品 ID 243「不祥的结晶」×1","暗影刺客"
"36","慈悲のナイフ","武器","525","金币：7300；材料：武器 ID 22「ケミカルマイン」×1；物品 ID 256「恩寵の羽根」×1","金币：7300；材料：武器 ID 22「化学格挡匕首」×1；物品 ID 256「恩宠的羽毛」×1","慈悲之小刀"
"37","スネークウィンド","武器","526","金币：7300；材料：武器 ID 20「ウィンドナイフ」×1；物品 ID 254「強靱なる蛇尾」×1","金币：7300；材料：武器 ID 20「风之小刀」×1；物品 ID 254「坚韧的蛇尾」×1","蛇风"
"39","ドルムカーリー","武器","594","金币：8800；材料：武器 ID 29「カーリーダガー」×1；物品 ID 263「神物の破片」×1","金币：8800；材料：武器 ID 29「卷曲匕首」×1；物品 ID 263「神物碎片」×1","多尔姆卡里"
"40","ドラゴンウィンド","武器","595","金币：8800；材料：武器 ID 37「スネークウィンド」×1；物品 ID 267「極竜の牙」×1","金币：8800；材料：武器 ID 37「蛇风」×1；物品 ID 267「极龙之牙」×1","龙卷风"
"41","電磁ブレード","武器","671","金币：9200；材料：武器 ID 27「プリズムナイフ・アクア」×1；物品 ID 265「ナノ歯車」×1","金币：9200；材料：武器 ID 27「棱镜小刀・水」×1；物品 ID 265「纳米齿轮」×1","电磁刀"
"43","神々の誘惑","武器","686","金币：11000；材料：武器 ID 34「ホーリーテンプ」×1；物品 ID 256「恩寵の羽根」×1","金币：11000；材料：武器 ID 34「神圣诱惑」×1；物品 ID 256「恩宠的羽毛」×1","神明的诱惑"
"44","アサシンロード","武器","685","金币：11000；材料：武器 ID 35「ダークアサシン」×1；物品 ID 269「終蟲の甲殻」×1","金币：11000；材料：武器 ID 35「暗影刺客」×1；物品 ID 269「终虫甲壳」×1","刺客主宰"
"48","ひのきのぼう改","武器","4","金币：12；材料：武器 ID 46「ひのきのぼう」×1；物品 ID 161「ヌルヌル粘液」×1","金币：12；材料：武器 ID 46「桧木棒」×1；物品 ID 161「黏滑粘液」×1","桧木棒改"
"50","ひのきのぼう改＋","武器","12","金币：19；材料：武器 ID 48「ひのきのぼう改」×1；物品 ID 165「ネバネバ粘液」×1","金币：19；材料：武器 ID 48「桧木棒改」×1；物品 ID 165「黏糊糊粘液」×1","桧木棒改＋"
"52","アイアンソード改","武器","18","金币：35；材料：武器 ID 51「アイアンソード」×1；物品 ID 167「硬い針」×1","金币：35；材料：武器 ID 51「铁剑」×1；物品 ID 167「硬针」×1","铁剑改"
"53","カスタムソード改","武器","19","金币：38；材料：武器 ID 47「カスタムソード」×1；物品 ID 167「硬い針」×1","金币：38；材料：武器 ID 47「定制剑」×1；物品 ID 167「硬针」×1","定制剑改"
"55","闇ひのきのぼう改＋","武器","64","金币：80；材料：武器 ID 50「ひのきのぼう改＋」×1；物品 ID 79「闇石」×1","金币：80；材料：武器 ID 50「桧木棒改＋」×1；物品 ID 79「暗石」×1","暗之桧木棒改＋"
"56","アイアンソード改＋","武器","37","金币：75；材料：武器 ID 52「アイアンソード改」×1；物品 ID 172「混沌の欠片」×1","金币：75；材料：武器 ID 52「铁剑改」×1；物品 ID 172「混沌的碎片」×1","铁剑改＋"
"57","エレメントカスタム","武器","38","金币：85；材料：武器 ID 53「カスタムソード改」×1；物品 ID 51「炎石」×1；物品 ID 55「氷石」×1；物品 ID 59「雷石」×1","金币：85；材料：武器 ID 53「定制剑改」×1；物品 ID 51「炎石」×1；物品 ID 55「冰石」×1；物品 ID 59「雷石」×1","元素定制剑"
"60","淫らな誘惑の剣","武器","88","金币：160；材料：武器 ID 59「誘惑の剣」×1；物品 ID 181「淫魔の尻尾」×1","金币：160；材料：武器 ID 59「诱惑之剑」×1；物品 ID 181「淫魔的尾巴」×1","淫荡的诱惑之剑"
"62","ホーリーカスタム","武器","112","金币：240；材料：武器 ID 57「エレメントカスタム」×1；物品 ID 75「聖石」×1","金币：240；材料：武器 ID 57「元素定制剑」×1；物品 ID 75「圣石」×1","神圣定制剑"
"63","ミスリルソード・エア","武器","146","金币：250；材料：武器 ID 61「ミスリルソード」×1；物品 ID 64「緑風石」×1","金币：250；材料：武器 ID 61「秘银剑」×1；物品 ID 64「绿风石」×1","秘银剑・风"
"64","ホーリーカスタム改","武器","179","金币：500；材料：武器 ID 62「ホーリーカスタム」×1；物品 ID 198「混沌の結晶」×1","金币：500；材料：武器 ID 62「神圣定制剑」×1；物品 ID 198「混沌的结晶」×1","神圣定制剑改"
"66","ルーンブレード・アース","武器","207","金币：730；材料：武器 ID 65「ルーンブレード」×1；物品 ID 68「橙土石」×1","金币：730；材料：武器 ID 65「符文之刃」×1；物品 ID 68「橙土石」×1","符文之刃・土"
"67","ルーンブレード・アクア","武器","226","金币：420；材料：武器 ID 65「ルーンブレード」×1；物品 ID 72「青水石」×1","金币：420；材料：武器 ID 65「符文之刃」×1；物品 ID 72「青水石」×1","符文之刃・水"
"68","マジカルブレード","武器","246","金币：550；材料：武器 ID 65「ルーンブレード」×1；物品 ID 207「マジカル鱗粉」×1","金币：550；材料：武器 ID 65「符文之刃」×1；物品 ID 207「魔法鳞粉」×1","魔法之刃"
"70","ジャスティスカスタム","武器","288","金币：900；材料：武器 ID 64「ホーリーカスタム改」×1；物品 ID 76「白聖石」×1","金币：900；材料：武器 ID 64「神圣定制剑改」×1；物品 ID 76「白圣石」×1","正义定制剑"
"71","ドラゴンエンハンス","武器","334","金币：920；材料：武器 ID 69「エンハンスソード」×1；物品 ID 223「竜の牙」×1","金币：920；材料：武器 ID 69「强化剑」×1；物品 ID 223「龙的牙齿」×1","龙强化剑"
"72","フラクタルカスタム","武器","310","金币：1150；材料：武器 ID 70「ジャスティスカスタム」×1；物品 ID 80「黒闇石」×1","金币：1150；材料：武器 ID 70「正义定制剑」×1；物品 ID 80「黑暗石」×1","分形定制剑"
"75","フラクタルナイトカスタム","武器","354","金币：1650；材料：武器 ID 72「フラクタルカスタム」×1；物品 ID 224「夜の黒片」×1","金币：1650；材料：武器 ID 72「分形定制剑」×1；物品 ID 224「夜的黑片」×1","分形骑士定制剑"
"76","プリズムソード・エア","武器","393","金币：1700；材料：武器 ID 74「プリズムソード」×1；物品 ID 65「疾風緑風石」×1","金币：1700；材料：武器 ID 74「棱镜剑」×1；物品 ID 65「疾风绿风石」×1","棱镜剑・风"
"77","プリズムクラッド","武器","416","金币：1800；材料：武器 ID 74「プリズムソード」×1；物品 ID 53「赤熱紅炎石」×1","金币：1800；材料：武器 ID 74「棱镜剑」×1；物品 ID 53「赤热红炎石」×1","棱镜覆层"
"78","ハイロウナイトカスタム","武器","435","金币：2100；材料：武器 ID 75「フラクタルナイトカスタム」×1；物品 ID 241「天使の羽根」×1","金币：2100；材料：武器 ID 75「分形骑士定制剑」×1；物品 ID 241「天使的羽毛」×1","光环骑士定制剑"
"79","エンジェルエンハンス","武器","460","金币：7200；材料：武器 ID 71「ドラゴンエンハンス」×1；物品 ID 252「奇跡の羽根」×1","金币：7200；材料：武器 ID 71「龙强化剑」×1；物品 ID 252「奇迹的羽毛」×1","天使强化剑"
"80","誘惑の魔剣","武器","518","金币：8000；材料：武器 ID 60「淫らな誘惑の剣」×1；物品 ID 251「妖艶なる尻尾」×1","金币：8000；材料：武器 ID 60「淫荡的诱惑之剑」×1；物品 ID 251「妖艳的尾巴」×1","诱惑之魔剑"
"83","聖剣ハィロウナイト","武器","527","金币：9100；材料：武器 ID 78「ハイロウナイトカスタム」×1；物品 ID 256「恩寵の羽根」×1","金币：9100；材料：武器 ID 78「光环骑士定制剑」×1；物品 ID 256「恩宠的羽毛」×1","圣剑光环骑士"
"84","立ち向かう者の剣","武器","576","金币：9400；材料：武器 ID 81「抗う者の剣」×1；物品 ID 260「超力の結晶」×1","金币：9400；材料：武器 ID 81「反抗者之剑」×1；物品 ID 260「超力结晶」×1","对抗者之剑"
"85","グラディエーター・オズマ","武器","596","金币：10000；材料：武器 ID 82「グラディエーター」×1；物品 ID 264「オズマ細胞」×1","金币：10000；材料：武器 ID 82「剑斗士」×1；物品 ID 264「奥兹玛细胞」×1","剑斗士・奥兹玛"
"88","ゴールドソード改","武器","65","金币：110；材料：武器 ID 87「ゴールドソード」×1；物品 ID 173「丈夫な蹄」×1","金币：110；材料：武器 ID 87「黄金剑」×1；物品 ID 173「坚固的蹄」×1","黄金剑改"
"90","グレードソード改","武器","113","金币：250；材料：武器 ID 89「グレードソード」×1；物品 ID 182「魔獣の爪」×1","金币：250；材料：武器 ID 89「大剑」×1；物品 ID 182「魔兽之爪」×1","大剑改"
"92","オックスディフェンダー","武器","147","金币：480；材料：武器 ID 91「ディフェンダー」×1；物品 ID 189「猛牛の角」×1","金币：480；材料：武器 ID 91「防御者」×1；物品 ID 189「猛牛之角」×1","猛牛防御者"
"96","ドラゴンキラー改","武器","180","金币：700；材料：武器 ID 94「ドラゴンキラー」×1；物品 ID 197「竜の鱗」×1","金币：700；材料：武器 ID 94「屠龙者」×1；物品 ID 197「龙鳞」×1","屠龙者改"
"100","紫電稲妻の剣","武器","247","金币：550；材料：武器 ID 97「稲妻の剣」×1；物品 ID 60「黄雷石」×1","金币：550；材料：武器 ID 97「闪电之剑」×1；物品 ID 60「黄雷石」×1","紫电雷鸣之剑"
"101","吹雪の剣・霙","武器","271","金币：580；材料：武器 ID 98「吹雪の剣」×1；物品 ID 56「蒼氷石」×1","金币：580；材料：武器 ID 98「暴雪之剑」×1；物品 ID 56「苍冰石」×1","吹雪之剑・霙"
"105","アロンダイト・アーク","武器","311","金币：920；材料：武器 ID 103「アロンダイト」×1；物品 ID 80「黒闇石」×1","金币：920；材料：武器 ID 103「阿隆戴特」×1；物品 ID 80「黑暗石」×1","阿隆戴特・暗"
"108","ペルセウスの輝剣","武器","355","金币：1500；材料：武器 ID 105「アロンダイト・アーク」×1；武器 ID 107「ペルセウスの剣」×1；物品 ID 227「輝く羽根」×1","金币：1500；材料：武器 ID 105「阿隆戴特・暗」×1；武器 ID 107「珀尔修斯之剑」×1；物品 ID 227「闪耀的羽毛」×1","珀尔修斯的辉剑"
"109","オリハルコンロード","武器","417","金币：1650；材料：武器 ID 106「オリハルコンの剣」×1；物品 ID 237「真竜の牙」×1","金币：1650；材料：武器 ID 106「奥利哈钢制剑」×1；物品 ID 237「真龙的牙齿」×1","奥利哈钢主宰"
"110","フロストロード","武器","436","金币：2000；材料：武器 ID 109「オリハルコンロード」×1；物品 ID 57「凍結蒼氷石」×1","金币：2000；材料：武器 ID 109「奥利哈钢主宰」×1；物品 ID 57「冻结苍冰石」×1","霜冻主宰"
"113","ドラグネスディフェンダー","武器","461","金币：8000；材料：武器 ID 92「オックスディフェンダー」×1；物品 ID 247「覇竜の牙」×1","金币：8000；材料：武器 ID 92「猛牛防御者」×1；物品 ID 247「霸龙的牙齿」×1","龙之力防御者"
"114","ドラゴンロード","武器","514","金币：9000；材料：武器 ID 96「ドラゴンキラー改」×1；武器 ID 110「フロストロード」×1；物品 ID 247「覇竜の牙」×1","金币：9000；材料：武器 ID 96「屠龙者改」×1；武器 ID 110「霜冻主宰」×1；物品 ID 247「霸龙的牙齿」×1","龙之主宰"
"117","奇跡の騎士剣","武器","528","金币：10500；材料：武器 ID 73「奇跡の剣」×1；物品 ID 256「恩寵の羽根」×1","金币：10500；材料：武器 ID 73「奇迹之剑」×1；物品 ID 256「恩宠的羽毛」×1","奇迹骑士剑"
"119","隼の騎士剣","武器","529","金币：10500；材料：武器 ID 54「隼の剣」×1；物品 ID 260「超力の結晶」×1","金币：10500；材料：武器 ID 54「隼之剑」×1；物品 ID 260「超力结晶」×1","隼骑士剑"
"120","吹雪稲妻剣","武器","577","金币：11500；材料：武器 ID 100「紫電稲妻の剣」×1；武器 ID 101「吹雪の剣・霙」×1；物品 ID 260「超力の結晶」×1","金币：11500；材料：武器 ID 100「紫电雷鸣之剑」×1；武器 ID 101「吹雪之剑・霙」×1；物品 ID 260「超力结晶」×1","暴风雪闪电剑"
"121","ペルセウスの輝聖剣","武器","599","金币：12000；材料：武器 ID 108「ペルセウスの輝剣」×1；物品 ID 271「天空の羽根」×1","金币：12000；材料：武器 ID 108「珀尔修斯的辉剑」×1；物品 ID 271「天空之羽」×1","珀尔修斯的光辉圣剑"
"122","アロンダイト・オズマ","武器","598","金币：12000；材料：武器 ID 105「アロンダイト・アーク」×1；物品 ID 264「オズマ細胞」×1","金币：12000；材料：武器 ID 105「阿隆戴特・暗」×1；物品 ID 264「奥兹玛细胞」×1","阿隆戴特・奥兹玛"
"123","神翼・隼の剣","武器","690","金币：14000；材料：武器 ID 119「隼の騎士剣」×1；物品 ID 256「恩寵の羽根」×1","金币：14000；材料：武器 ID 119「隼骑士剑」×1；物品 ID 256「恩宠的羽毛」×1","神翼・隼之剑"
"126","クレイモア・アース","武器","208","金币：1100；材料：武器 ID 125「クレイモア」×1；物品 ID 68「橙土石」×1","金币：1100；材料：武器 ID 125「双刃大剑」×1；物品 ID 68「橙土石」×1","双刃大剑・土"
"127","クレイモア・アクア","武器","227","金币：800；材料：武器 ID 125「クレイモア」×1；物品 ID 72「青水石」×1","金币：800；材料：武器 ID 125「双刃大剑」×1；物品 ID 72「青水石」×1","双刃大剑・水"
"129","斬馬刀・雷電","武器","272","金币：1350；材料：武器 ID 128「斬馬刀」×1；物品 ID 60「黄雷石」×1","金币：1350；材料：武器 ID 128「斩马刀」×1；物品 ID 60「黄雷石」×1","斩马刀・雷电"
"131","ドラゴンバスタード","武器","335","金币：1700；材料：武器 ID 130「バスタードソード」×1；物品 ID 223「竜の牙」×1","金币：1700；材料：武器 ID 130「混种剑」×1；物品 ID 223「龙的牙齿」×1","龙混种剑"
"132","マキナバスタード","武器","356","金币：1900；材料：武器 ID 131「ドラゴンバスタード」×1；物品 ID 233「傀儡歯車」×1","金币：1900；材料：武器 ID 131「龙混种剑」×1；物品 ID 233「傀儡齿轮」×1","器械混种剑"
"133","バスタードマグナ","武器","394","金币：2100；材料：武器 ID 132「マキナバスタード」×1；物品 ID 69「土流橙土石」×1","金币：2100；材料：武器 ID 132「器械混种剑」×1；物品 ID 69「土流橙土石」×1","玛格纳混种剑"
"135","斬鉄剣・魔星","武器","462","金币：9300；材料：武器 ID 134「斬鉄剣」×1；物品 ID 243「禍々しい結晶」×1","金币：9300；材料：武器 ID 134「斩铁剑」×1；物品 ID 243「不祥的结晶」×1","斩铁剑・魔星"
"137","タイタスロード","武器","600","金币：14000；材料：武器 ID 136「巨人剣タイタス」×1；物品 ID 263「神物の破片」×1","金币：14000；材料：武器 ID 136「巨人剑泰坦」×1；物品 ID 263「神物碎片」×1","泰坦主宰"
"138","タイタスドラグネス","武器","601","金币：14000；材料：武器 ID 136「巨人剣タイタス」×1；物品 ID 267「極竜の牙」×1","金币：14000；材料：武器 ID 136「巨人剑泰坦」×1；物品 ID 267「极龙之牙」×1","泰坦龙剑"
"139","バスタードエンデ","武器","691","金币：16000；材料：武器 ID 133「バスタードマグナ」×1；物品 ID 269「終蟲の甲殻」×1","金币：16000；材料：武器 ID 133「玛格纳混种剑」×1；物品 ID 269「终虫甲壳」×1","最终混种剑"
"141","終式ゴッドスレイヤー","武器","771","金币：23000；材料：武器 ID 140「ゴッドスレイヤー」×1；物品 ID 272「黒のアリス細胞」×1","金币：23000；材料：武器 ID 140「神杀剑」×1；物品 ID 272「黑之爱丽丝细胞」×1","终式神杀剑"
"144","レイピア改","武器","5","金币：15；材料：武器 ID 143「レイピア」×1；物品 ID 163「魔葉」×1","金币：15；材料：武器 ID 143「细剑」×1；物品 ID 163「魔叶」×1","细剑改"
"146","アイアンレイピア改","武器","20","金币：35；材料：武器 ID 145「アイアンレイピア」×1；物品 ID 167「硬い針」×1","金币：35；材料：武器 ID 145「铁制细剑」×1；物品 ID 167「硬针」×1","铁制细剑改"
"148","アースレイピア","武器","66","金币：92；材料：武器 ID 147「ゴールドレイピア」×1；物品 ID 67「土石」×1","金币：92；材料：武器 ID 147「黄金细剑」×1；物品 ID 67「土石」×1","大地细剑"
"149","ラミアンレイピア","武器","89","金币：120；材料：武器 ID 148「アースレイピア」×1；物品 ID 178「ラミアの尾」×1","金币：120；材料：武器 ID 148「大地细剑」×1；物品 ID 178「拉米亚的尾巴」×1","拉米亚细剑"
"150","神秘のレイピア","武器","114","金币：150；材料：武器 ID 147「ゴールドレイピア」×1；物品 ID 75「聖石」×1","金币：150；材料：武器 ID 147「黄金细剑」×1；物品 ID 75「圣石」×1","神秘细剑"
"152","デスレイピア","武器","148","金币：310；材料：武器 ID 151「ミスリルレイピア」×1；物品 ID 186「ゾンビパウダー」×1","金币：310；材料：武器 ID 151「秘银制细剑」×1；物品 ID 186「僵尸粉」×1","死亡细剑"
"153","ラミアンレイピアX","武器","181","金币：400；材料：武器 ID 149「ラミアンレイピア」×1；物品 ID 193「魅惑の蛇尾」×1","金币：400；材料：武器 ID 149「拉米亚细剑」×1；物品 ID 193「魅惑的蛇尾」×1","拉米亚细剑X"
"155","フローラルレイピア","武器","248","金币：290；材料：武器 ID 154「クリスタルレイピア」×1；物品 ID 205「アルラウネの花」×1","金币：290；材料：武器 ID 154「水晶制细剑」×1；物品 ID 205「阿娜温的花」×1","花之细剑"
"158","ケミカルレイピア","武器","289","金币：480；材料：武器 ID 152「デスレイピア」×1；物品 ID 217「猛毒の針」×1","金币：480；材料：武器 ID 152「死亡细剑」×1；物品 ID 217「猛毒的针」×1","化学细剑"
"159","メデューサレイピア","武器","312","金币：550；材料：武器 ID 153「ラミアンレイピアX」×1；物品 ID 220「メデューサの蛇」×1","金币：550；材料：武器 ID 153「拉米亚细剑X」×1；物品 ID 220「美杜莎的蛇」×1","美杜莎细剑"
"162","プラズマレイピア","武器","357","金币：1560；材料：武器 ID 161「プリズムレイピア」×1；物品 ID 61「電光黄雷石」×1","金币：1560；材料：武器 ID 161「棱镜细剑」×1；物品 ID 61「电光黄雷石」×1","等离子细剑"
"163","プリズムレイピア・エア","武器","395","金币：1650；材料：武器 ID 161「プリズムレイピア」×1；物品 ID 65「疾風緑風石」×1","金币：1650；材料：武器 ID 161「棱镜细剑」×1；物品 ID 65「疾风绿风石」×1","棱镜细剑・风"
"164","ドラゴンハンター","武器","418","金币：1700；材料：武器 ID 158「ケミカルレイピア」×1；物品 ID 237「真竜の牙」×1","金币：1700；材料：武器 ID 158「化学细剑」×1；物品 ID 237「真龙的牙齿」×1","猎龙者"
"165","フロストレイピア","武器","437","金币：2200；材料：武器 ID 161「プリズムレイピア」×1；物品 ID 57「凍結蒼氷石」×1","金币：2200；材料：武器 ID 161「棱镜细剑」×1；物品 ID 57「冻结苍冰石」×1","霜冻细剑"
"167","聖竜のレイピア","武器","463","金币：7700；材料：武器 ID 164「ドラゴンハンター」×1；物品 ID 247「覇竜の牙」×1","金币：7700；材料：武器 ID 164「猎龙者」×1；物品 ID 247「霸龙的牙齿」×1","圣龙细剑"
"168","闇の千蛇","武器","464","金币：7700；材料：武器 ID 159「メデューサレイピア」×1；物品 ID 245「覇蛇の蛇尾」×1","金币：7700；材料：武器 ID 159「美杜莎细剑」×1；物品 ID 245「霸蛇的蛇尾」×1","暗之千蛇"
"170","千蔦万華","武器","530","金币：9800；材料：武器 ID 155「フローラルレイピア」×1；物品 ID 255「昂ぶる触手」×1","金币：9800；材料：武器 ID 155「花之细剑」×1；物品 ID 255「昂扬的触手」×1","千茑万华"
"171","サンフラワー","武器","531","金币：9800；材料：武器 ID 155「フローラルレイピア」×1；物品 ID 257「偉大なる花びら」×1","金币：9800；材料：武器 ID 155「花之细剑」×1；物品 ID 257「伟大的花瓣」×1","向日葵"
"174","千鳥","武器","602","金币：12000；材料：武器 ID 169「ライトニング」×1；物品 ID 256「恩寵の羽根」×1","金币：12000；材料：武器 ID 169「闪电」×1；物品 ID 256「恩宠的羽毛」×1","千鸟"
"175","レッドサン","武器","603","金币：12000；材料：武器 ID 171「サンフラワー」×1；物品 ID 267「極竜の牙」×1","金币：12000；材料：武器 ID 171「向日葵」×1；物品 ID 267「极龙之牙」×1","红太阳"
"178","トリニティソード","武器","396","金币：990；材料：武器 ID 177「魔導の剣」×1；物品 ID 65「疾風緑風石」×1；物品 ID 69「土流橙土石」×1；物品 ID 73「激流青水石」×1","金币：990；材料：武器 ID 177「魔导之剑」×1；物品 ID 65「疾风绿风石」×1；物品 ID 69「土流橙土石」×1；物品 ID 73「激流青水石」×1","三位一体之剑"
"186","エルフォース","武器","515","金币：9900；材料：武器 ID 181「フォースソード」×1；物品 ID 248「えるえるゼリー」×1","金币：9900；材料：武器 ID 181「力量之剑」×1；物品 ID 248「咕噜咕噜果冻」×1","精灵之力"
"187","聖白の剣","武器","605","金币：12600；材料：武器 ID 180「白の剣」×1；物品 ID 271「天空の羽根」×1","金币：12600；材料：武器 ID 180「白之剑」×1；物品 ID 271「天空之羽」×1","圣白之剑"
"188","暗黒の剣","武器","604","金币：12600；材料：武器 ID 179「黒の剣」×1；物品 ID 261「神蟲の鱗粉」×1","金币：12600；材料：武器 ID 179「黑之剑」×1；物品 ID 261「神虫鳞粉」×1","暗黑之剑"
"191","スピア改","武器","13","金币：18；材料：武器 ID 190「スピア」×1；物品 ID 164「野獣の爪」×1","金币：18；材料：武器 ID 190「矛」×1；物品 ID 164「野兽之爪」×1","矛改"
"194","ダークトライデント","武器","67","金币：140；材料：武器 ID 193「トライデント」×1；物品 ID 79「闇石」×1","金币：140；材料：武器 ID 193「三叉戟」×1；物品 ID 79「暗石」×1","暗黑三叉戟"
"195","ホーリートライデント","武器","115","金币：200；材料：武器 ID 193「トライデント」×1；物品 ID 75「聖石」×1","金币：200；材料：武器 ID 193「三叉戟」×1；物品 ID 75「圣石」×1","神圣三叉戟"
"197","ミスリルスピア改","武器","149","金币：280；材料：武器 ID 196「ミスリルスピア」×1；物品 ID 189「猛牛の角」×1","金币：280；材料：武器 ID 196「秘银矛」×1；物品 ID 189「猛牛之角」×1","秘银矛改"
"198","ミスリルスピア・アース","武器","209","金币：330；材料：武器 ID 197「ミスリルスピア改」×1；物品 ID 68「橙土石」×1","金币：330；材料：武器 ID 197「秘银矛改」×1；物品 ID 68「橙土石」×1","秘银矛・土"
"199","ミスリルスピア・アクア","武器","228","金币：250；材料：武器 ID 197「ミスリルスピア改」×1；物品 ID 72「青水石」×1","金币：250；材料：武器 ID 197「秘银矛改」×1；物品 ID 72「青水石」×1","秘银矛・水"
"201","風神雷神の槍","武器","273","金币：650；材料：武器 ID 200「ウィンドスピア」×1；物品 ID 60「黄雷石」×1","金币：650；材料：武器 ID 200「风矛」×1；物品 ID 60「黄雷石」×1","风神雷神之枪"
"203","ホーリードラグーン","武器","336","金币：1550；材料：武器 ID 202「ホーリースピア」×1；物品 ID 52「紅炎石」×1","金币：1550；材料：武器 ID 202「神圣之矛」×1；物品 ID 52「红炎石」×1","圣龙枪"
"204","ドラグーンアース","武器","397","金币：2200；材料：武器 ID 203「ホーリードラグーン」×1；物品 ID 69「土流橙土石」×1","金币：2200；材料：武器 ID 203「圣龙枪」×1；物品 ID 69「土流橙土石」×1","龙枪・大地"
"205","獣の槍","武器","419","金币：2500；材料：武器 ID 201「風神雷神の槍」×1；物品 ID 236「妖力の結晶」×1","金币：2500；材料：武器 ID 201「风神雷神之枪」×1；物品 ID 236「妖力的结晶」×1","兽枪"
"210","ヘヴィランス改","武器","90","金币：150；材料：武器 ID 209「ヘヴィランス」×1；物品 ID 173「丈夫な蹄」×1","金币：150；材料：武器 ID 209「沉重长枪」×1；物品 ID 173「坚固的蹄」×1","沉重长枪改"
"212","パルチザン改","武器","116","金币：250；材料：武器 ID 211「パルチザン」×1；物品 ID 182「魔獣の爪」×1","金币：250；材料：武器 ID 211「阔头枪」×1；物品 ID 182「魔兽之爪」×1","阔头枪改"
"214","デーモンランス改","武器","150","金币：350；材料：武器 ID 213「デーモンランス」×1；物品 ID 185「幽霊の髪」×1","金币：350；材料：武器 ID 213「恶魔长枪」×1；物品 ID 185「幽灵的头发」×1","恶魔长枪改"
"216","方天画戟改","武器","182","金币：550；材料：武器 ID 215「方天画戟」×1；物品 ID 194「鋭い牙」×1","金币：550；材料：武器 ID 215「方天画戟」×1；物品 ID 194「尖牙」×1","方天画戟改"
