"角色ID","日本角色名称","Faces路径","Faces索引","角色立绘路径","角色立绘索引","角色Cut-inPictures路径","中文角色名称"
"57","ルミ","Graphics/Faces/inp_fc3","0","Graphics/Characters/silk3","3","Graphics/Pictures/ct_inp2","露米"
"58","レミ","Graphics/Faces/inp_fc2","0","Graphics/Characters/silk3","2","Graphics/Pictures/ct_inp3","蕾米"
"59","ラゴラ","Graphics/Faces/mdg_fc1","0","Graphics/Characters/Plant01_cip","0","Graphics/Pictures/ct_mdg1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","拉戈拉"
"60","ポチ","Graphics/Faces/dog_fc1","0","Graphics/Characters/silk14","0","Graphics/Pictures/80_dog_st01","波奇"
"61","ミミー","Graphics/Faces/mimizu_fc1","0","Graphics/Characters/Insect01_cip","1","Graphics/Pictures/ct_mimizu1","米米"
"62","ゴブ","Graphics/Faces/gob_fc1","0","Graphics/Characters/DemiHuman01_cip","0","Graphics/Pictures/80_gob_st01","葛布"
"63","ゴブ","Graphics/Faces/gob_fc3","0","Graphics/Characters/DemiHuman01_cip","6","Graphics/Pictures/80_gob_st31","葛布"
"64","プチ","Graphics/Faces/pramia_fc1","0","Graphics/Characters/Lamia01_cip","0","Graphics/Pictures/80_pramia_st11；Graphics/Pictures/80_pramia_st01","普蒂"
"65","プチ","Graphics/Faces/pramia_fc3","0","Graphics/Characters/Lamia03_cip","1","Graphics/Pictures/80_pramia_st11；Graphics/Pictures/80_pramia_st21","普蒂"
"66","ヴァニラ","Graphics/Faces/vgirl_fc1","0","Graphics/Characters/Evil01_cip","0","Graphics/Pictures/80_vgirl_st01","瓦尼拉"
"67","ヴァニラ","Graphics/Faces/vgirl_fc3","0","Graphics/Characters/Evil02_cip","6","Graphics/Pictures/80_vgirl_st31","瓦尼拉"
"68","パピ","Graphics/Faces/dragonp_fc1","0","Graphics/Characters/Lizerd01_cip","0","Graphics/Pictures/80_dragonp_st01","帕皮"
"69","パピ","Graphics/Faces/dragonp_fc3","0","Graphics/Characters/Lizerd01_cip","2","Graphics/Pictures/80_dragonp_st31","帕皮"
"70","ラティ","Graphics/Faces/nezumi_fc1","0","Graphics/Characters/silk15","1","Graphics/Pictures/80_nezumi_st01","拉蒂"
"71","アマラ","Graphics/Faces/okami_fc1","0","Graphics/Characters/silk15","2","Graphics/Pictures/ct_okami1","阿玛拉"
"72","ミニ","Graphics/Faces/phoenix_fc1","1","Graphics/Characters/Bird01_cip","3","Graphics/Pictures/80_phoenix_st02","米妮"
"73","ヒル","Graphics/Faces/hiru_fc1","0","Graphics/Characters/Insect01_cip","3","Graphics/Pictures/ct_hirum1","希尔"
"74","バーニー","Graphics/Faces/usagi_fc1","0","Graphics/Characters/silk15","3","Graphics/Pictures/ct_usagi1","巴妮"
"75","メリー","Graphics/Faces/hituzi_fc1","3","Graphics/Characters/silk15","0","Graphics/Pictures/80_hituzi_st04","梅丽"
"76","シュリー","Graphics/Faces/syuree_fc1","0","Graphics/Characters/silk17","3","Graphics/Pictures/ct_syuree1","修莉"
"77","ジェイド","Graphics/Faces/jeid_fc1","0","Graphics/Characters/silk16","0","Graphics/Pictures/ct_jeid1","杰伊德"
"78","シェスタ","Graphics/Faces/syesta_fc1","0","Graphics/Characters/silk19","6","Graphics/Pictures/ct_syesta1","谢丝塔"
"79","ヌルコ","Graphics/Faces/nuruko_fc1","0","Graphics/Characters/Unknown01","0","Graphics/Pictures/ct_nuruko1","黏黏子"
"80","ヒップ","Graphics/Faces/orc_fc1","0","Graphics/Characters/Beast03_cip","2","Graphics/Pictures/ct_orc1","臀部"
"81","ハニー","Graphics/Faces/mitubati_fc1","0","Graphics/Characters/Insect01_cip","2","Graphics/Pictures/ct_mitubati1","甜心"
"82","ちゅん","Graphics/Faces/suzume_fc1","0","Graphics/Characters/silk19","5","Graphics/Pictures/ct_suzume1","鹑"
"83","レイナ","Graphics/Faces/hapy_a_fc1","0","Graphics/Characters/Bird01_cip","0","Graphics/Pictures/80_hapy_a_st01","蕾娜"
"84","ピナ＆ピィ","Graphics/Faces/hapy_bc_fc1","0","Graphics/Characters/$HarpyTwins01_cip","0","Graphics/Pictures/80_hapy_bc_st01","皮娜＆皮伊"
"85","エリザベス","Graphics/Faces/highslag_fc1","0","Graphics/Characters/silk18","2","Graphics/Pictures/ct_highslag1","艾利莎贝"
"86","ロザリオ","Graphics/Faces/name_s_fc1","0","Graphics/Characters/silk20","3","Graphics/Pictures/80_name_s_st01","罗莎莉奥"
"87","メルティ","Graphics/Faces/name2_fc2","1","Graphics/Characters/$NamekujiMusumes01_cip","0","Graphics/Pictures/ct_name2_1；Graphics/Pictures/ct_name2_3","梅尔蒂"
"88","かぼちゃ","Graphics/Faces/jack_fc1","0","Graphics/Characters/silk15","7","Graphics/Pictures/ct_jack1","南瓜"
"89","シンディ","Graphics/Faces/ropa_fc1","0","Graphics/Characters/Insect01_cip","4","Graphics/Pictures/ct_ropa1","辛蒂"
"90","メルメル","Graphics/Faces/meda_fc1","0","Graphics/Characters/Insect01_cip","5","Graphics/Pictures/ct_meda1","梅鲁梅鲁"
"91","キャンドラ","Graphics/Faces/candle_fc1","0","Graphics/Characters/Create03_cip","0","Graphics/Pictures/ct_candle1","坎德拉"
"92","イーター","Graphics/Faces/eater_fc1","0","Graphics/Characters/silk14","5","Graphics/Pictures/ct_eater1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","伊塔"
"93","ライオット","Graphics/Faces/liot_fc1","0","Graphics/Characters/silk18","4","Graphics/Pictures/ct_liot1","莱奥特"
"94","ルクスル","Graphics/Faces/luksl_fc1","0","Graphics/Characters/silk18","6","Graphics/Pictures/80_luksl_st01","露克斯"
"95","ロナ","Graphics/Faces/delh_a_fc1","0","Graphics/Characters/DemiHuman01_cip","1","Graphics/Pictures/80_delh_a_st01；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3","罗娜"
"96","マリオン","Graphics/Faces/delh_b_fc1","0","Graphics/Characters/DemiHuman01_cip","2","Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3","玛丽昂"
"97","フェル","Graphics/Faces/fairy_fc1","0","Graphics/Characters/Fairy01_cip","0","Graphics/Pictures/80_fairy_st01","菲尔"
"98","エイミ","Graphics/Faces/minikani_fc1","0","Graphics/Characters/Fishes01_cip","7","Graphics/Pictures/ct_minikani1","艾米"
"99","ギギ","Graphics/Faces/namazu_fc1","0","Graphics/Characters/silk19","0","Graphics/Pictures/80_namazu_st01","吉吉"
"100","フレシア","Graphics/Faces/rahure_fc1","0","Graphics/Characters/Plant01_cip","2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/80_rahure_st01；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","芙莉西亚"
"101","リヒティーヌ","Graphics/Faces/cent2_fc1","0","Graphics/Characters/Beast03_cip","4","Graphics/Pictures/ct_cent2_1","莉希蒂娜"
"102","きつね","Graphics/Faces/youko_fc1","0","Graphics/Characters/Beast01_cip","0","Graphics/Pictures/80_youko_st01","狐狸"
"103","かむろ","Graphics/Faces/kamuro_fc1","0","Graphics/Characters/Beast03_cip","7","Graphics/Pictures/80_kamuro_st01","神室"
"104","ラクネ","Graphics/Faces/kumo_fc1","0","Graphics/Characters/Insect01_cip","6","Graphics/Pictures/ct_kumo1","拉克涅"
"105","ミネリ","Graphics/Faces/mimic_fc1","0","Graphics/Characters/UnDead01_cip","0","Graphics/Pictures/80_mimic_st01","米内莉"
"106","七尾","Graphics/Faces/nanabi_fc1","0","Graphics/Characters/$Nanabi01_cip","0","Graphics/Pictures/ct_nanabi2；Graphics/Pictures/ct_nanabi1","七尾"
"107","ユメ","Graphics/Faces/namako_fc1","0","Graphics/Characters/Fishes01_cip","0","Graphics/Pictures/ct_namako1","梦"
"108","シェリー","Graphics/Faces/kai_fc1","0","Graphics/Characters/Fishes01_cip","1","Graphics/Pictures/ct_kai1","雪莉"
"109","ソープ","Graphics/Faces/kani_fc1","0","Graphics/Characters/Fishes01_cip","2","Graphics/Pictures/ct_kani1","索普"
"110","ベス","Graphics/Faces/slimelord_fc1","0","Graphics/Characters/silk5","6","Graphics/Pictures/80_slimelord_st01","贝丝"
"111","メロン","Graphics/Faces/suika_fc1","0","Graphics/Characters/Plant01_cip","7","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_suika1；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","蜜瓜"
"112","かずら","Graphics/Faces/utubo_fc1","0","Graphics/Characters/silk19","7","Graphics/Pictures/ct_utubo3；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_haetori2","葛"
"113","アナスタシア","Graphics/Faces/lamia_fc1","0","Graphics/Characters/Lamia01_cip","1","Graphics/Pictures/80_lamia_st01","安娜塔西亚"
"114","わかめ","Graphics/Faces/wakame_fc1","0","Graphics/Characters/plant03_cip","0","Graphics/Pictures/ct_wakame1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","海带"
"115","くらげ","Graphics/Faces/kurage_fc1","0","Graphics/Characters/Fishes01_cip","3","Graphics/Pictures/ct_kurage1","水母"
"116","イザベル","Graphics/Faces/iso_fc1","0","Graphics/Characters/Fishes01_cip","4","Graphics/Pictures/ct_iso1","伊莎贝尔"
"117","あんこ","Graphics/Faces/ankou_fc1","0","Graphics/Characters/$AnkouMusume02","0","Graphics/Pictures/80_ankou_st01","豆沙"
"118","メイア","Graphics/Faces/meia_fc1","1","Graphics/Characters/Fishes02_cip","0","Graphics/Pictures/80_meia_st02；Graphics/Pictures/80_meia_st03","梅尔"
"119","アニー","Graphics/Faces/page17_fc1","0","Graphics/Characters/Create01_cip","0","Graphics/Pictures/ct_page17_1","安妮"
"120","ヨーコ","Graphics/Faces/page257_fc1","0","Graphics/Characters/Create01_cip","1","Graphics/Pictures/ct_page257_1","洋子"
"121","コーネリア","Graphics/Faces/page65537_fc1","0","Graphics/Characters/$65537Page01_cip","0","Graphics/Pictures/ct_page65537_1","科妮莉亚"
"122","ソフィア","Graphics/Faces/sisterlamia_fc1","0","Graphics/Characters/silk5","1","Graphics/Pictures/80_sisterlamia_st25；Graphics/Pictures/80_sisterlamia_st22；Graphics/Pictures/80_sisterlamia_st04","索菲亚"
"123","クリスティー","Graphics/Faces/sisccubus_fc1","0","Graphics/Characters/silk19","4","Graphics/Pictures/ct_sisccubus1","克莉丝蒂娜"
"124","杏奈","Graphics/Faces/arikui_fc1","0","Graphics/Characters/Beast04_cip","0","Graphics/Pictures/ct_arikui1","杏奈"
"125","アイシャ","Graphics/Faces/grizzly_fc1","0","Graphics/Characters/Beast03_cip","3","Graphics/Pictures/ct_grizzly1","艾莎"
"126","ロビン","Graphics/Faces/XX-7_fc1","0","Graphics/Characters/Chimera03_cip","2","Graphics/Pictures/ct_XX-7_1","罗宾"
"127","リッピー","Graphics/Faces/littlebug_fc1","0","Graphics/Characters/silk18","5","Graphics/Pictures/ct_littlebug1","莉皮"
"128","ジリアン","Graphics/Faces/kaniloid_fc1","0","Graphics/Characters/Create03_cip","3","Graphics/Pictures/ct_kaniloid1","吉莉安"
"129","ヒルデ","Graphics/Faces/brunhild_fc1","0","Graphics/Characters/Create03_cip","7","Graphics/Pictures/ct_brunhild1","希尔德"
"130","キャリー","Graphics/Faces/ghost_fc1","0","Graphics/Characters/UnDead01_cip","1","Graphics/Pictures/ct_ghost1","嘉莉"
"131","みやび","Graphics/Faces/doll_fc1","0","Graphics/Characters/UnDead01_cip","2","Graphics/Pictures/ct_doll1","美雅"
"132","エリィ","Graphics/Faces/zonbe_fc2","0","Graphics/Characters/UnDead01_cip","3","Graphics/Pictures/ct_zonbe1","艾莉"
"133","ゾンビーズ","Graphics/Faces/zonbe_fc3","3","Graphics/Characters/$ZombiMusumes01_cip","0","Graphics/Pictures/80_zonbe_st21","僵尸们"
"134","クロム","Graphics/Faces/chrom_fc2","0","Graphics/Characters/Undead02_cip","1","Graphics/Pictures/ct_chrom1；Graphics/Pictures/ct_chrom2","库洛姆"
"135","フレデリカ","Graphics/Faces/frederika_fc1","0","Graphics/Characters/Undead02_cip","0","Graphics/Pictures/ct_frederika1","芙蕾德莉卡"
"136","クローディア","Graphics/Faces/elf_fc1","0","Graphics/Characters/DemiHuman01_cip","3","Graphics/Pictures/80_elf_st01；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3","克劳蒂娅"
"137","ラブ＆ラム","Graphics/Faces/braunys_fc1","6","Graphics/Characters/$Braunys","0","Graphics/Pictures/80_braunys_st01","拉布＆拉姆"
"138","ミル＆リル","Graphics/Faces/tfairy_fc1","0","Graphics/Characters/$TwinsFairy01_cip","0","Graphics/Pictures/80_tfairy_st01","米尔与莉尔"
"139","フェアリーズ","Graphics/Faces/fairys_fc1","3","Graphics/Characters/$Fairyes&Mobs01_cip","0","Graphics/Pictures/80_fairys_st01","小仙子们"
"140","ラチュラ","Graphics/Faces/taran_fc1","0","Graphics/Characters/Insect01_cip","7","Graphics/Pictures/ct_taran1","塔图拉"
"141","ミナ","Graphics/Faces/mino_fc1","0","Graphics/Characters/Beast01_cip","1","Graphics/Pictures/80_mino_st01","米娜"
"142","バナッチ","Graphics/Faces/bander_fc1","0","Graphics/Characters/Evil01_cip","7","Graphics/Pictures/ct_bander1","巴纳奇"
"143","エヴァ","Graphics/Faces/eva_fc1","0","Graphics/Characters/silk7","2","Graphics/Pictures/80_eva_st01；Graphics/Pictures/80_eva_st11","伊娃"
"144","サニー","Graphics/Faces/saboresu_fc1","0","Graphics/Characters/Insect02_cip","5","Graphics/Pictures/80_saboresu_st01","萨妮"
"145","ヴァネッサ","Graphics/Faces/mukade_fc1","0","Graphics/Characters/$mukade","0","Graphics/Pictures/ct_mukade1","温妮莎"
"146","スカーレット","Graphics/Faces/sasori_fc1","0","Graphics/Characters/Insect02_cip","0","Graphics/Pictures/ct_sasori1","斯卡蕾特"
"147","キャスタ","Graphics/Faces/saboten_fc1","0","Graphics/Characters/silk19","2","Graphics/Pictures/ct_saboten1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","卡斯塔"
"148","ミュー","Graphics/Faces/datyou_fc1","0","Graphics/Characters/silk12","0","Graphics/Pictures/80_datyou_st04","缪"
"149","ジーニー","Graphics/Faces/lamp_fc1","0","Graphics/Characters/Beast01_cip","3","Graphics/Pictures/ct_lamp1","吉妮"
"150","パトラ","Graphics/Faces/mummy_fc1","0","Graphics/Characters/UnDead01_cip","7","Graphics/Pictures/ct_mummy1","帕特拉"
"151","ライラ","Graphics/Faces/kobura_fc1","0","Graphics/Characters/Lamia01_cip","2","Graphics/Pictures/ct_kobura1","莱拉"
"152","ネフェルラミアス","Graphics/Faces/lamias_fc2","4","Graphics/Characters/$NeferLamias01_cip","0","Graphics/Pictures/80_lamias_st01","奈夫顿拉米亚集团"
"153","スフィンクス","Graphics/Faces/sphinx_fc1","0","Graphics/Characters/$SphinxMusume01_cip","0","Graphics/Pictures/ct_sphinx1","斯芬克斯"
"154","ガー","Graphics/Faces/wani_fc1","0","Graphics/Characters/silk20","2","Graphics/Pictures/80_wani_st01","咬咬"
"155","サキ","Graphics/Faces/saki_fc1","3","Graphics/Characters/Sucbuss02_cip","4","Graphics/Pictures/ct_saki2；Graphics/Pictures/ct_saki1；Graphics/Pictures/ct_saki3","萨琪"
"156","レジーナ","Graphics/Faces/d_fighter_fc1","0","Graphics/Characters/silk18","0","Graphics/Pictures/ct_d_fighter1","蕾吉娜"
"157","アシダカ","Graphics/Faces/oogumo_fc1","0","Graphics/Characters/Insect03_cip","1","Graphics/Pictures/80_oogumo_st01","阿茜达卡"
"158","アンナ","Graphics/Faces/suckvore_fc1","2","Graphics/Characters/Chimera01_cip","1","Graphics/Pictures/80_suckvore_st01；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_hiru1","安娜"
"159","メイデン","Graphics/Faces/ironmaiden_fc1","0","Graphics/Characters/Create01_cip","2","Graphics/Pictures/ct_ironmaiden1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1；Graphics/Pictures/80_ironmaiden_st11","梅登"
"160","ユリア","Graphics/Faces/wormv_fc1","0","Graphics/Characters/Chimera01_cip","3","Graphics/Pictures/ct_wormv1；Graphics/Pictures/ct_hiru4","尤莉亚"
"161","レモン","Graphics/Faces/ustrel_fc1","0","Graphics/Characters/Evil02_cip","1","Graphics/Pictures/80_ustrel_st01；Graphics/Pictures/ct_ustrel1；Graphics/Pictures/ct_hiru3","柠檬"
"162","蜜壺","Graphics/Faces/mitutubo_fc1","0","Graphics/Characters/silk18","7","Graphics/Pictures/ct_mitutubo1；Graphics/Pictures/80_mitutubo_st01","蜜壶"
"163","リリィ","Graphics/Faces/lily_fc1","0","Graphics/Characters/Chimera02_cip","1","Graphics/Pictures/ct_lily1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_hiru1","莉莉"
"164","雫","Graphics/Faces/kooni_fc1","0","Graphics/Characters/silk18","3","Graphics/Pictures/ct_kooni1","雫"
"165","ナホ","Graphics/Faces/onaho_fc1","0","Graphics/Characters/silk19","1","Graphics/Pictures/ct_onaho1","奈穗"
"166","ナビス","Graphics/Faces/narcubus_fc1","0","Graphics/Characters/silk5","3","Graphics/Pictures/80_narcubus_st11","娜维斯"
"167","ルシア","Graphics/Faces/lusia_fc1","0","Graphics/Characters/Chimera02_cip","6","Graphics/Pictures/ct_lusia1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_hiru1","露西亚"
"168","まなこ","Graphics/Faces/dodome_fc1","0","Graphics/Characters/Evil01_cip","6","Graphics/Pictures/ct_dodome1","真奈子"
"169","リル","Graphics/Faces/lizardthief_fc1","0","Graphics/Characters/silk12","3","Graphics/Pictures/80_lizardthief_st01","莉露"
"170","レン","Graphics/Faces/lizardthief_fc2","0","Graphics/Characters/silk12","4","Graphics/Pictures/80_lizardthief_st11","莲"
"171","ミランダ","Graphics/Faces/lizardboss_fc1","0","Graphics/Characters/silk12","2","Graphics/Pictures/ct_lizardboss1","米兰达"
"172","ミラージュ","Graphics/Faces/sinkiro_fc1","0","Graphics/Characters/silk12","5","Graphics/Pictures/80_sinkiro_st05","幻舞"
"173","ヘレン","Graphics/Faces/arizigoku_fc1","0","Graphics/Characters/Insect02_cip","1","Graphics/Pictures/ct_arizigoku1","海伦"
"174","ダリア","Graphics/Faces/sandw_fc1","0","Graphics/Characters/$SandwormMusume01_cip","0","Graphics/Pictures/ct_sandw1","达利亚"
"175","ディジィ","Graphics/Faces/d_scylla_fc1","0","Graphics/Characters/silk18","1","Graphics/Pictures/ct_d_scylla1","迪吉"
"176","ヴィタエ","Graphics/Faces/vitae_fc1","0","Graphics/Characters/silk20","1","Graphics/Pictures/80_vitae_st01","薇塔耶"
"177","ヴェータラ","Graphics/Faces/vetala_fc1","0","Graphics/Characters/silk20","0","Graphics/Pictures/ct_vetala1","维塔拉"
"178","ヴァルト","Graphics/Faces/valt_fc1","0","Graphics/Characters/Create04_cip","0","Graphics/Pictures/ct_valt1","瓦尔特"
