"技能ID","日文名称","日文所属","日文说明","可学习职业（日文，含等级）","可学习种族（日文，含等级）","HP消耗","MP消耗","SP消耗（内部TP）","中文名称","中文所属","中文说明","可学习职业（中文，含等级）","可学习种族（中文，含等级）","技能类型ID"
"35","ファーストランダマイザ","オラクル","防具1184","","","0","0","0","初次随机发生器","神谕","防具1184","","","36"
"36","バビロンの大淫婦","未分类技能","防具1185","","","0","0","0","巴比伦的大淫妇","未分类技能","防具1185","","","0"
"37","消化粘液浸食","未分类技能","ステート236","","","0","0","0","消化粘液侵蚀","未分类技能","ステート236","","","0"
"38","ビーナスネペンテス","植物技","ステート237","","","0","0","0","维纳斯之花","植物技","ステート237","","","58"
"39","援軍","特技","威力：Ｅ　対象：敵ランダム3回","","","0","0","0","援军","特技","威力：Ｅ　対象：敵ランダム3回","","","63"
"40","支援砲撃","海賊技","防具677,3172","","","0","0","0","支援炮击","海盗技","防具677,3172","","","32"
"41","カイザーフリート","海賊技","","","","0","0","0","凯撒舰队","海盗技","","","","32"
"42","無敵艦隊一斉砲撃","海賊技","","","","0","0","0","无敌舰队齐射","海盗技","","","","32"
"43","人魚大砲","海賊技","","","","0","0","0","人鱼大炮","海盗技","","","","32"
"44","禁断兵器・核熱砲撃","海賊技","ステート501","","","0","0","0","禁断兵灵・核热炮击","海盗技","ステート501","","","32"
"45","集団撃","虫技","威力：Ｃ　対象：敵ランダム3回
ステート243","","","0","0","0","集体击","虫技","威力：Ｃ　対象：敵ランダム3回
ステート243","","","57"
"46","一族総攻撃","虫技","威力：Ｓ　対象：敵ランダム4回
ステート244","","","0","0","0","一族总攻击","虫技","威力：Ｓ　対象：敵ランダム4回
ステート244","","","57"
"47","混沌撃","闇技","敵単体に混沌の力を用いた大ダメージを与える
しかしその代償に最大HPの5%を消費","","","10%当前HP","0","0","混沌击","暗技","对单体敌人使用混沌之力造成巨大伤害
但作为代价，消耗最大HP的5%","","","27"
"51","なすがまま","未分类技能","","","","0","0","0","任由摆布","未分类技能","","","","0"
"53","吸収武器50%","未分类技能","","","","0","0","0","吸收武器50%","未分类技能","","","","0"
"54","吸収武器100%","未分类技能","","","","0","0","0","吸收武器100%","未分类技能","","","","0"
"55","素材ぶんどる","盗賊技","","","","0","0","0","抢夺素材","盗贼技","","","","30"
"56","パンツぶんどる","盗賊技","","","","0","0","0","抢夺内裤","盗贼技","","","","30"
"57","十六連乱れ撃ち","未分类技能","ランダムで16回ダメージを与える
防具4326","","","0","0","0","十六连乱击","未分类技能","随机造成16次伤害
防具4326","","","0"
"58","滅捨身撃","未分类技能","敵単体に特大ダメージを与えるが、そのターンは倍のダメージを受ける
防具4327","","","0","0","0","灭舍身击","未分类技能","对单体敌人造成特大伤害，但该回合受到双倍伤害
防具4327","","","0"
"901","ナイフ投げ","短剣技","威力：Ｅ（力・器）　対象：敵単体
敵単体にナイフを投げ付ける短剣技","62:シーフ（Lv4）","184:ヴァンパイア（Lv2）","0","0","1","小刀投掷","短剑技","威力：Ｅ（力・器）　対象：敵単体
向单体敌人投掷小刀的短剑技","62:盗贼（Lv4）","184:吸血鬼（Lv2）","6"
"902","連続ナイフ投げ","短剣技","威力：Ｄ（力・器）　対象：敵単体3回
敵単体に連続でナイフを投げ付ける短剣技","62:シーフ（Lv10）","","0","0","2","连续小刀投掷","短剑技","威力：Ｄ（力・器）　対象：敵単体3回
向单体敌人连续投掷小刀的短剑技","62:盗贼（Lv10）","","6"
"903","串刺し","短剣技","威力：Ｄ（力・器）　対象：敵単体
敵の胴に狙いを定め、一撃で串刺しにする短剣技","","184:ヴァンパイア（Lv6）","0","0","3","串刺","短剑技","威力：Ｄ（力・器）　対象：敵単体
瞄准敌人的躯干，一击将其串刺的短剑技","","184:吸血鬼（Lv6）","6"
"904","トリックナイフ","短剣技","威力：Ｃ（力・器）　対象：敵単体
トリッキーに切り付けダメージを負わせる短剣技","63:マスターシーフ（Lv4）","","0","0","3","诡计小刀","短剑技","威力：Ｃ（力・器）　対象：敵単体
巧妙地切入造成伤害的短剑技","63:大师盗贼（Lv4）","","6"
"905","アサシンスロー","短剣技","威力：Ｄ（力・器）　対象：敵単体　効果：即死
急所を狙い、敵の命を奪い去る暗殺者の刃","63:マスターシーフ（Lv8）","","0","0","2","刺客投掷","短剑技","威力：Ｄ（力・器）　対象：敵単体　効果：即死
瞄准要害，夺取敌人生命的暗杀者之刃","63:大师盗贼（Lv8）","","6"
"906","カディクル・ベイ","短剣技","威力：Ｂ（力・器）　対象：敵単体　効果：暗闇
魔力を込めて敵を切り裂き、大ダメージを与える","","185:ノスフェラトゥ（Lv4）","0","0","4","血染的王鬼","短剑技","威力：Ｂ（力・器）　対象：敵単体　効果：暗闇
注入魔力斩裂敌人，造成巨大伤害","","185:诺斯费拉图（Lv4）","6"
"907","アサシンダンス","短剣技","威力：Ｂ（力・器）　対象：敵ランダム3回　効果：即死
踊るような動きで敵の急所を何度も攻撃し、命を奪う","64:トリックスター（Lv2）","","0","0","5","刺客之舞","短剑技","威力：Ｂ（力・器）　対象：敵ランダム3回　効果：即死
以舞蹈般的动作多次攻击敌人的要害，夺取生命","64:诡计之星（Lv2）","","6"
"908","ナイフインフィニティ","短剣技","威力：Ａ（力・器）　対象：敵単体
敵単体に無数のナイフ投げを叩き込む短剣技","64:トリックスター（Lv4）","","0","0","7","无限刀刃","短剑技","威力：Ａ（力・器）　対象：敵単体
对单体敌人投掷无数小刀的短剑技","64:诡计之星（Lv4）","","6"
"909","サザンクロス","短剣技","威力：Ａ（力・器）　対象：敵全体　属性：雷　効果：ショック
雷の魔力を帯びた刃で敵全体を十字に切り裂く短剣奥義","","186:夜の帝王（Lv10）","0","0","8","南十字星","短剑技","威力：Ａ（力・器）　対象：敵全体　属性：雷　効果：ショック
以带雷之魔力的刃将全体敌人十字斩裂的短剑奥义","","186:夜之帝王（Lv10）","6"
"910","シャドウテスタメント","短剣技","威力：Ｓ（力・器）　対象：敵全体　属性：闇　効果：暗闇
刃で空間を裂き、闇の衝撃を生じさせる短剣奥義","","192:クィーンヴァンパイア（Lv8）","12%当前HP","0","6","暗影圣约","短剑技","威力：Ｓ（力・器）　対象：敵全体　属性：闇　効果：暗闇
以刃撕裂空间，引发暗之冲击的短剑奥义","","192:吸血鬼女王（Lv8）","6"
"911","アサシンストーム","短剣技","威力：ＳＳ（力・器）　対象：敵ランダム5回　効果：即死
命を奪う一撃を嵐のように連続で繰り出す短剣奥義","7029:盗神（Lv2）","","0","0","14","刺客风暴","短剑技","威力：ＳＳ（力・器）　対象：敵ランダム5回　効果：即死
如风暴般连续施展夺命一击的短剑奥义","7029:盗神（Lv2）","","6"
"912","イオンストリーク","短剣技","威力：ＳＳＳ（力・器）　対象：敵ランダム6回　属性：修羅・イオン　効果：ショック
イオンの刃で敵集団を何度も斬り裂く混沌奥義","7029:盗神（Lv13）","","0","0","18","离子突击","短剑技","威力：ＳＳＳ（力・器）　対象：敵ランダム6回　属性：修羅・イオン　効果：ショック
以离子刃多次斩裂敌群的混沌奥义","7029:盗神（Lv13）","","6"
"917","切り返し","剣技","威力：Ｅ（力）　対象：敵単体
斬り下ろしの直後に手首を返して斬り上げる剣技","1:戦士（Lv2）","","0","0","2","反击","剑技","威力：Ｅ（力）　対象：敵単体
斩下后迅速手腕回转斩上的剑技","1:战士（Lv2）","","7"
"918","疾風突き","剣技","威力：Ｅ（力）　対象：敵単体　属性：風　効果：速攻
疾風のように踏み込み、敵に刃を叩き込む剣技","1:戦士（Lv4）","","0","0","1","疾风突刺","剑技","威力：Ｅ（力）　対象：敵単体　属性：風　効果：速攻
如疾风般突进，将刃击入敌方的剑技","1:战士（Lv4）","","7"
"919","払車剣","剣技","威力：Ｄ（力）　対象：敵単体
車輪状の衝撃波を放ち敵を切り裂く剣技","1:戦士（Lv6）","","0","0","3","扫车剑","剑技","威力：Ｄ（力）　対象：敵単体
释放车轮状的冲击波，斩裂敌人","1:战士（Lv6）","","7"
"920","諸刃斬り","剣技","威力：Ｂ（力）　対象：敵単体　効果：自分もダメージ
高威力だが自身もダメージを受けてしまう両刃の斬撃","1:戦士（Lv8）","","0","0","2","双刃斩","剑技","威力：Ｂ（力）　対象：敵単体　効果：自分もダメージ
高威力但自身也会受到伤害的双刃斩击","1:战士（Lv8）","","7"
"921","隼斬り","剣技","威力：Ｃ（力）　対象：敵単体2回
素早く二連続の斬撃を繰り出す剣技","1:戦士（Lv10）","284:竜人（Lv4）","0","0","4","隼斩","剑技","威力：Ｃ（力）　対象：敵単体2回
迅速连续发出两次斩击的剑技","1:战士（Lv10）","284:龙人（Lv4）","7"
"922","火炎斬り","剣技","威力：Ｃ（力）　対象：敵単体　属性：炎
炎の魔力を帯びた斬撃","7:魔法戦士（Lv4）","","0","4","2","火焰斩","剑技","威力：Ｃ（力）　対象：敵単体　属性：炎
带有火焰魔力的斩击","7:魔法战士（Lv4）","","7"
"923","氷斬り","剣技","威力：Ｃ（力）　対象：敵単体　属性：氷
氷の魔力を帯びた斬撃","7:魔法戦士（Lv5）","210:デュラハン（Lv4）","0","4","2","冰斩","剑技","威力：Ｃ（力）　対象：敵単体　属性：氷
带有冰之魔力的斩击","7:魔法战士（Lv5）","210:杜拉罕（Lv4）","7"
"924","稲妻斬り","剣技","威力：Ｃ（力）　対象：敵単体　属性：雷
雷の魔力を帯びた斬撃","7:魔法戦士（Lv6）","","0","4","2","闪电斩","剑技","威力：Ｃ（力）　対象：敵単体　属性：雷
带有雷之魔力的斩击","7:魔法战士（Lv6）","","7"
"925","霊風招刃","剣技","威力：Ｂ（力）　対象：敵単体　属性：風　効果：風弱体
陰陽式を剣に込め、風の力で敵を斬る剣技","19:陰陽剣士（Lv2）","","0","6","3","灵风招刃","剑技","威力：Ｂ（力）　対象：敵単体　属性：風　効果：風弱体
将阴阳式注入剑中，以风之力斩击敌人","19:阴阳剑士（Lv2）","","7"
"926","土刻剣","剣技","威力：Ｂ（力）　対象：敵単体　属性：土　効果：土弱体
陰陽式を剣に込め、土の力で敵を斬る剣技","19:陰陽剣士（Lv3）","","0","6","3","土刻剑","剑技","威力：Ｂ（力）　対象：敵単体　属性：土　効果：土弱体
将阴阳式注入剑中，以土之力斩击敌人","19:阴阳剑士（Lv3）","","7"
"927","御剣十二水","剣技","威力：Ｂ（力）　対象：敵単体　属性：水　効果：水弱体
陰陽式を剣に込め、水の力で敵を斬る剣技","19:陰陽剣士（Lv4）","","0","6","3","御剑十二水","剑技","威力：Ｂ（力）　対象：敵単体　属性：水　効果：水弱体
将阴阳式注入剑中，用水之力斩击敌人的剑技","19:阴阳剑士（Lv4）","","7"
"928","奪魂刃","剣技","威力：Ｂ（力）　対象：敵単体　効果：HP吸収
特殊な陰陽式を刃に込め、敵の生命力を奪い取る剣技","19:陰陽剣士（Lv8）","","0","6","3","夺魂刃","剑技","威力：Ｂ（力）　対象：敵単体　効果：HP吸収
将特殊阴阳式注入刃中，夺取敌人生命力的剑技","19:阴阳剑士（Lv8）","","7"
"929","入滅斬","剣技","威力：Ａ（力）　対象：敵単体　効果：即死
死の陰陽式を刃に込め、敵を一撃で葬る剣技","19:陰陽剣士（Lv10）","","0","10","4","入灭斩","剑技","威力：Ａ（力）　対象：敵単体　効果：即死
将死之阴阳式注入刃中，一击葬敌的剑技","19:阴阳剑士（Lv10）","","7"
"930","エンジェルダンス","剣技","威力：Ｄ（力）　対象：敵ランダム3回
華麗に踊るような動きで敵を切り裂く天使特有の剣技","","362:下位天使（Lv6）","0","0","3","天使之舞","剑技","威力：Ｄ（力）　対象：敵ランダム3回
以华丽舞姿斩裂敌人的天使特有剑技","","362:下位天使（Lv6）","7"
"931","真空斬り","剣技","威力：Ａ（力）　対象：敵単体　属性：風
あまりの鋭さに真空を生じさせる斬撃","7:魔法戦士（Lv10）","209:アークエルフ（Lv2）","0","8","4","真空斩","剑技","威力：Ａ（力）　対象：敵単体　属性：風
因过于锐利而产生真空的斩击","7:魔法战士（Lv10）","209:大精灵（Lv2）","7"
"932","烈風剣","剣技","威力：Ｄ（力）　対象：敵全体　属性：風
剣撃によって真空の刃を発生させ敵全体に放つ剣技","2:剣士（Lv2）","208:ダークエルフ（Lv2）","0","0","4","烈风剑","剑技","威力：Ｄ（力）　対象：敵全体　属性：風
通过剑击产生真空之刃，对全体敌人放出的剑技","2:剑士（Lv2）","208:暗精灵（Lv2）","7"
"933","月影の太刀","剣技","威力：Ｂ（力）　対象：敵単体
月影の下に舞い、敵を一閃する剣技","2:剣士（Lv6）","","0","0","5","月影之太刀","剑技","威力：Ｂ（力）　対象：敵単体
在月影下舞动，一闪敌人的剑技","2:剑士（Lv6）","","7"
"934","魔神斬り","剣技","威力：Ｓ（力）　対象：敵単体　効果：会心orミス
魔神のように会心の一撃を繰り出すが、外す可能性も高い","2:剣士（Lv8）","","0","0","2","魔神斩","剑技","威力：Ｓ（力）　対象：敵単体　効果：会心orミス
如魔神般放出会心一击，但失误的可能性也很高","2:剑士（Lv8）","","7"
"935","デッドクラッシュ","剣技","威力：Ｃ（力）　対象：敵単体　効果：即死
渾身の力で刃を振り下ろし、命を絶つ剣技","2:剣士（Lv4）","","0","0","4","死亡冲击","剑技","威力：Ｃ（力）　対象：敵単体　効果：即死
全力挥下剑刃，斩断生命的剑技","2:剑士（Lv4）","","7"
"936","二刀十字斬","剣技","威力：Ｂ（力）　対象：敵単体2回
二本の刃で十字を描くように敵を切り裂く斬撃","2:剣士（Lv10）","","0","0","5","二刀十字斩","剑技","威力：Ｂ（力）　対象：敵単体2回
用两把剑划出十字，斩裂敌人的斩击","2:剑士（Lv10）","","7"
"937","魔剣・首刈り","剣技","威力：Ｂ（力）　対象：敵単体
敵の懐に飛び込み、喉元に突きを繰り出す剣技","","208:ダークエルフ（Lv8）","0","0","4","魔剑・斩首","剑技","威力：Ｂ（力）　対象：敵単体
突入敌人怀中，刺向喉咙的剑技","","208:暗精灵（Lv8）","7"
"938","血裂雷鳴突き","剣技","威力：Ｃ（力）　対象：敵単体　属性：雷　効果：速攻
一気に間合いを詰め、雷撃を伴った突きを繰り出す高速剣","","210:デュラハン（Lv2）","0","0","4","血裂雷鸣刺","剑技","威力：Ｃ（力）　対象：敵単体　属性：雷　効果：速攻
一口气缩短距离，伴随着雷击的快速突刺","","210:杜拉罕（Lv2）","7"
"939","五月雨斬り","剣技","威力：Ｂ（力）　対象：敵全体
刃の雨を繰り出し、敵全体を乱れ斬りにする剣技","","210:デュラハン（Lv10）","0","0","6","五月雨斩","剑技","威力：Ｂ（力）　対象：敵全体
使出了剑雨，对全体敌人进行乱斩的剑技","","210:杜拉罕（Lv10）","7"
"940","極竜斬","剣技","威力：Ａ（力）　対象：敵単体
立ち昇る竜のオーラを放つ必殺の剣技","","284:竜人（Lv6）","0","0","6","极龙斩","剑技","威力：Ａ（力）　対象：敵単体
释放出升腾的龙之气息的必杀剑技","","284:龙人（Lv6）","7"
"941","ヒートウェイブ","剣技","威力：Ａ（力）　対象：敵全体
敵全体を一撃で切り裂く対集団用の剣技","","284:竜人（Lv10）","0","0","7","热浪斩","剑技","威力：Ａ（力）　対象：敵全体
一击斩裂全体敌人的群站剑技","","284:龙人（Lv10）","7"
"942","フレイムスラッシュ","剣技","威力：Ｂ（力）　対象：敵全体　属性：炎
炎の魔力を剣に宿し、敵を一閃する奥義","8:マスターソーサラー（Lv4）","","0","7","3","烈焰斩","剑技","威力：Ｂ（力）　対象：敵全体　属性：炎
将炎之魔力注入剑中，一闪敌人的奥义","8:奥法战士（Lv4）","","7"
"943","アイススラッシュ","剣技","威力：Ｂ（力）　対象：敵全体　属性：氷
氷の魔力を剣に宿し、敵を一閃する奥義","8:マスターソーサラー（Lv5）","211:ロードデュラハン（Lv4）","0","7","3","冰霜斩","剑技","威力：Ｂ（力）　対象：敵全体　属性：氷
将冰之魔力注入剑中，一闪敌人的奥义","8:奥法战士（Lv5）","211:领主杜拉罕（Lv4）","7"
"944","サンダースラッシュ","剣技","威力：Ｂ（力）　対象：敵全体　属性：雷
雷の魔力を剣に宿し、敵を一閃する奥義","8:マスターソーサラー（Lv6）","","0","7","3","雷电斩","剑技","威力：Ｂ（力）　対象：敵全体　属性：雷
将雷之魔力注入剑中，一闪斩敌的奥义","8:奥法战士（Lv6）","","7"
"945","斬魔の舞","剣技","威力：Ｂ（力）　対象：敵ランダム4回
魔物を滅ぼすために編み出された、舞いのような剣技","","363:中位天使（Lv2）","0","0","5","斩魔之舞","剑技","威力：Ｂ（力）　対象：敵ランダム4回
为消灭魔物而创，如舞蹈般的剑技","","363:中位天使（Lv2）","7"
"946","屠竜撃","剣技","威力：Ａ（力）　対象：敵単体　効果：竜特攻
竜をも討ち滅ぼす必殺の斬撃","3:剣聖（Lv2）","","0","0","7","屠龙击","剑技","威力：Ａ（力）　対象：敵単体　効果：竜特攻
必杀的斩击，连龙也能讨伐","3:剑圣（Lv2）","","7"
"947","雲身払車剣","剣技","威力：Ａ（力）　対象：敵全体
車輪状の衝撃波を複数生じさせ、敵全体を切り裂く剣技","3:剣聖（Lv8）","","0","0","8","云身拂车剑","剑技","威力：Ａ（力）　対象：敵全体
产生多个车轮状冲击波，斩裂全体敌人的剑技","3:剑圣（Lv8）","","7"
"948","滅世斬","剣技","威力：Ｓ（力）　対象：敵単体　属性：闇
暗黒の力を刃に込めた必滅の奥義","4:魔剣士（Lv2）","","10%当前HP","0","5","灭世斩","剑技","威力：Ｓ（力）　対象：敵単体　属性：闇
将暗黑之力注入刃中的必灭奥义","4:魔剑士（Lv2）","","7"
"949","アークブリンガー","剣技","威力：Ｓ（力）　対象：敵単体
魔力を込めて敵を切り裂く、エルフ族秘伝の必殺奥義","","209:アークエルフ（Lv8）","0","0","9","弧光斩","剑技","威力：Ｓ（力）　対象：敵単体
注入魔力斩裂敌人的，精灵族秘传必杀奥义","","209:大精灵（Lv8）","7"
"950","瞬剣・疾風迅雷","剣技","威力：Ｓ（力）　対象：敵単体　属性：風　効果：速攻
風の魔力を剣に込め、疾風迅雷の足運びで突きを繰り出す奥義","","211:ロードデュラハン（Lv2）","0","10","5","瞬剑・疾风迅雷","剑技","威力：Ｓ（力）　対象：敵単体　属性：風　効果：速攻
将风之力注入剑中，以疾风迅雷的步伐突刺的奥义","","211:领主杜拉罕（Lv2）","7"
"951","森羅剣・乱雹","剣技","威力：Ａ（力）　対象：敵全体　属性：氷
吹き荒れる霙（みぞれ）の中、敵を乱れ斬る剣技","","211:ロードデュラハン（Lv10）","0","10","4","森罗剑・乱雹","剑技","威力：Ａ（力）　対象：敵全体　属性：氷
在狂暴的霙雪中，乱斩敌人的剑技","","211:领主杜拉罕（Lv10）","7"
"952","デスバウンド","剣技","威力：Ａ（力）　対象：敵全体
全ての敵に死をもたらす必殺の対集団用剣技","","285:覇竜（Lv2）","0","0","8","死亡之缚","剑技","威力：Ａ（力）　対象：敵全体
带来死亡的必杀群站剑技，斩向所有敌人","","285:霸龙（Lv2）","7"
"953","死剣・乱れ星","剣技","威力：Ａ（力）　対象：敵ランダム5回
何度も斬撃を繰り出し、敵に連続攻撃を浴びせる魔剣技","3:剣聖（Lv4）","","0","0","8","死剑・乱星","剑技","威力：Ａ（力）　対象：敵ランダム5回
多次斩击，对敌人进行连续攻击的魔剑技","3:剑圣（Lv4）","","7"
"954","魔影流星斬","剣技","威力：Ｓ（力）　対象：敵ランダム5回　属性：闇
流星のような斬撃の嵐で敵を滅ぼす闇の奥義","4:魔剣士（Lv8）","","10%当前HP","0","5","魔影流星斩","剑技","威力：Ｓ（力）　対象：敵ランダム5回　属性：闇
以流星般的斩击风暴消灭敌人的暗之奥义","4:魔剑士（Lv8）","","7"
"955","白虎ノ太刀","剣技","威力：Ａ（力）　対象：敵全体　属性：風　効果：風弱体
白虎の陰陽式を刃に込め、敵を一閃する風の奥義","20:九字剣神（Lv2）","","0","8","4","白虎之太刀","剑技","威力：Ａ（力）　対象：敵全体　属性：風　効果：風弱体
将白虎的阴阳术注入刃中，一闪敌人的风之奥义","20:九字剑神（Lv2）","","7"
"956","玄武ノ太刀","剣技","威力：Ａ（力）　対象：敵全体　属性：土　効果：土弱体
玄武の陰陽式を刃に込め、敵を一閃する土の奥義","20:九字剣神（Lv4）","","0","8","4","玄武之太刀","剑技","威力：Ａ（力）　対象：敵全体　属性：土　効果：土弱体
将玄武的阴阳术注入刃中，一闪敌人的土之奥义","20:九字剑神（Lv4）","","7"
"957","青竜ノ太刀","剣技","威力：Ａ（力）　対象：敵全体　属性：水　効果：水弱体
青竜の陰陽式を刃に込め、敵を一閃する水の奥義","20:九字剣神（Lv6）","","0","8","4","青龙之太刀","剑技","威力：Ａ（力）　対象：敵全体　属性：水　効果：水弱体
将青龙的阴阳术注入刃中，一闪敌人的水之奥义","20:九字剑神（Lv6）","","7"
"958","朱雀ノ太刀","剣技","威力：Ａ（力）　対象：敵全体　属性：炎　効果：炎弱体
朱雀の陰陽式を刃に込め、敵を一閃する火の奥義","20:九字剣神（Lv10）","","0","8","4","朱雀之太刀","剑技","威力：Ａ（力）　対象：敵全体　属性：炎　効果：炎弱体
将朱雀的阴阳式注入刀刃，一闪敌人，火之奥义","20:九字剑神（Lv10）","","7"
"959","ギガスラッシュ","剣技","威力：Ａ（力）　対象：敵全体　属性：炎・氷・雷
三属性の魔力を刃に込め、敵を一閃する破壊奥義","8:マスターソーサラー（Lv10）","","0","10","4","巨型斩击","剑技","威力：Ａ（力）　対象：敵全体　属性：炎・氷・雷
将三属性的魔力注入刀刃，一闪敌人，破坏奥义","8:奥法战士（Lv10）","","7"
"960","ラウンドオブビリオン","剣技","威力：Ａ（力）　対象：敵全体　効果：全能力ダウン
円卓の力を敵に叩き込み、心身を破壊する秘奥義","74:ナイツオブラウンド（Lv10）","","0","0","8","亿万圆桌","剑技","威力：Ａ（力）　対象：敵全体　効果：全能力ダウン
将圆桌之力击入敌人，破坏身心，秘奥义","74:圆桌骑士（Lv10）","","7"
"961","月下散華","剣技","威力：Ｓ（力）　対象：敵単体
月の下、相手の命を花と散らす奥義","3:剣聖（Lv10）","","0","0","10","月下散华","剑技","威力：Ｓ（力）　対象：敵単体
在月光下，将对手的生命如花般散落，奥义","3:剑圣（Lv10）","","7"
