"大分类","技能类型ID","技能类型名称","技能类型中文名称","技能ID","技能名称","技能中文名称"
"能力","1","戦技アビリティ","战技能力","165","剣エクスブースター","剑极限增强"
"能力","1","戦技アビリティ","战技能力","166","尖剣ブースター","尖剑增强"
"能力","1","戦技アビリティ","战技能力","167","尖剣ハイブースター","尖剑高级增强"
"能力","1","戦技アビリティ","战技能力","168","尖剣エクスブースター","尖剑极限增强"
"能力","1","戦技アビリティ","战技能力","169","槍ブースター","枪增强"
"能力","1","戦技アビリティ","战技能力","170","槍ハイブースター","枪高级增强"
"能力","1","戦技アビリティ","战技能力","171","槍エクスブースター","枪极限增强"
"能力","1","戦技アビリティ","战技能力","172","刀ブースター","刀增强"
"能力","1","戦技アビリティ","战技能力","173","刀ハイブースター","刀高级增强"
"能力","1","戦技アビリティ","战技能力","174","刀エクスブースター","刀极限增强"
"能力","1","戦技アビリティ","战技能力","175","忍者刀ブースター","忍者刀增强"
"能力","1","戦技アビリティ","战技能力","176","忍者刀ハイブースター","忍者刀高级增强"
"能力","1","戦技アビリティ","战技能力","177","忍者刀エクスブースター","忍者刀极限增强"
"能力","1","戦技アビリティ","战技能力","178","拳ブースター","拳增强"
"能力","1","戦技アビリティ","战技能力","179","拳ハイブースター","拳高级增强"
"能力","1","戦技アビリティ","战技能力","180","拳エクスブースター","拳极限增强"
"能力","1","戦技アビリティ","战技能力","181","牙ブースター","牙增强"
"能力","1","戦技アビリティ","战技能力","182","牙ハイブースター","牙高级增强"
"能力","1","戦技アビリティ","战技能力","183","牙エクスブースター","牙极限增强"
"能力","1","戦技アビリティ","战技能力","184","斧ブースター","斧增强"
"能力","1","戦技アビリティ","战技能力","185","斧ハイブースター","斧高级增强"
"能力","1","戦技アビリティ","战技能力","186","斧エクスブースター","斧极限增强"
"能力","1","戦技アビリティ","战技能力","187","棍ブースター","棍增强"
"能力","1","戦技アビリティ","战技能力","188","棍ハイブースター","棍高级增强"
"能力","1","戦技アビリティ","战技能力","189","棍エクスブースター","棍极限增强"
"能力","1","戦技アビリティ","战技能力","190","鎌ブースター","镰增强"
"能力","1","戦技アビリティ","战技能力","191","鎌ハイブースター","镰高级增强"
"能力","1","戦技アビリティ","战技能力","192","鎌エクスブースター","镰极限增强"
"能力","1","戦技アビリティ","战技能力","193","弓矢ブースター","弓箭增强"
"能力","1","戦技アビリティ","战技能力","194","弓矢ハイブースター","弓箭高级增强"
"能力","1","戦技アビリティ","战技能力","195","弓矢エクスブースター","弓箭极限增强"
"能力","1","戦技アビリティ","战技能力","196","鞭ブースター","鞭增强"
"能力","1","戦技アビリティ","战技能力","197","鞭ハイブースター","鞭高级增强"
"能力","1","戦技アビリティ","战技能力","198","鞭エクスブースター","鞭极限增强"
"能力","1","戦技アビリティ","战技能力","199","ブーメランブースター","回旋镖增强"
"能力","1","戦技アビリティ","战技能力","200","ブーメランハイブースター","回旋镖高级增强"
"能力","1","戦技アビリティ","战技能力","201","ブーメランエクスブースター","回旋镖极限增强"
"能力","1","戦技アビリティ","战技能力","202","鉄球ブースター","铁球增强"
"能力","1","戦技アビリティ","战技能力","203","鉄球ハイブースター","铁球高级增强"
"能力","1","戦技アビリティ","战技能力","204","鉄球エクスブースター","铁球极限增强"
"能力","1","戦技アビリティ","战技能力","205","扇ブースター","扇增强"
"能力","1","戦技アビリティ","战技能力","206","扇ハイブースター","扇高级增强"
"能力","1","戦技アビリティ","战技能力","207","扇エクスブースター","扇极限增强"
"能力","1","戦技アビリティ","战技能力","208","銃ブースター","铳增强"
"能力","1","戦技アビリティ","战技能力","209","銃ハイブースター","铳高级增强"
"能力","1","戦技アビリティ","战技能力","210","銃エクスブースター","铳极限增强"
"能力","1","戦技アビリティ","战技能力","211","「短剣」装備可能","可以装备「短剑」"
"能力","1","戦技アビリティ","战技能力","212","「剣」装備可能","可以装备「剑」"
"能力","1","戦技アビリティ","战技能力","213","「巨剣」装備可能","可以装备「巨剑」"
"能力","1","戦技アビリティ","战技能力","214","「尖剣」装備可能","可以装备「尖剑」"
"能力","1","戦技アビリティ","战技能力","215","「槍」装備可能","可以装备「枪」"
"能力","1","戦技アビリティ","战技能力","216","「刀」装備可能","可以装备「刀」"
"能力","1","戦技アビリティ","战技能力","217","「忍者刀」装備可能","可以装备「忍者刀」"
"能力","1","戦技アビリティ","战技能力","218","「拳」装備可能","可以装备「拳」"
"能力","1","戦技アビリティ","战技能力","219","「牙」装備可能","可以装备「牙」"
"能力","1","戦技アビリティ","战技能力","220","「斧」装備可能","可以装备「斧」"
"能力","1","戦技アビリティ","战技能力","221","「棍」装備可能","可以装备「棍」"
"能力","1","戦技アビリティ","战技能力","222","「鎌」装備可能","可以装备「镰」"
"能力","1","戦技アビリティ","战技能力","223","「弓矢」装備可能","可以装备「弓箭」"
"能力","1","戦技アビリティ","战技能力","224","「鞭」装備可能","可以装备「鞭」"
"能力","1","戦技アビリティ","战技能力","225","「ブーメラン」装備可能","可以装备「回旋镖」"
"能力","1","戦技アビリティ","战技能力","226","「鉄球」装備可能","可以装备「铁球」"
"能力","1","戦技アビリティ","战技能力","227","「扇」装備可能","可以装备「扇」"
"能力","1","戦技アビリティ","战技能力","228","「銃」装備可能","可以装备「铳」"
"能力","1","戦技アビリティ","战技能力","229","「短剣技」使用可能","「短剑技」可以使用"
"能力","1","戦技アビリティ","战技能力","230","「剣技」使用可能","「剑技」可以使用"
"能力","1","戦技アビリティ","战技能力","231","「尖剣技」使用可能","「尖剑技」可以使用"
"能力","1","戦技アビリティ","战技能力","232","「刀技」使用可能",""
"能力","1","戦技アビリティ","战技能力","233","「槍技」使用可能","「枪技」可以使用"
"能力","1","戦技アビリティ","战技能力","234","「斧技」使用可能",""
"能力","1","戦技アビリティ","战技能力","235","「棍技」使用可能",""
"能力","1","戦技アビリティ","战技能力","236","「鎌技」使用可能","「镰技」可以使用"
"能力","1","戦技アビリティ","战技能力","237","「弓技」使用可能",""
"能力","1","戦技アビリティ","战技能力","238","「鞭技」使用可能",""
"能力","1","戦技アビリティ","战技能力","239","「投擲技」使用可能","「投掷技」可以使用"
"能力","1","戦技アビリティ","战技能力","240","「鉄球技」使用可能","「铁球技」可以使用"
"能力","1","戦技アビリティ","战技能力","241","「扇技」使用可能",""
"能力","1","戦技アビリティ","战技能力","242","「銃技」使用可能","「铳技」可以使用"
"能力","1","戦技アビリティ","战技能力","243","「多武器技」使用可能",""
"能力","1","戦技アビリティ","战技能力","244","「格闘」使用可能","「格斗」可以使用"
"能力","1","戦技アビリティ","战技能力","245","武技二連続発動",""
"能力","1","戦技アビリティ","战技能力","3224","ランダム：闇の罰ゲーム1",""
"能力","1","戦技アビリティ","战技能力","3225","ランダム：闇の罰ゲーム2",""
"能力","1","戦技アビリティ","战技能力","4942","触手全身責め","触手全身责备"
"能力","1","戦技アビリティ","战技能力","4943","触手乳首責め","触手乳头责备"
"能力","1","戦技アビリティ","战技能力","4944","触手乳首責め","触手乳头责备"
"能力","1","戦技アビリティ","战技能力","4945","触手股間責め","触手胯下责备"
"能力","1","戦技アビリティ","战技能力","4946","触手股間責め","触手胯下责备"
"能力","1","戦技アビリティ","战技能力","4947","触手アナル責め","触手肛门责备"
"能力","1","戦技アビリティ","战技能力","5054","ヌルヌル触手全身責め","黏滑触手全身责罚"
"能力","1","戦技アビリティ","战技能力","5055","ヌルヌル触手股間責め","黏滑触手股间责罚"
"能力","1","戦技アビリティ","战技能力","5056","ヌルヌル触手股間責め","黏滑触手股间责罚"
"能力","1","戦技アビリティ","战技能力","6301","HP75%アップ","HP提升75%"
"能力","1","戦技アビリティ","战技能力","6302","HP100%アップ","HP提升100%"
"能力","1","戦技アビリティ","战技能力","6303","HP150%アップ","HP提升150%"
"能力","1","戦技アビリティ","战技能力","6304","HP200%アップ","HP提升200%"
"能力","1","戦技アビリティ","战技能力","6305","/HP300%アップ",""
"能力","1","戦技アビリティ","战技能力","6306","攻撃力75%アップ","攻击力提升75%"
"能力","1","戦技アビリティ","战技能力","6307","攻撃力100%アップ","攻击力提升100%"
"能力","1","戦技アビリティ","战技能力","6308","攻撃力150%アップ","攻击力提升150%"
"能力","1","戦技アビリティ","战技能力","6309","攻撃力200%アップ","攻击力提升200%"
"能力","1","戦技アビリティ","战技能力","6310","/攻撃力300%アップ",""
"能力","1","戦技アビリティ","战技能力","6311","命中率50%アップ","命中率提升50%"
"能力","1","戦技アビリティ","战技能力","6312","会心75%","会心率75%"
"能力","1","戦技アビリティ","战技能力","6313","会心ダメージ25%アップ","会心伤害提升25%"
"能力","1","戦技アビリティ","战技能力","6314","会心ダメージ50%アップ","会心伤害提升50%"
"能力","1","戦技アビリティ","战技能力","6315","会心ダメージ100%アップ","会心伤害提升100%"
"能力","1","戦技アビリティ","战技能力","6316","会心ダメージ200%アップ","会心伤害提升200%"
"能力","1","戦技アビリティ","战技能力","6317","/会心ダメージ300%アップ",""
"能力","1","戦技アビリティ","战技能力","6318","カウンター75%","反击75%"
"能力","1","戦技アビリティ","战技能力","6319","魔法カウンター75%","魔法反击75%"
"能力","1","戦技アビリティ","战技能力","6320","万能カウンター10%","万能反击10%"
"能力","1","戦技アビリティ","战技能力","6321","万能カウンター30%","万能反击30%"
"能力","1","戦技アビリティ","战技能力","6322","万能カウンター50%","万能反击50%"
"能力","1","戦技アビリティ","战技能力","6323","万能カウンター75%","万能反击75%"
"能力","1","戦技アビリティ","战技能力","6324","完全万能カウンター","完全万能反击"
"能力","1","戦技アビリティ","战技能力","6325","反撃ハイブースター","反击高级增强"
"能力","1","戦技アビリティ","战技能力","6326","反撃エクスブースター","反击极限增强"
"能力","1","戦技アビリティ","战技能力","6327","反撃ゴッドブースター","反击神级增强"
"能力","1","戦技アビリティ","战技能力","6328","ドレインカウンター","吸血反击"
"能力","1","戦技アビリティ","战技能力","6329","/極不屈の闘志",""
"能力","1","戦技アビリティ","战技能力","6330","/極孤独ゆえの強さ",""
"能力","1","戦技アビリティ","战技能力","6331","みなぎる活力","充盈的活力"
"能力","1","戦技アビリティ","战技能力","6332","超みなぎる活力","超充盈的活力"
"能力","1","戦技アビリティ","战技能力","6333","ヘビィアタック","重攻击"
"能力","1","戦技アビリティ","战技能力","6334","物理コンバーター","物理转换器"
"能力","1","戦技アビリティ","战技能力","6335","渾身の一撃","全力一击"
"能力","1","戦技アビリティ","战技能力","6336","超渾身の一撃","超浑身一击"
"能力","1","戦技アビリティ","战技能力","6337","極渾身の一撃","极浑身一击"
"能力","1","戦技アビリティ","战技能力","6338","/神渾身の一撃",""
"能力","1","戦技アビリティ","战技能力","6339","ヒートアップコンボ","热力连击"
"能力","1","戦技アビリティ","战技能力","6340","超ヒートアップコンボ","超热力连击"
"能力","1","戦技アビリティ","战技能力","6341","極ヒートアップコンボ","极热力连击"
"能力","1","戦技アビリティ","战技能力","6342","/神ヒートアップコンボ",""
"能力","1","戦技アビリティ","战技能力","6343","武技SPバースト","武技SP爆发"
"能力","1","戦技アビリティ","战技能力","6344","武技SPハイバースト","武技SP超爆发"
"能力","1","戦技アビリティ","战技能力","6345","体力低下時武技強化","体力降低时武技强化"
"能力","1","戦技アビリティ","战技能力","6346","体力低下時武技超強化","体力降低时武技超强化"
"能力","1","戦技アビリティ","战技能力","6347","強敵との対峙","与强敌对峙"
"能力","1","戦技アビリティ","战技能力","6348","勇者の挑戦","勇者的挑战"
"能力","1","戦技アビリティ","战技能力","6349","真・勇者の挑戦","真・勇者的挑战"
"能力","1","戦技アビリティ","战技能力","6350","獅子奮迅","狮子奋迅"
"能力","1","戦技アビリティ","战技能力","6351","一騎当千","一骑当千"
"能力","1","戦技アビリティ","战技能力","6352","真・一騎当千","真・一骑当千"
"能力","1","戦技アビリティ","战技能力","6353","クリティカルナイフ","致命小刀"
"能力","1","戦技アビリティ","战技能力","6354","クリティカルランス","致命长枪"
"能力","1","戦技アビリティ","战技能力","6355","クリティカルレイピア","致命细剑"
"能力","1","戦技アビリティ","战技能力","6356","クリティカルアックス","致命斧"
"能力","1","戦技アビリティ","战技能力","6357","クリティカルハンマー","致命锤击"
"能力","1","戦技アビリティ","战技能力","6358","クリティカルシックル","致命镰刀"
"能力","1","戦技アビリティ","战技能力","6359","クリティカルアロー","致命箭"
"能力","1","戦技アビリティ","战技能力","6360","クリティカルフレイル","致命铁球"
"能力","1","戦技アビリティ","战技能力","6361","クリティカルファン","致命扇"
"能力","1","戦技アビリティ","战技能力","6362","クリティカルバレット","致命子弹"
"能力","1","戦技アビリティ","战技能力","6363","落鳳","落凤"
"能力","1","戦技アビリティ","战技能力","6364","毒殺し","毒杀"
"能力","1","戦技アビリティ","战技能力","6365","闇を支配する者のレイピア","支配黑暗者的细剑"
"能力","1","戦技アビリティ","战技能力","6366","ヌルヌル殺しの刃","黏滑杀手的刀刃"
"能力","1","戦技アビリティ","战技能力","6367","暗闇からの槍先","来自黑暗的枪"
"能力","1","戦技アビリティ","战技能力","6368","暗闇からの斧撃","来自黑暗的斧击"
"能力","1","戦技アビリティ","战技能力","6369","追い打ちの鞭","追击的鞭子"
"能力","1","戦技アビリティ","战技能力","6370","快楽昇天の鞭","快乐升天的鞭子"
"能力","1","戦技アビリティ","战技能力","6371","粘度反応ブーメラン","粘度反应回旋镖"
"能力","1","戦技アビリティ","战技能力","6372","重刃必殺","重刃必杀"
"能力","1","戦技アビリティ","战技能力","6373","時刻みの拳","时刻之拳"
"能力","1","戦技アビリティ","战技能力","6374","快楽昇天の拳","快乐升天的拳"
"能力","1","戦技アビリティ","战技能力","6375","長物断ちのナイフ","长物斩断的小刀"
"能力","1","戦技アビリティ","战技能力","6376","勇気ある者の剣","勇者的剑"
"能力","1","戦技アビリティ","战技能力","6377","勇気を極めた剣","极致勇气的剑"
"能力","1","戦技アビリティ","战技能力","6378","必殺竜撃","必杀龙击"
"能力","1","戦技アビリティ","战技能力","6379","高貴なる決闘","高贵的决斗"
"能力","1","戦技アビリティ","战技能力","6380","破邪の刃","破邪之刃"
"能力","1","戦技アビリティ","战技能力","6381","蛇殺しの刃","蛇杀之刃"
"能力","1","戦技アビリティ","战技能力","6382","斬鉄","斩铁"
"能力","1","戦技アビリティ","战技能力","6383","鳥刺しの槍","刺鸟之枪"
"能力","1","戦技アビリティ","战技能力","6384","大樹断ちの斧","大树斩斧"
"能力","1","戦技アビリティ","战技能力","6385","スライム潰しの棍","史莱姆粉碎棍"
"能力","1","戦技アビリティ","战技能力","6386","使役者の鎌","使役者之镰"
"能力","1","戦技アビリティ","战技能力","6387","混沌を狩る鎌","混沌猎镰"
"能力","1","戦技アビリティ","战技能力","6388","獣狩りの矢","猎兽之矢"
"能力","1","戦技アビリティ","战技能力","6389","人狩りの矢","猎人之矢"
"能力","1","戦技アビリティ","战技能力","6390","アルフの弓技","亚尔夫的弓技"
"能力","1","戦技アビリティ","战技能力","6391","アンゴルモアの弓技","安哥尔摩亚的弓技"
"能力","1","戦技アビリティ","战技能力","6392","対カオス投射兵器","对混沌投射武器"
"能力","1","戦技アビリティ","战技能力","6393","獣狩りの鞭","猎兽之鞭"
"能力","1","戦技アビリティ","战技能力","6394","竜狩りの鞭","屠龙鞭"
"能力","1","戦技アビリティ","战技能力","6395","対LSサバイバルブーメラン","对LS生存回旋镖"
"能力","1","戦技アビリティ","战技能力","6396","対IPサバイバルブーメラン","对IP生存回旋镖"
"能力","1","戦技アビリティ","战技能力","6397","甲殻潰しの鉄球","破甲铁球"
"能力","1","戦技アビリティ","战技能力","6398","触手殺しの鉄球","触手杀手的铁球"
"能力","1","戦技アビリティ","战技能力","6399","扇舞決闘","扇舞决斗"
"能力","1","戦技アビリティ","战技能力","6400","自然破壊の弾丸","自然破坏弹丸"
"能力","1","戦技アビリティ","战技能力","6401","軟体殺刃","软体杀刃"
"能力","1","戦技アビリティ","战技能力","6402","竜滅の拳","龙灭之拳"
"能力","1","戦技アビリティ","战技能力","6403","成仏拳","成佛拳"
"能力","1","戦技アビリティ","战技能力","6404","光を断つ勇技","断光勇技"
"能力","1","戦技アビリティ","战技能力","6405","闇を断つ勇技","断暗勇技"
"能力","1","戦技アビリティ","战技能力","6406","猛毒のナイフ","剧毒之小刀"
"能力","1","戦技アビリティ","战技能力","6407","弱体剣技","弱化剑技"
"能力","1","戦技アビリティ","战技能力","6408","機先の剣","先机之剑"
"能力","1","戦技アビリティ","战技能力","6409","絶命の刃","绝命之刃"
"能力","1","戦技アビリティ","战技能力","6410","足止めの火矢","止步之火矢"
"能力","1","戦技アビリティ","战技能力","6411","猛毒のブーメラン","猛毒之回旋镖"
"能力","1","戦技アビリティ","战技能力","6412","アンチガードバレット","反防御子弹"
"能力","1","戦技アビリティ","战技能力","6413","重刃圧倒","重刃压倒"
"能力","1","戦技アビリティ","战技能力","6414","昇天拳","升天拳"
"能力","1","戦技アビリティ","战技能力","6415","神槍","神枪"
"能力","1","戦技アビリティ","战技能力","6416","邪剣","邪剑"
"能力","1","戦技アビリティ","战技能力","6417","修羅の刃","修罗之刃"
"能力","1","戦技アビリティ","战技能力","6418","修羅の弾丸","修罗之弹"
"能力","1","戦技アビリティ","战技能力","6419","目潰しの武技","致盲武技"
"能力","1","戦技アビリティ","战技能力","6420","時を紡ぐ拳","纺时之拳"
"能力","1","戦技アビリティ","战技能力","6421","チェイン・フルーレ","链・弗雷"
"能力","1","戦技アビリティ","战技能力","6422","チェイン・ノイエ","链・诺伊"
"能力","1","戦技アビリティ","战技能力","6423","チェイン・グランテ","链・格兰特"
"能力","1","戦技アビリティ","战技能力","6424","残心",""
"能力","1","戦技アビリティ","战技能力","6425","常時肉斬骨断","常时肉斩骨断"
"能力","1","戦技アビリティ","战技能力","6426","オート聖槍発動","自动圣枪发动"
"能力","1","戦技アビリティ","战技能力","6427","オーバーウェイト","超重"
"能力","1","戦技アビリティ","战技能力","6428","エクセリオン・クリア","火凤凰・清除"
"能力","1","戦技アビリティ","战技能力","6429","接触的侵蝕","接触性侵蚀"
"能力","1","戦技アビリティ","战技能力","6430","精神的侵蝕","精神性侵蚀"
"能力","1","戦技アビリティ","战技能力","6431","天軍逆撃","天军逆击"
"能力","1","戦技アビリティ","战技能力","6432","明星伏撃","明星伏击"
"能力","1","戦技アビリティ","战技能力","6433","巨人の暴虐","巨人的暴虐"
"能力","1","戦技アビリティ","战技能力","6434","戦の火蓋","战火揭幕"
"能力","1","戦技アビリティ","战技能力","6435","大戦の火蓋","大战揭幕"
"能力","1","戦技アビリティ","战技能力","6436","溜め持続","蓄力持续"
"能力","1","戦技アビリティ","战技能力","6437","溜め超持続","蓄力超持续"
"能力","1","戦技アビリティ","战技能力","6438","二重溜め","双重蓄力"
"能力","1","戦技アビリティ","战技能力","6439","プレスコンボ","压力连击"
"能力","1","戦技アビリティ","战技能力","6440","四回攻撃","四次攻击"
"能力","1","戦技アビリティ","战技能力","6441","六回攻撃","六次攻击"
"能力","1","戦技アビリティ","战技能力","6442","十六連乱れ撃ち","十六连乱击"
"能力","1","戦技アビリティ","战技能力","6443","滅捨身撃","灭舍身击"
"能力","1","戦技アビリティ","战技能力","6444","銀河属性付加","银河属性附加"
"能力","1","戦技アビリティ","战技能力","6445","修羅属性付加","修罗属性附加"
"能力","1","戦技アビリティ","战技能力","6446","ナイトメア属性付加","噩梦属性附加"
"能力","1","戦技アビリティ","战技能力","6447","核熱属性付加","核热属性附加"
"能力","1","戦技アビリティ","战技能力","6448","量子属性付加","量子属性附加"
"能力","1","戦技アビリティ","战技能力","6449","イオン属性付加","离子属性附加"
"能力","1","戦技アビリティ","战技能力","6450","ハドロン属性付加","强子属性附加"
"能力","1","戦技アビリティ","战技能力","6451","テラ属性付加","大地属性附加"
"能力","1","戦技アビリティ","战技能力","6452","ナノ属性付加","纳米属性附加"
"能力","1","戦技アビリティ","战技能力","6453","永劫属性付加","永劫属性附加"
"能力","1","戦技アビリティ","战技能力","6454","終焉属性付加","终焉属性附加"
