"能力ID","日文名称","日文所属","日文说明","可学习职业（日文，含等级）","可学习种族（日文，含等级）","所需AP","中文名称","中文所属","中文说明","可学习职业（中文，含等级）","可学习种族（中文，含等级）","技能类型ID"
"70","攻撃力50%アップ","戦技アビリティ","攻撃力が50%アップする","78:ジャスティスカイザー（Lv3）；7028:パーフェクトアームズ（Lv3）；7056:超魔生物（Lv3）","244:百獣王（Lv3）；291:神竜（Lv3）；361:ウェポンタイプ（Lv4）；370:熾天使（Lv3）；7445:巨神王（Lv5）","15","攻击力提升50%","战技能力","攻击力提升50%","78:正义凯撒（Lv3）；7028:完美武器（Lv3）；7056:超魔生物（Lv3）","244:百兽王（Lv3）；291:神龙（Lv3）；361:武器类型（Lv4）；370:炽天使（Lv3）；7445:巨神王（Lv5）","1"
"71","命中率5%アップ","戦技アビリティ","命中率が5%アップする","52:狩人（Lv3）","203:エルフ（Lv5）","3","命中率提升5%","战技能力","命中率提升5%","52:猎人（Lv3）","203:精灵（Lv5）","1"
"72","命中率10%アップ","戦技アビリティ","命中率が10%アップする","53:ボウマスター（Lv3）","204:ハイエルフ（Lv3）","6","命中率提升10%","战技能力","命中率提升10%","53:弓箭大师（Lv3）","204:高等精灵（Lv3）","1"
"73","命中率20%アップ","戦技アビリティ","命中率が20%アップする","54:神弓手（Lv3）；55:影狩人（Lv3）","205:マスターエルフ（Lv4）","9","命中率提升20%","战技能力","命中率提升20%","54:神射手（Lv3）；55:影猎人（Lv3）","205:大师精灵（Lv4）","1"
"74","完全必中","戦技アビリティ","必ず攻撃が命中する","7028:パーフェクトアームズ（Lv4）；7064:全テヲ撃チ抜ク者（Lv6）","212:クィーンエルフ（Lv5）","15","完全必中","战技能力","攻击必定命中","7028:完美武器（Lv4）；7064:全能击穿者（Lv6）","212:精灵女王（Lv5）","1"
"75","会心10%","戦技アビリティ","会心率が10%になる","22:武道家（Lv9）","","5","会心10%","战技能力","会心率增加10%","22:武道家（Lv9）","","1"
"76","会心30%","戦技アビリティ","会心率が30%になる","23:拳豪（Lv7）","","10","会心30%","战技能力","会心率增加30%","23:拳豪（Lv7）","","1"
"77","会心50%","戦技アビリティ","会心率が50%になる","25:邪拳王（Lv6）；7016:拳神（Lv5）","","15","会心50%","战技能力","会心率增加50%","25:邪拳王（Lv6）；7016:拳神（Lv5）","","1"
"78","完全会心","戦技アビリティ","必ず会心の一撃が発生する","7060:拳ヲ極メシ者（Lv11）","7451:邪神（Lv13）","25","完全会心","战技能力","必定触发会心一击","7060:拳之极致者（Lv11）","7451:邪神（Lv13）","1"
"79","瀕死時会心アップ","戦技アビリティ","瀕死時、会心率が50%アップする","","237:ミノタウロス（Lv8）","2","濒死时会心提升","战技能力","濒死时，会心率提升50%","","237:米诺陶洛斯（Lv8）","1"
"80","瀕死時絶対会心","戦技アビリティ","瀕死時、必ず会心の一撃が発生する","","238:ギガタウロス（Lv9）","5","濒死时绝对会心","战技能力","濒死时，必定触发会心一击","","238:巨型弥诺陶洛斯（Lv9）","1"
"81","カウンター10%","戦技アビリティ","カウンター率が10%になる","22:武道家（Lv5）","232:魔獣（Lv3）","4","反击10%","战技能力","反击率增加10%","22:武道家（Lv5）","232:魔兽（Lv3）","1"
"82","カウンター30%","戦技アビリティ","カウンター率が30%になる","23:拳豪（Lv5）","241:ねこまた（Lv5）；261:メデューサ（Lv3）","8","反击30%","战技能力","反击率增加30%","23:拳豪（Lv5）","241:猫又（Lv5）；261:美杜莎（Lv3）","1"
"83","カウンター50%","戦技アビリティ","カウンター率が50%になる","24:拳聖（Lv6）","242:武神キャット（Lv5）；262:ロードメデューサ（Lv3）","12","反击50%","战技能力","反击率增加50%","24:拳圣（Lv6）","242:武神猫（Lv5）；262:美杜莎领主（Lv3）","1"
"84","完全カウンター","戦技アビリティ","必ずカウンターが発生する","7016:拳神（Lv3）","244:百獣王（Lv6）","20","完全反击","战技能力","必定触发反击","7016:拳神（Lv3）","244:百兽王（Lv6）","1"
"85","魔法カウンター10%","戦技アビリティ","魔法カウンター率が10%になる","","232:魔獣（Lv8）","4","魔法反击10%","战技能力","魔法反击率增加10%","","232:魔兽（Lv8）","1"
"86","魔法カウンター30%","戦技アビリティ","魔法カウンター率が30%になる","26:魔導拳士（Lv3）","239:ケンタウロス（Lv3）","8","魔法反击30%","战技能力","魔法反击率增加30%","26:魔导拳士（Lv3）","239:马人（Lv3）","1"
"87","魔法カウンター50%","戦技アビリティ","魔法カウンター率が50%になる","27:フォースモンク（Lv3）","240:グランセントール（Lv4）","12","魔法反击50%","战技能力","魔法反击率增加50%","27:武僧（Lv3）","240:巨型半人马（Lv4）","1"
"88","完全魔法カウンター","戦技アビリティ","必ず魔法カウンターが発生する","7016:拳神（Lv4）","244:百獣王（Lv6）","20","完全魔法反击","战技能力","必定触发魔法反击","7016:拳神（Lv4）","244:百兽王（Lv6）","1"
"89","究極カウンター","戦技アビリティ","どんな攻撃にも必ずカウンターが発生する","","7422:時の神獣（Lv7）","35","究极反击","战技能力","任何攻击都必定触发反击","","7422:时之神兽（Lv7）","1"
"90","反撃ミニブースター","戦技アビリティ","カウンターの攻撃力が1段階アップする","30:バトルマスター（Lv5）","237:ミノタウロス（Lv4）","3","反击小增强","战技能力","反击攻击力提升1级","30:战斗大师（Lv5）","237:米诺陶洛斯（Lv4）","1"
"91","反撃ブースター","戦技アビリティ","カウンターの攻撃力が2段階アップする","31:バトルエンペラー（Lv4）","238:ギガタウロス（Lv4）","6","反击增强","战技能力","反击攻击力提升2级","31:战斗皇帝（Lv4）","238:巨型弥诺陶洛斯（Lv4）","1"
"92","粘液カウンター","戦技アビリティ","物理攻撃に対して、50%の確率で粘液カウンター","","228:肉食スライム（Lv8）；296:軟体搾精種（Lv7）","4","粘液反击","战技能力","对物理攻击，有50%的几率触发粘液反击","","228:肉食史莱姆（Lv8）；296:软体榨精种（Lv7）","1"
"93","消化粘液カウンター","戦技アビリティ","物理攻撃に対して、50%の確率で消化粘液カウンター","","229:淫酷の粘妖（Lv8）；297:ハイクリーチャー（Lv7）","6","消化粘液反击","战技能力","对物理攻击，有50%的几率触发消化粘液反击","","229:淫酷粘妖（Lv8）；297:高级生物（Lv7）","1"
"94","不屈の闘志","戦技アビリティ","瀕死時、全ての能力がアップする","77:正義のヒーロー（Lv9）","170:妖鬼（Lv5）","3","不屈的斗志","战技能力","濒死时，所有能力提升","77:正义的英雄（Lv9）","170:妖鬼（Lv5）","1"
"95","超不屈の闘志","戦技アビリティ","瀕死時、全ての能力が大きくアップする","78:ジャスティスカイザー（Lv8）","171:鬼神（Lv5）","6","超不屈的斗志","战技能力","濒死时，所有能力大幅提升","78:正义凯撒（Lv8）","171:鬼神（Lv5）","1"
"96","ランブル","戦技アビリティ","瀕死時にバーサク、HP・SP・MPがターン小回復","","163:半獣妖魔（Lv8）；248:狐魔獣（Lv3）","2","狂乱","战技能力","濒死时狂暴，HP・SP・MP回合小恢复","","163:半兽妖魔（Lv8）；248:狐魔兽（Lv3）","1"
"97","ウォーランブル","戦技アビリティ","瀕死時にバーサク、HP・SP・MPがターン大回復","","164:邪獣妖魔（Lv7）；249:上級狐魔獣（Lv3）","4","战争狂乱","战技能力","濒死时狂暴，HP・SP・MP回合大恢复","","164:邪兽妖魔（Lv7）；249:上级狐魔兽（Lv3）","1"
"98","孤独ゆえの強さ","戦技アビリティ","戦闘不能の仲間数に応じて全ての能力がアップする","77:正義のヒーロー（Lv6）","","3","因孤独而强大","战技能力","根据战斗不能的同伴数量，所有能力提升","77:正义的英雄（Lv6）","","1"
"99","超孤独ゆえの強さ","戦技アビリティ","戦闘不能の仲間数に応じて全ての能力が大きくアップする","78:ジャスティスカイザー（Lv6）","","6","超因孤独而强大","战技能力","根据战斗不能的同伴数量，所有能力大幅提升","78:正义凯撒（Lv6）","","1"
"100","二回攻撃","戦技アビリティ","通常攻撃を二連続で繰り出す","30:バトルマスター（Lv9）","164:邪獣妖魔（Lv8）；172:夜叉（Lv9）；236:疾空の魔獣（Lv6）；266:ハイスキュラ（Lv10）；351:下位アポトーシス（Lv8）","5","两次攻击","战技能力","普通攻击连续进行两次","30:战斗大师（Lv9）","164:邪兽妖魔（Lv8）；172:夜叉（Lv9）；236:疾空魔兽（Lv6）；266:高等斯库拉（Lv10）；351:下位凋零者（Lv8）","1"
"101","三回攻撃","戦技アビリティ","通常攻撃を三連続で繰り出す","31:バトルエンペラー（Lv3）","173:阿修羅（Lv9）；267:エルダースキュラ（Lv10）","10","三次攻击","战技能力","普通攻击连续进行三次","31:战斗皇帝（Lv3）","173:阿修罗（Lv9）；267:长老斯库拉（Lv10）","1"
"102","乱れ撃ち","戦技アビリティ","通常攻撃をランダムに四連続で繰り出す","31:バトルエンペラー（Lv9）","272:クィーンスキュラ（Lv10）；7447:X型アポトーシス（Lv9）","15","乱击","战技能力","普通攻击随机连续进行四次","31:战斗皇帝（Lv9）","272:斯库拉女王（Lv10）；7447:X型凋零者（Lv9）","1"
"103","皆伝乱れ撃ち","戦技アビリティ","通常攻撃をランダムに八連続で繰り出す","7028:パーフェクトアームズ（Lv2）","273:インフィニティスキュラ（Lv14）；7448:XX型アポトーシス（Lv15）","20","皆传乱击","战技能力","普通攻击随机连续进行八次","7028:完美武器（Lv2）","273:无限斯库拉（Lv14）；7448:XX型凋零者（Lv15）","1"
"104","全体攻撃","戦技アビリティ","通常攻撃が全体化する","74:ナイツオブラウンド（Lv2）","269:天下無双スキュラ（Lv7）；352:上位アポトーシス（Lv8）；367:ロードヴァルキュリア（Lv4）","8","全体攻击","战技能力","普通攻击变为全体攻击","74:圆桌骑士（Lv2）","269:天下无双斯库拉（Lv7）；352:上位凋零者（Lv8）；367:女武神领主（Lv4）","1"
"105","捨身撃","戦技アビリティ","通常攻撃の威力が大幅に上がるが、そのターンの防御力が低下する","29:ゴッドハンド（Lv4）","311:冥蟲（Lv7）","2","舍身击","战技能力","普通攻击威力大幅上升，但该回合防御力下降","29:神之手（Lv4）","311:冥虫（Lv7）","1"
"106","魔導撃","戦技アビリティ","通常攻撃でMPを消費し大ダメージを与える","26:魔導拳士（Lv7）","178:モンクサキュバス（Lv9）","3","魔导击","战技能力","普通攻击消耗MP造成大伤害","26:魔导拳士（Lv7）","178:僧侣魅魔（Lv9）","1"
"107","リベンジアタック","戦技アビリティ","戦闘不能になっている味方の数だけ通常攻撃の威力が増す","91:ゴッドファーザー（Lv6）","313:マザーレギオン（Lv8）","4","复仇攻击","战技能力","战斗不能的队友数量越多，普通攻击威力越大","91:教父（Lv6）","313:母军团（Lv8）","1"
"108","ドレインアタック","戦技アビリティ","通常攻撃で敵のHPを吸収する","113:魔芸師（Lv10）","155:ワームサマナー（Lv7）；178:モンクサキュバス（Lv9）；336:ゴースト（Lv10）","8","吸血攻击","战技能力","普通攻击吸收敌人HP","113:魔艺师（Lv10）","155:蠕虫召唤师（Lv7）；178:僧侣魅魔（Lv9）；336:幽灵（Lv10）","1"
"109","吸魔撃","戦技アビリティ","通常攻撃で敵のMPにダメージを与え、吸収する
即死効果が発生する事がある","27:フォースモンク（Lv6）","156:マスターホムンクル（Lv9）；179:淫闘サキュバス（Lv9）；337:エビルミスト（Lv10）","10","吸魔击","战技能力","普通攻击对敌人MP造成伤害并吸收
有时会产生即死效果","27:武僧（Lv6）","156:大师人造人（Lv9）；179:淫斗魅魔（Lv9）；337:邪恶迷雾（Lv10）","1"
"110","暗黒","戦技アビリティ","通常攻撃の威力が大幅に上がるが最大HPの2%を消費する","4:魔剣士（Lv4）；25:邪拳王（Lv7）","","5","黑暗","战技能力","普通攻击威力大幅上升，但消耗最大HP的2%","4:魔剑士（Lv4）；25:邪拳王（Lv7）","","1"
"111","でたらめ攻撃","戦技アビリティ","通常攻撃が敵味方を問わず乱れ飛ぶが、SPの回復値が高い","","268:サムライスキュラ（Lv9）","1","胡乱攻击","战技能力","普通攻击不分敌我乱飞，但SP恢复值高","","268:剑士斯库拉（Lv9）","1"
"112","一掃の居合い","戦技アビリティ","戦闘開始時、敵を一掃する居合いを一定確率で放つ","","291:神竜（Lv7）","10","一扫而空的一刀","战技能力","战斗开始时，有一定概率释放一扫敌人的居合斩","","291:神龙（Lv7）","1"
"113","必滅の居合い","戦技アビリティ","戦闘開始時、敵を一掃する居合いを必ず放つ","","7427:虚竜（Lv8）","15","必灭的一刀","战技能力","战斗开始时，必定释放一扫敌人的居合斩","","7427:虚龙（Lv8）","1"
"115","人間特攻","戦技アビリティ","人間に対して特攻ダメージを与える","","298:魔物狩り狩り（Lv7）；329:ハイアンデッド（Lv6）","12","人类特攻","战技能力","对人类造成特攻伤害","","298:魔物狩猎（Lv7）；329:高级不死族（Lv6）","1"
"116","妖魔特攻","戦技アビリティ","妖魔に対して特攻ダメージを与える","61:デビルサマナー（Lv4）；142:勇者（Lv4）","364:上位天使（Lv3）","12","妖魔特攻","战技能力","对妖魔造成特攻伤害","61:恶魔召唤师（Lv4）；142:勇者（Lv4）","364:上位天使（Lv3）","1"
"117","亜人特攻","戦技アビリティ","亜人に対して特攻ダメージを与える","42:陰陽師（Lv6）","367:ロードヴァルキュリア（Lv5）","12","亚人特攻","战技能力","对亚人造成特攻伤害","42:阴阳师（Lv6）","367:女武神领主（Lv5）","1"
"118","淫魔特攻","戦技アビリティ","淫魔に対して特攻ダメージを与える","6:ホーリーナイト（Lv5）；142:勇者（Lv4）","284:竜人（Lv6）","12","淫魔特攻","战技能力","对淫魔造成特攻伤害","6:圣骑士（Lv5）；142:勇者（Lv4）","284:龙人（Lv6）","1"
"119","吸血鬼特攻","戦技アビリティ","吸血鬼に対して特攻ダメージを与える","6:ホーリーナイト（Lv7）；142:勇者（Lv4）","284:竜人（Lv8）；367:ロードヴァルキュリア（Lv7）","12","吸血鬼特攻","战技能力","对吸血鬼造成特攻伤害","6:圣骑士（Lv7）；142:勇者（Lv4）","284:龙人（Lv8）；367:女武神领主（Lv7）","1"
"120","人魚特攻","戦技アビリティ","人魚に対して特攻ダメージを与える","68:海賊（Lv5）","304:深海搾精種（Lv6）","12","人鱼特攻","战技能力","对人鱼造成特攻伤害","68:海贼（Lv5）","304:深海榨精种（Lv6）","1"
"121","エルフ特攻","戦技アビリティ","エルフに対して特攻ダメージを与える","55:影狩人（Lv7）","298:魔物狩り狩り（Lv7）","12","精灵特攻","战技能力","对精灵造成特攻伤害","55:影猎人（Lv7）","298:魔物狩猎（Lv7）","1"
"122","妖精特攻","戦技アビリティ","妖精に対して特攻ダメージを与える","55:影狩人（Lv8）","","12","妖精特攻","战技能力","对妖精造成特攻伤害","55:影猎人（Lv8）","","1"
"123","スライム特攻","戦技アビリティ","スライムに対して特攻ダメージを与える","141:見習い勇者（Lv4）","170:妖鬼（Lv7）","12","史莱姆特攻","战技能力","对史莱姆造成特攻伤害","141:见习勇者（Lv4）","170:妖鬼（Lv7）","1"
"124","魔獣特攻","戦技アビリティ","魔獣に対して特攻ダメージを与える","52:狩人（Lv7）","235:スピードビースト（Lv7）","12","魔兽特攻","战技能力","对魔兽造成特攻伤害","52:猎人（Lv7）","235:速度兽（Lv7）","1"
"125","妖狐特攻","戦技アビリティ","妖狐に対して特攻ダメージを与える","","239:ケンタウロス（Lv5）；277:ハーピーナイト（Lv5）","12","妖狐特攻","战技能力","对妖狐造成特攻伤害","","239:马人（Lv5）；277:哈比骑士（Lv5）","1"
"126","ラミア特攻","戦技アビリティ","ラミアに対して特攻ダメージを与える","54:神弓手（Lv7）","265:スキュラ（Lv8）；280:ガルーダ（Lv7）","12","拉米亚特攻","战技能力","对拉米亚造成特攻伤害","54:神射手（Lv7）","265:斯库拉（Lv8）；280:迦楼罗（Lv7）","1"
"127","スキュラ特攻","戦技アビリティ","スキュラに対して特攻ダメージを与える","54:神弓手（Lv8）","255:ラミアンボア（Lv6）；280:ガルーダ（Lv8）","12","斯库拉特攻","战技能力","对斯库拉造成特攻伤害","54:神射手（Lv8）","255:拉米亚波亚（Lv6）；280:迦楼罗（Lv8）","1"
"128","ハーピー特攻","戦技アビリティ","ハーピーに対して特攻ダメージを与える","9:竜騎士（Lv5）","223:スライム（Lv8）","12","对哈比特攻","战技能力","对哈比造成特攻伤害","9:龙骑士（Lv5）","223:史莱姆（Lv8）","1"
"129","竜特攻","戦技アビリティ","ドラゴンに対して特攻ダメージを与える","60:ドラゴン使い（Lv4）","240:グランセントール（Lv6）；278:スカイハイ（Lv5）","12","龙特攻","战技能力","对龙造成特攻伤害","60:龙使（Lv4）","240:巨型半人马（Lv6）；278:至高天（Lv5）","1"
"130","陸棲種特攻","戦技アビリティ","陸棲種に対して特攻ダメージを与える","52:狩人（Lv7）","279:エイビス（Lv6）","12","陆栖种特攻","战技能力","对陆栖种造成特攻伤害","52:猎人（Lv7）","279:龙鸟（Lv6）","1"
"131","海棲種特攻","戦技アビリティ","海棲種に対して特攻ダメージを与える","75:海兵（Lv6）","304:深海搾精種（Lv6）","12","海栖种特攻","战技能力","对海栖种造成特攻伤害","75:海兵（Lv6）","304:深海榨精种（Lv6）","1"
"132","虫特攻","戦技アビリティ","虫に対して特攻ダメージを与える","53:ボウマスター（Lv8）；129:メイド（Lv8）","279:エイビス（Lv6）","12","虫特攻","战技能力","对虫造成特攻伤害","53:弓箭大师（Lv8）；129:女仆（Lv8）","279:龙鸟（Lv6）","1"
"133","植物特攻","戦技アビリティ","植物に対して特攻ダメージを与える","53:ボウマスター（Lv8）；129:メイド（Lv9）","172:夜叉（Lv7）","12","植物特攻","战技能力","对植物造成特攻伤害","53:弓箭大师（Lv8）；129:女仆（Lv9）","172:夜叉（Lv7）","1"
"134","ゾンビ特攻","戦技アビリティ","ゾンビに対して特攻ダメージを与える","5:聖堂騎士（Lv6）；114:ネクロマンサー（Lv5）","334:デスプロフェッサー（Lv3）；366:ヴァルキリー（Lv5）","12","僵尸特攻","战技能力","对僵尸造成特攻伤害","5:圣堂骑士（Lv6）；114:死灵法师（Lv5）","334:死亡教授（Lv3）；366:瓦尔基里（Lv5）","1"
"135","ゴースト特攻","戦技アビリティ","ゴーストに対して特攻ダメージを与える","5:聖堂騎士（Lv7）；116:降霊術師（Lv5）","366:ヴァルキリー（Lv7）","12","幽灵特攻","战技能力","对幽灵造成特攻伤害","5:圣堂骑士（Lv7）；116:降灵术士（Lv5）","366:瓦尔基里（Lv7）","1"
"136","ドール特攻","戦技アビリティ","ドールに対して特攻ダメージを与える","111:マキナマイスター（Lv6）；118:からくり人形師（Lv5）","","12","人偶特攻","战技能力","对人偶造成特攻伤害","111:器械工匠（Lv6）；118:机关人偶师（Lv5）","","1"
"137","キメラ特攻","戦技アビリティ","キメラに対して特攻ダメージを与える","104:魔導学者（Lv6）","","12","奇美拉特攻","战技能力","对奇美拉造成特攻伤害","104:魔导学者（Lv6）","","1"
"138","天使特攻","戦技アビリティ","天使に対して特攻ダメージを与える","144:闇の勇者（Lv5）","365:堕天使（Lv3）","12","天使特攻","战技能力","对天使造成特攻伤害","144:暗之勇者（Lv5）","365:堕天使（Lv3）","1"
"139","巨体特攻","戦技アビリティ","巨体の敵に対して特攻ダメージを与える","","299:巨人殺し（Lv7）","12","巨体特攻","战技能力","对巨型敌人造成特攻伤害","","299:巨人杀手（Lv7）","1"
"140","炎属性付加","戦技アビリティ","物理攻撃に炎属性を付加する","35:灼熱魔導師（Lv4）","159:上級妖魔（Lv6）","15","炎属性附加","战技能力","物理攻击附加炎属性","35:灼热魔导师（Lv4）","159:上级妖魔（Lv6）","1"
"141","氷属性付加","戦技アビリティ","物理攻撃に氷属性を付加する","36:輝氷魔導師（Lv4）","168:妖怪（Lv5）","15","冰属性附加","战技能力","物理攻击附加冰属性","36:辉冰魔导师（Lv4）","168:妖怪（Lv5）","1"
"142","雷属性付加","戦技アビリティ","物理攻撃に雷属性を付加する","37:極雷魔導師（Lv4）","187:マージヴァンパイア（Lv7）","15","雷属性附加","战技能力","物理攻击附加雷属性","37:极雷魔导师（Lv4）","187:合并吸血鬼（Lv7）","1"
