"敌人ID","日本敌人名称","入队概率分母","基础入队概率","关联角色ID","日本角色名称","Faces路径","Faces索引","Battlers路径","敌人Cut-inPictures路径","角色Cut-inPictures路径","中文敌人名称","中文角色名称"
"18","羊娘","2","1/2（50.00%）","75","メリー","Graphics/Faces/hituzi_fc1","3","Graphics/Battlers/50_hituzi_st01","Graphics/Pictures/80_hituzi_st04","Graphics/Pictures/80_hituzi_st04","羊娘","梅丽"
"19","シュリー","4","1/4（25.00%）","76","シュリー","Graphics/Faces/syuree_fc1","0","Graphics/Battlers/50_syuree_st01","","Graphics/Pictures/ct_syuree1","修莉","修莉"
"20","ジェイド","4","1/4（25.00%）","77","ジェイド","Graphics/Faces/jeid_fc1","0","Graphics/Battlers/50_jeid_st01","","Graphics/Pictures/ct_jeid1","杰伊德","杰伊德"
"21","シェスタ","4","1/4（25.00%）","78","シェスタ","Graphics/Faces/syesta_fc1","0","Graphics/Battlers/50_syesta_st01","Graphics/Pictures/ct_syesta1","Graphics/Pictures/ct_syesta1","谢丝塔","谢丝塔"
"23","オーク娘","2","1/2（50.00%）","80","ヒップ","Graphics/Faces/orc_fc1","0","Graphics/Battlers/50_orc_st01","Graphics/Pictures/ct_orc1","Graphics/Pictures/ct_orc1","兽人娘","臀部"
"24","ミツバチ娘","2","1/2（50.00%）","81","ハニー","Graphics/Faces/mitubati_fc1","0","Graphics/Battlers/50_mitubati_st01","Graphics/Pictures/ct_mitubati1","Graphics/Pictures/ct_mitubati1","蜜蜂娘","甜心"
"25","スズメ娘","2","1/2（50.00%）","82","ちゅん","Graphics/Faces/suzume_fc1","0","Graphics/Battlers/50_suzume_st01","","Graphics/Pictures/ct_suzume1","麻雀娘","鹑"
"26","ハーピー","2","1/2（50.00%）","83","レイナ","Graphics/Faces/hapy_a_fc1","0","Graphics/Battlers/80_hapy_a_st01","Graphics/Pictures/80_hapy_a_st01","Graphics/Pictures/80_hapy_a_st01","哈比","蕾娜"
"27","ハーピーツインズ","3","1/3（33.33%）","84","ピナ＆ピィ","Graphics/Faces/hapy_bc_fc1","0","Graphics/Battlers/80_hapy_bc_st01","Graphics/Pictures/80_hapy_bc_st01","Graphics/Pictures/80_hapy_bc_st01","哈比姐妹","皮娜＆皮伊"
"29","ハイスラッグ娘","3","1/3（33.33%）","85","エリザベス","Graphics/Faces/highslag_fc1","0","Graphics/Battlers/50_highslag_st01","","Graphics/Pictures/ct_highslag1","高阶蛞蝓娘","艾利莎贝"
"30","ナメクジシスター","4","1/4（25.00%）","86","ロザリオ","Graphics/Faces/name_s_fc1","0","Graphics/Battlers/50_name_s_st01","Graphics/Pictures/80_name_s_st01","Graphics/Pictures/80_name_s_st01","蛞蝓修女","罗莎莉奥"
"32","ジャックオーランタン","2","1/2（50.00%）","88","かぼちゃ","Graphics/Faces/jack_fc1","0","Graphics/Battlers/50_jack_st01","Graphics/Pictures/ct_jack1","Graphics/Pictures/ct_jack1","杰克灯笼","南瓜"
"33","ローパー娘","4","1/4（25.00%）","89","シンディ","Graphics/Faces/ropa_fc1","0","Graphics/Battlers/50_ropa_st01","Graphics/Pictures/ct_ropa1","Graphics/Pictures/ct_ropa1","树绳妖娘","辛蒂"
"34","メーダ娘","4","1/4（25.00%）","90","メルメル","Graphics/Faces/meda_fc1","0","Graphics/Battlers/50_meda_st01","","Graphics/Pictures/ct_meda1","梅达娘","梅鲁梅鲁"
"35","キャンドル娘","4","1/4（25.00%）","91","キャンドラ","Graphics/Faces/candle_fc1","0","Graphics/Battlers/50_candle_st01","Graphics/Pictures/ct_candle1","Graphics/Pictures/ct_candle1","蜡烛娘","坎德拉"
"36","イーター","4","1/4（25.00%）","92","イーター","Graphics/Faces/eater_fc1","0","Graphics/Battlers/50_eater_st01","Graphics/Pictures/ct_eater1","Graphics/Pictures/ct_eater1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","伊塔","伊塔"
"37","ライオット","4","1/4（25.00%）","93","ライオット","Graphics/Faces/liot_fc1","0","Graphics/Battlers/50_liot_st01","","Graphics/Pictures/ct_liot1","莱奥特","莱奥特"
"38","ルクスル","4","1/4（25.00%）","94","ルクスル","Graphics/Faces/luksl_fc1","0","Graphics/Battlers/50_luksl_st01","","Graphics/Pictures/80_luksl_st01","露克斯","露克斯"
"39","ダークエルフ","3","1/3（33.33%）","95","ロナ","Graphics/Faces/delh_a_fc1","0","Graphics/Battlers/50_delh_a_st01","Graphics/Pictures/80_delh_a_st01","Graphics/Pictures/80_delh_a_st01；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3","暗精灵","罗娜"
"40","ダークエルフ","4","1/4（25.00%）","96","マリオン","Graphics/Faces/delh_b_fc1","0","Graphics/Battlers/50_delh_b_st01","","Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3","暗精灵","玛丽昂"
"41","フェアリー","2","1/2（50.00%）","97","フェル","Graphics/Faces/fairy_fc1","0","Graphics/Battlers/50_fairy_st01","Graphics/Pictures/80_fairy_st01","Graphics/Pictures/80_fairy_st01","妖精","菲尔"
"42","ミニカニ娘","4","1/4（25.00%）","98","エイミ","Graphics/Faces/minikani_fc1","0","Graphics/Battlers/50_minikani_st01","","Graphics/Pictures/ct_minikani1","迷你蟹娘","艾米"
"43","ナマズ娘","4","1/4（25.00%）","99","ギギ","Graphics/Faces/namazu_fc1","0","Graphics/Battlers/50_namazu_st01","Graphics/Pictures/80_namazu_st01","Graphics/Pictures/80_namazu_st01","鲶鱼娘","吉吉"
"44","ラフレシア娘","4","1/4（25.00%）","100","フレシア","Graphics/Faces/rahure_fc1","0","Graphics/Battlers/50_rahure_st01","Graphics/Pictures/80_rahure_st01","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/80_rahure_st01；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","霸王花娘","芙莉西亚"
"45","セントール","2","1/2（50.00%）","101","リヒティーヌ","Graphics/Faces/cent2_fc1","0","Graphics/Battlers/50_cent2_st01","Graphics/Pictures/ct_cent2_1","Graphics/Pictures/ct_cent2_1","半人马","莉希蒂娜"
"46","銀狐二尾","2","1/2（50.00%）","102","きつね","Graphics/Faces/youko_fc1","0","Graphics/Battlers/50_youko_st01","Graphics/Pictures/80_youko_st01","Graphics/Pictures/80_youko_st01","银狐二尾","狐狸"
"47","かむろ二尾","2","1/2（50.00%）","103","かむろ","Graphics/Faces/kamuro_fc1","0","Graphics/Battlers/50_kamuro_st01","Graphics/Pictures/80_kamuro_st01","Graphics/Pictures/80_kamuro_st01","神室二尾","神室"
"48","クモ娘","5","1/5（20.00%）","104","ラクネ","Graphics/Faces/kumo_fc1","0","Graphics/Battlers/80_kumo_st01","","Graphics/Pictures/ct_kumo1","蜘蛛娘","拉克涅"
"49","ミミック娘","5","1/5（20.00%）","105","ミネリ","Graphics/Faces/mimic_fc1","0","Graphics/Battlers/80_mimic_st01","Graphics/Pictures/80_mimic_st01","Graphics/Pictures/80_mimic_st01","宝箱娘","米内莉"
"52","ナマコ娘","4","1/4（25.00%）","107","ユメ","Graphics/Faces/namako_fc1","0","Graphics/Battlers/50_namako_st01","","Graphics/Pictures/ct_namako1","海参娘","梦"
"53","貝娘","4","1/4（25.00%）","108","シェリー","Graphics/Faces/kai_fc1","0","Graphics/Battlers/50_kai_st01","","Graphics/Pictures/ct_kai1","贝娘","雪莉"
"54","カニ娘","3","1/3（33.33%）","109","ソープ","Graphics/Faces/kani_fc1","0","Graphics/Battlers/50_kani_st01","","Graphics/Pictures/ct_kani1","螃蟹娘","索普"
"55","スライムベス娘","2","1/2（50.00%）","110","ベス","Graphics/Faces/slimelord_fc1","0","Graphics/Battlers/50_slimelord_st01","Graphics/Pictures/80_slimelord_st01","Graphics/Pictures/80_slimelord_st01","史莱姆贝丝娘","贝丝"
"56","スイカ娘","4","1/4（25.00%）","111","メロン","Graphics/Faces/suika_fc1","0","Graphics/Battlers/50_suika_st02","Graphics/Pictures/ct_suika1","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_suika1；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","西瓜娘","蜜瓜"
"57","ウツボカズラ娘","4","1/4（25.00%）","112","かずら","Graphics/Faces/utubo_fc1","0","Graphics/Battlers/50_utubo_st01","Graphics/Pictures/ct_utubo3","Graphics/Pictures/ct_utubo3；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_haetori2","猪笼草娘","葛"
"58","ラミア","3","1/3（33.33%）","113","アナスタシア","Graphics/Faces/lamia_fc1","0","Graphics/Battlers/80_lamia_st01","Graphics/Pictures/80_lamia_st01","Graphics/Pictures/80_lamia_st01","拉米亚","安娜塔西亚"
"59","ワカメ娘","4","1/4（25.00%）","114","わかめ","Graphics/Faces/wakame_fc1","0","Graphics/Battlers/50_wakame_st01","Graphics/Pictures/ct_wakame1","Graphics/Pictures/ct_wakame1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","裙带菜娘","海带"
"60","クラゲ娘","4","1/4（25.00%）","115","くらげ","Graphics/Faces/kurage_fc1","0","Graphics/Battlers/50_kurage_st01","","Graphics/Pictures/ct_kurage1","海蜇娘","水母"
"61","イソギンチャク娘","4","1/4（25.00%）","116","イザベル","Graphics/Faces/iso_fc1","0","Graphics/Battlers/80_iso_st01","Graphics/Pictures/ct_iso1","Graphics/Pictures/ct_iso1","海葵娘","伊莎贝尔"
"62","アンコウ娘","4","1/4（25.00%）","117","あんこ","Graphics/Faces/ankou_fc1","0","Graphics/Battlers/50_ankou_st01","","Graphics/Pictures/80_ankou_st01","鮟鱇鱼娘","豆沙"
"64","17ページ","3","1/3（33.33%）","119","アニー","Graphics/Faces/page17_fc1","0","Graphics/Battlers/50_page17_st01","Graphics/Pictures/ct_page17_1","Graphics/Pictures/ct_page17_1","17页","安妮"
"65","257ページ","4","1/4（25.00%）","120","ヨーコ","Graphics/Faces/page257_fc1","0","Graphics/Battlers/50_page257_st01","Graphics/Pictures/ct_page257_1","Graphics/Pictures/ct_page257_1","257页","洋子"
"67","シスターラミア","4","1/4（25.00%）","122","ソフィア","Graphics/Faces/sisterlamia_fc1","0","Graphics/Battlers/50_sisterlamia_st01","","Graphics/Pictures/80_sisterlamia_st25；Graphics/Pictures/80_sisterlamia_st22；Graphics/Pictures/80_sisterlamia_st04","修女拉米亚","索菲亚"
"68","シスキュバス","4","1/4（25.00%）","123","クリスティー","Graphics/Faces/sisccubus_fc1","0","Graphics/Battlers/50_sisccubus_st01","Graphics/Pictures/ct_sisccubus1","Graphics/Pictures/ct_sisccubus1","修女魅魔","克莉丝蒂娜"
"69","アリクイ娘","4","1/4（25.00%）","124","杏奈","Graphics/Faces/arikui_fc1","0","Graphics/Battlers/50_arikui_st01","Graphics/Pictures/ct_arikui1","Graphics/Pictures/ct_arikui1","食蚁兽娘","杏奈"
"70","グリズリー娘","3","1/3（33.33%）","125","アイシャ","Graphics/Faces/grizzly_fc1","0","Graphics/Battlers/50_grizzly_st01","Graphics/Pictures/ct_grizzly1","Graphics/Pictures/ct_grizzly1","灰熊娘","艾莎"
"71","XX-7","4","1/4（25.00%）","126","ロビン","Graphics/Faces/XX-7_fc1","0","Graphics/Battlers/50_XX-7_st01","","Graphics/Pictures/ct_XX-7_1","XX-7","罗宾"
"72","リトルバグ","4","1/4（25.00%）","127","リッピー","Graphics/Faces/littlebug_fc1","0","Graphics/Battlers/50_littlebug_st01","Graphics/Pictures/ct_littlebug1","Graphics/Pictures/ct_littlebug1","小虫","莉皮"
"73","キャンサーロイド","5","1/5（20.00%）","128","ジリアン","Graphics/Faces/kaniloid_fc1","0","Graphics/Battlers/80_kaniloid_st01","","Graphics/Pictures/ct_kaniloid1","巨蟹机器人","吉莉安"
"75","ゴースト","3","1/3（33.33%）","130","キャリー","Graphics/Faces/ghost_fc1","0","Graphics/Battlers/50_ghost_st01","Graphics/Pictures/ct_ghost1","Graphics/Pictures/ct_ghost1","幽灵","嘉莉"
"76","呪いの人形娘","3","1/3（33.33%）","131","みやび","Graphics/Faces/doll_fc1","0","Graphics/Battlers/50_doll_st01","","Graphics/Pictures/ct_doll1","诅咒人偶娘","美雅"
"77","ゾンビ剣士","3","1/3（33.33%）","132","エリィ","Graphics/Faces/zonbe_fc2","0","Graphics/Battlers/50_zonbe_st11","Graphics/Pictures/ct_zonbe1","Graphics/Pictures/ct_zonbe1","僵尸剑士","艾莉"
"78","ゾンビ娘","4","1/4（25.00%）","133","ゾンビーズ","Graphics/Faces/zonbe_fc3","3","Graphics/Battlers/50_zonbe_st21","","Graphics/Pictures/80_zonbe_st21","僵尸娘","僵尸们"
"84","エルフ","3","1/3（33.33%）","136","クローディア","Graphics/Faces/elf_fc1","0","Graphics/Battlers/50_elf_st01","Graphics/Pictures/80_elf_st01","Graphics/Pictures/80_elf_st01；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3","精灵","克劳蒂娅"
"85","ブラウニーズ","4","1/4（25.00%）","137","ラブ＆ラム","Graphics/Faces/braunys_fc1","6","Graphics/Battlers/50_braunys_st01","Graphics/Pictures/80_braunys_st01","Graphics/Pictures/80_braunys_st01","棕精灵们","拉布＆拉姆"
"86","ツインズフェアリー","4","1/4（25.00%）","138","ミル＆リル","Graphics/Faces/tfairy_fc1","0","Graphics/Battlers/50_tfairy_st01","Graphics/Pictures/80_tfairy_st01","Graphics/Pictures/80_tfairy_st01","小仙子姐妹","米尔与莉尔"
"87","フェアリーズ","4","1/4（25.00%）","139","フェアリーズ","Graphics/Faces/fairys_fc1","3","Graphics/Battlers/50_fairys_st01","","Graphics/Pictures/80_fairys_st01","小仙子们","小仙子们"
"95","タランチュラ娘","4","1/4（25.00%）","140","ラチュラ","Graphics/Faces/taran_fc1","0","Graphics/Battlers/50_taran_st01","Graphics/Pictures/ct_taran1","Graphics/Pictures/ct_taran1","塔兰图拉毒蛛娘","塔图拉"
"96","ミノタウロス娘","3","1/3（33.33%）","141","ミナ","Graphics/Faces/mino_fc1","0","Graphics/Battlers/80_mino_st01","Graphics/Pictures/80_mino_st01","Graphics/Pictures/80_mino_st01","米诺陶洛斯娘","米娜"
"97","バンダースナッチ娘","4","1/4（25.00%）","142","バナッチ","Graphics/Faces/bander_fc1","0","Graphics/Battlers/80_bander_st01","Graphics/Pictures/ct_bander1","Graphics/Pictures/ct_bander1","攫速者娘","巴纳奇"
"99","サボレス","3","1/3（33.33%）","144","サニー","Graphics/Faces/saboresu_fc1","0","Graphics/Battlers/50_saboresu_st01","Graphics/Pictures/80_saboresu_st01","Graphics/Pictures/80_saboresu_st01","萨博雷斯","萨妮"
"100","ムカデ娘","4","1/4（25.00%）","145","ヴァネッサ","Graphics/Faces/mukade_fc1","0","Graphics/Battlers/50_mukade_st01","","Graphics/Pictures/ct_mukade1","蜈蚣娘","温妮莎"
"101","サソリ娘","3","1/3（33.33%）","146","スカーレット","Graphics/Faces/sasori_fc1","0","Graphics/Battlers/50_sasori_st01","Graphics/Pictures/ct_sasori1","Graphics/Pictures/ct_sasori1","蝎娘","斯卡蕾特"
"102","サボテン娘","4","1/4（25.00%）","147","キャスタ","Graphics/Faces/saboten_fc1","0","Graphics/Battlers/50_saboten_st01","","Graphics/Pictures/ct_saboten1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","仙人掌娘","卡斯塔"
"103","ダチョウ娘","3","1/3（33.33%）","148","ミュー","Graphics/Faces/datyou_fc1","0","Graphics/Battlers/50_datyou_st01","Graphics/Pictures/80_datyou_st04","Graphics/Pictures/80_datyou_st04","鸵鸟娘","缪"
"104","ランプの魔女","4","1/4（25.00%）","149","ジーニー","Graphics/Faces/lamp_fc1","0","Graphics/Battlers/50_lamp_st21","Graphics/Pictures/ct_lamp1","Graphics/Pictures/ct_lamp1","神灯魔女","吉妮"
"105","ミイラ娘","3","1/3（33.33%）","150","パトラ","Graphics/Faces/mummy_fc1","0","Graphics/Battlers/50_mummy_st01","","Graphics/Pictures/ct_mummy1","木乃伊娘","帕特拉"
"106","コブラ娘","4","1/4（25.00%）","151","ライラ","Graphics/Faces/kobura_fc1","0","Graphics/Battlers/50_kobura_st01","Graphics/Pictures/ct_kobura1","Graphics/Pictures/ct_kobura1","眼镜蛇娘","莱拉"
"107","ネフェルラミアス","4","1/4（25.00%）","152","ネフェルラミアス","Graphics/Faces/lamias_fc2","4","Graphics/Battlers/80_lamias_st01","Graphics/Pictures/80_lamias_st01","Graphics/Pictures/80_lamias_st01","奈夫顿拉米亚集团","奈夫顿拉米亚集团"
"111","ワニ娘","4","1/4（25.00%）","154","ガー","Graphics/Faces/wani_fc1","0","Graphics/Battlers/50_wani_st01","Graphics/Pictures/80_wani_st01","Graphics/Pictures/80_wani_st01","鳄鱼娘","咬咬"
"113","デビルファイター","3","1/3（33.33%）","156","レジーナ","Graphics/Faces/d_fighter_fc1","0","Graphics/Battlers/50_d_fighter_st01","Graphics/Pictures/ct_d_fighter1","Graphics/Pictures/ct_d_fighter1","恶魔战士","蕾吉娜"
"114","大蜘蛛","4","1/4（25.00%）","157","アシダカ","Graphics/Faces/oogumo_fc1","0","Graphics/Battlers/50_oogumo_st01","Graphics/Pictures/80_oogumo_st01","Graphics/Pictures/80_oogumo_st01","大蜘蛛","阿茜达卡"
"115","サックボア","4","1/4（25.00%）","158","アンナ","Graphics/Faces/suckvore_fc1","2","Graphics/Battlers/50_suckvore_st01","Graphics/Pictures/80_suckvore_st01","Graphics/Pictures/80_suckvore_st01；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_hiru1","榨精生物","安娜"
"116","アイアンメイデン","5","1/5（20.00%）","159","メイデン","Graphics/Faces/ironmaiden_fc1","0","Graphics/Battlers/50_ironmaiden_st01","Graphics/Pictures/ct_ironmaiden1","Graphics/Pictures/ct_ironmaiden1；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1；Graphics/Pictures/80_ironmaiden_st11","铁处女","梅登"
"117","ワームビレッジャ","4","1/4（25.00%）","160","ユリア","Graphics/Faces/wormv_fc1","0","Graphics/Battlers/80_wormv_st01","Graphics/Pictures/ct_wormv1","Graphics/Pictures/ct_wormv1；Graphics/Pictures/ct_hiru4","蠕虫村姑","尤莉亚"
"118","ウーストレル","4","1/4（25.00%）","161","レモン","Graphics/Faces/ustrel_fc1","0","Graphics/Battlers/50_ustrel_st01","Graphics/Pictures/ct_ustrel1","Graphics/Pictures/80_ustrel_st01；Graphics/Pictures/ct_ustrel1；Graphics/Pictures/ct_hiru3","乌斯托尔","柠檬"
"119","蜜壺","5","1/5（20.00%）","162","蜜壺","Graphics/Faces/mitutubo_fc1","0","Graphics/Battlers/80_mitutubo_st01","Graphics/Pictures/ct_mitutubo1","Graphics/Pictures/ct_mitutubo1；Graphics/Pictures/80_mitutubo_st01","蜜壶","蜜壶"
"121","小鬼","3","1/3（33.33%）","164","雫","Graphics/Faces/kooni_fc1","0","Graphics/Battlers/50_kooni_st01","Graphics/Pictures/ct_kooni1","Graphics/Pictures/ct_kooni1","小鬼","雫"
"122","オナホ娘","4","1/4（25.00%）","165","ナホ","Graphics/Faces/onaho_fc1","0","Graphics/Battlers/50_onaho_st01","Graphics/Pictures/ct_onaho1","Graphics/Pictures/ct_onaho1","飞机杯娘","奈穗"
"123","ナーキュバス","4","1/4（25.00%）","166","ナビス","Graphics/Faces/narcubus_fc1","0","Graphics/Battlers/50_narcubus_st11","Graphics/Pictures/80_narcubus_st11","Graphics/Pictures/80_narcubus_st11","护士魅魔","娜维斯"
"125","百々目鬼","4","1/4（25.00%）","168","まなこ","Graphics/Faces/dodome_fc1","0","Graphics/Battlers/50_dodome_st01","Graphics/Pictures/ct_dodome1","Graphics/Pictures/ct_dodome1","百目鬼","真奈子"
"126","リザードシーフ","3","1/3（33.33%）","169","リル","Graphics/Faces/lizardthief_fc1","0","Graphics/Battlers/50_lizardthief_st01","Graphics/Pictures/80_lizardthief_st01","Graphics/Pictures/80_lizardthief_st01","蜥蜴盗贼","莉露"
"127","リザードシーフ","4","1/4（25.00%）","170","レン","Graphics/Faces/lizardthief_fc2","0","Graphics/Battlers/50_lizardthief_st11","Graphics/Pictures/80_lizardthief_st11","Graphics/Pictures/80_lizardthief_st11","蜥蜴盗贼","莲"
"129","蜃気楼娘","4","1/4（25.00%）","172","ミラージュ","Graphics/Faces/sinkiro_fc1","0","Graphics/Battlers/50_sinkiro_st01","","Graphics/Pictures/80_sinkiro_st05","海市蜃楼娘","幻舞"
"130","アリジゴク娘","4","1/4（25.00%）","173","ヘレン","Graphics/Faces/arizigoku_fc1","0","Graphics/Battlers/80_arizigoku_st01","","Graphics/Pictures/ct_arizigoku1","蚁狮娘","海伦"
"131","サンドワーム娘","5","1/5（20.00%）","174","ダリア","Graphics/Faces/sandw_fc1","0","Graphics/Battlers/80_sandw_st01","","Graphics/Pictures/ct_sandw1","沙虫娘","达利亚"
"132","デザートスキュラ","4","1/4（25.00%）","175","ディジィ","Graphics/Faces/d_scylla_fc1","0","Graphics/Battlers/50_d_scylla_st01","Graphics/Pictures/ct_d_scylla1","Graphics/Pictures/ct_d_scylla1","沙漠斯库拉","迪吉"
"134","ヴィタエ","5","1/5（20.00%）","176","ヴィタエ","Graphics/Faces/vitae_fc1","0","Graphics/Battlers/50_vitae_st01","Graphics/Pictures/80_vitae_st01","Graphics/Pictures/80_vitae_st01","薇塔耶","薇塔耶"
"135","ヴェータラ","5","1/5（20.00%）","177","ヴェータラ","Graphics/Faces/vetala_fc1","0","Graphics/Battlers/50_vetala_st01","","Graphics/Pictures/ct_vetala1","维塔拉","维塔拉"
"136","ヴァルト","5","1/5（20.00%）","178","ヴァルト","Graphics/Faces/valt_fc1","0","Graphics/Battlers/50_valt_st01","Graphics/Pictures/ct_valt1","Graphics/Pictures/ct_valt1","瓦尔特","瓦尔特"
"137","シニファ","5","1/5（20.00%）","179","シニファ","Graphics/Faces/sinifa_fc1","0","Graphics/Battlers/50_sinifa_st01","","Graphics/Pictures/ct_sinifa1","希妮法","希妮法"
"138","シャドー娘","4","1/4（25.00%）","180","シャドー","Graphics/Faces/shadow_fc1","0","Graphics/Battlers/50_shadow_st01","Graphics/Pictures/80_shadow_st01","Graphics/Pictures/80_shadow_st01","影子娘","影"
"139","ガイストビーネ","4","1/4（25.00%）","181","リザ","Graphics/Faces/gaistvine_fc1","0","Graphics/Battlers/50_gaistvine_st01","","Graphics/Pictures/80_gaistvine_st01","画像娘","丽莎"
"140","キメラホムンクルス","4","1/4（25.00%）","182","クロウリー","Graphics/Faces/c_homunculus_fc1","0","Graphics/Battlers/50_c_homunculus_st01","","Graphics/Pictures/ct_c_homunculus；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1","奇美拉人造人","克劳利"
"141","アイアンメイデン改","5","1/5（20.00%）","183","トーチャ","Graphics/Faces/ironmaiden_k_fc1","0","Graphics/Battlers/50_ironmaiden_k_st01","Graphics/Pictures/80_ironmaiden_k_st01","Graphics/Pictures/80_ironmaiden_k_st01；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1","铁处女改","托琪亚"
"142","ジャンクドール娘","5","1/5（20.00%）","184","フランチェスカ","Graphics/Faces/junkdoll_fc2","0","Graphics/Battlers/80_junkdoll_st01","Graphics/Pictures/80_junkdoll_st01","Graphics/Pictures/80_junkdoll_st01","废品人偶娘","弗朗西斯卡"
"151","きのこ娘","4","1/4（25.00%）","191","ウィドウ","Graphics/Faces/kinoko_fc1","0","Graphics/Battlers/80_kinoko_st01","","Graphics/Pictures/ct_kinoko1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","蘑菇娘","维德"
"152","ノビスタドール娘","4","1/4（25.00%）","192","ノービィ","Graphics/Faces/nobisutam_fc1","0","Graphics/Battlers/50_nobisutam_st01","","Graphics/Pictures/ct_nobisutam1","隐形虫娘","诺维"
"153","ウルスキュラ","4","1/4（25.00%）","193","フリル","Graphics/Faces/u_scylla_fc1","0","Graphics/Battlers/50_u_scylla_st01","","","狼首斯库拉","芙莉露"
"154","襖","5","1/5（20.00%）","194","うらら","Graphics/Faces/husuma_fc1","0","Graphics/Battlers/80_husuma_st01","","","袄","乌拉拉"
"155","マーメイド","3","1/3（33.33%）","195","メーヌ","Graphics/Faces/mermaid_fc1","3","Graphics/Battlers/50_mermaid_st01","","","人鱼","梅努"
